PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Timestamp (UTC),StartTime,EndTime,SurveyTime,Gas,PlumeLength (m) (Area)^.5,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed (m/s) (RMS eddy),Windspeed (m/s) (HRRR PBL mean),WindDirection,TransitDirection,NumberOfEmissionSourcesReported
1,1,1,10/25/22,17:15:00,17:15:00,17:15:00,17:15,Methane,208,177,232,121,Confidence Interval,1.17,1.46,140,N/A,N/A
2,1,1,10/25/22,17:32:00,17:32:00,17:32:00,17:32,Methane,160,61,105,18,MINIMUM,0.9,0.88,140,N/A,N/A
3,1,1,10/25/22,17:51:00,17:51:00,17:51:00,17:51,Methane,287,855,1133,578,Confidence Interval,1.09,0.88,140,N/A,N/A
4,1,1,10/25/22,18:09:00,18:09:00,18:09:00,18:09,Methane,619,908,1155,662,Confidence Interval,1.35,0.88,194,N/A,N/A
5,1,1,10/25/22,18:27:00,18:27:00,18:27:00,18:27,Methane,173,0,100,-100,Confidence Interval,1.58,0.37,HRRR,N/A,N/A
6,1,1,10/25/22,18:47:00,18:47:00,18:47:00,18:47,Methane,296,669,928,409,Confidence Interval,1.49,1.28,95,N/A,N/A
7,1,1,10/25/22,19:07:00,19:07:00,19:07:00,19:07,Methane,200,0,100,-100,Confidence Interval,1.86,0.95,HRRR,N/A,N/A
8,1,1,10/25/22,19:27:00,19:27:00,19:27:00,19:27,Methane,586,544,714,374,Confidence Interval,1.71,1.28,187,N/A,N/A
9,1,1,10/25/22,20:10:00,20:10:00,20:10:00,20:10,Methane,198,303,423,183,MINIMUM,1.73,1.36,270,N/A,N/A
10,1,1,10/25/22,20:29:00,20:29:00,20:29:00,20:29,Methane,163,89,189,-11,Confidence Interval,2.11,1.36,150,N/A,N/A
11,1,1,10/25/22,20:46:00,20:46:00,20:46:00,20:46,Methane,177,140,191,89,Confidence Interval,2.18,1.42,20,N/A,N/A
12,1,1,10/29/22,16:25:00,16:25:00,16:25:00,16:25,Methane,161,0,100,-100,Confidence Interval,0.46,1.08,HRRR,N/A,N/A
13,1,1,10/29/22,16:50:00,16:50:00,16:50:00,16:50,Methane,405,196,294,97,Confidence Interval,0.73,1.5,284,N/A,N/A
14,1,1,10/29/22,17:17:00,17:17:00,17:17:00,17:17,Methane,401,787,1283,290,Confidence Interval,1.43,1.5,280,N/A,N/A
15,1,1,10/29/22,17:43:00,17:43:00,17:43:00,17:43,Methane,340,644,1017,271,Confidence Interval,1.97,1.18,340,N/A,N/A
16,1,1,10/29/22,18:07:00,18:07:00,18:07:00,18:07,Methane,291,94,194,-6,Confidence Interval,2.07,1.01,HRRR,N/A,N/A
17,1,1,10/29/22,18:31:00,18:31:00,18:31:00,18:31,Methane,255,388,480,296,Confidence Interval,2.42,2.42,170,N/A,N/A
18,1,1,10/29/22,18:54:00,18:54:00,18:54:00,18:54,Methane,564,958,1368,549,Confidence Interval,2.54,1.13,244,N/A,N/A
19,1,1,10/29/22,19:17:00,19:17:00,19:17:00,19:17,Methane,732,1199,1512,886,Confidence Interval,2.52,1.13,134,N/A,N/A
20,1,1,10/29/22,19:38:00,19:38:00,19:38:00,19:38,Methane,347,1489,1974,1004,Confidence Interval,2.75,1.43,70,N/A,N/A
21,1,1,10/29/22,20:00:00,20:00:00,20:00:00,20:00,Methane,675,579,761,397,Confidence Interval,2.24,1.43,170,N/A,N/A
22,1,1,10/29/22,20:21:00,20:21:00,20:21:00,20:21,Methane,241,252,357,147,Confidence Interval,2.03,1.43,82,N/A,N/A
23,1,1,10/29/22,20:42:00,20:42:00,20:42:00,20:42,Methane,309,584,839,328,Confidence Interval,1.95,1.68,208,N/A,N/A
24,1,1,10/29/22,21:02:00,21:02,21:02,21:02,Methane,221,112,244,-21,Confidence Interval,2.52,1.68,170,N/A,N/A
