,Operator,Stage,PerformerExperimentID,DateOfSurvey,TimestampUTC,Detected,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFlag
0,CarbonMapper,2,1.0,2022-10-10,17:00:41,True,True,13.1654166,21.540548312,4.790284888,1-sigma,0.276521919,nan
1,CarbonMapper,2,2.0,2022-10-10,17:14:21,False,False,,,,1-sigma,,nan
2,CarbonMapper,2,3.0,2022-10-10,17:28:38,True,False,,,,1-sigma,0.727260552,CM-1
3,CarbonMapper,2,4.0,2022-10-10,17:43:20,False,False,,,,1-sigma,,nan
4,CarbonMapper,2,5.0,2022-10-10,17:55:36,False,False,,,,1-sigma,,nan
5,CarbonMapper,2,6.0,2022-10-10,18:07:16,True,False,,,,1-sigma,1.885129217,CM-1
6,CarbonMapper,2,7.0,2022-10-10,18:18:57,True,True,172.1313526,224.04094964,120.22175556000002,1-sigma,1.552104748,nan
7,CarbonMapper,2,8.0,2022-10-10,18:30:37,True,False,,,,1-sigma,1.17646979,CM-1
8,CarbonMapper,2,9.0,2022-10-10,18:43:29,True,True,48.06807558,79.70233675,16.43381441,1-sigma,1.105785085,nan
9,CarbonMapper,2,10.0,2022-10-10,18:56:07,True,True,50.26225492,72.93753201,27.586977829999995,1-sigma,1.464587408,nan
10,CarbonMapper,2,11.0,2022-10-10,19:08:38,True,True,215.0162166,279.15862085000003,150.87381235,1-sigma,1.737408345,nan
11,CarbonMapper,2,12.0,2022-10-10,19:20:21,True,True,66.43268212,89.13472472,43.73063952,1-sigma,2.457397633,nan
12,CarbonMapper,2,13.0,2022-10-10,19:31:51,True,False,,,,1-sigma,0.97394223,CM-1
13,CarbonMapper,2,14.0,2022-10-10,19:44:20,True,True,222.4485923,325.0262512,119.8709334,1-sigma,1.067980593,nan
14,CarbonMapper,2,15.0,2022-10-10,19:56:37,True,False,,,,1-sigma,0.987415785,CM-1
15,CarbonMapper,2,16.0,2022-10-10,20:08:46,True,False,,,,1-sigma,0.780458899,CM-1
16,CarbonMapper,2,17.0,2022-10-10,20:20:13,True,True,325.045676,443.8715025,206.2198495,1-sigma,2.325540317,nan
