,Operator,Stage,PerformerExperimentID,DateOfSurvey,TimestampUTC,Detected,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFlag,OperatorKeep
0,CarbonMapper,1,1.0,2022-10-10,17:00:41,True,True,87.19376164,131.90106589,42.486457390000005,1-sigma,1.831387965,clear,True
1,CarbonMapper,1,2.0,2022-10-10,17:14:21,False,False,,,,1-sigma,,clear,True
2,CarbonMapper,1,3.0,2022-10-10,17:28:38,True,False,,,,1-sigma,2.403519621,CM-1,False
3,CarbonMapper,1,4.0,2022-10-10,17:43:20,False,False,,,,1-sigma,,clear,True
4,CarbonMapper,1,5.0,2022-10-10,17:55:36,False,False,,,,1-sigma,,clear,True
5,CarbonMapper,1,6.0,2022-10-10,18:07:16,True,False,,,,1-sigma,2.179180025,CM-1,False
6,CarbonMapper,1,7.0,2022-10-10,18:18:57,True,True,241.6751886,319.87926177,163.47111543,1-sigma,2.179180025,clear,True
7,CarbonMapper,1,8.0,2022-10-10,18:30:37,True,False,,,,1-sigma,2.179180025,CM-1,False
8,CarbonMapper,1,9.0,2022-10-10,18:43:29,True,True,94.72816414,136.08301849,53.37330979000001,1-sigma,2.179180025,clear,True
9,CarbonMapper,1,10.0,2022-10-10,18:56:07,True,True,74.78590872,103.06675697,46.50506047,1-sigma,2.179180025,clear,True
10,CarbonMapper,1,11.0,2022-10-10,19:08:38,True,True,220.0961678,334.53518399999996,105.65715159999999,1-sigma,1.778456171,clear,True
11,CarbonMapper,1,12.0,2022-10-10,19:20:21,True,True,48.07834799,74.6846896,21.472006379999996,1-sigma,1.778456171,clear,True
12,CarbonMapper,1,13.0,2022-10-10,19:31:51,True,False,,,,1-sigma,1.778456171,CM-1,False
13,CarbonMapper,1,14.0,2022-10-10,19:44:20,True,True,370.4328302,568.6977152,172.16794520000002,1-sigma,1.778456171,clear,True
