,Operator,Stage,PerformerExperimentID,DateOfSurvey,TimestampUTC,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFlag
0,CarbonMapper,2,1.0,2022-10-10,17:00:41,1,87.19376164,131.90106589,42.486457390000005,1-sigma,1.831387965,nan
1,CarbonMapper,2,2.0,2022-10-10,17:14:21,0,,,,1-sigma,,nan
2,CarbonMapper,2,3.0,2022-10-10,17:28:38,0,,,,1-sigma,2.403519621,CM-1
3,CarbonMapper,2,4.0,2022-10-10,17:43:20,0,,,,1-sigma,,nan
4,CarbonMapper,2,5.0,2022-10-10,17:55:36,0,,,,1-sigma,,nan
5,CarbonMapper,2,6.0,2022-10-10,18:07:16,0,,,,1-sigma,2.179180025,CM-1
6,CarbonMapper,2,7.0,2022-10-10,18:18:57,1,241.6751886,319.87926177,163.47111543,1-sigma,2.179180025,nan
7,CarbonMapper,2,8.0,2022-10-10,18:30:37,0,,,,1-sigma,2.179180025,CM-1
8,CarbonMapper,2,9.0,2022-10-10,18:43:29,1,94.72816414,136.08301849,53.37330979000001,1-sigma,2.179180025,nan
9,CarbonMapper,2,10.0,2022-10-10,18:56:07,1,74.78590872,103.06675697,46.50506047,1-sigma,2.179180025,nan
10,CarbonMapper,2,11.0,2022-10-10,19:08:38,1,220.0961678,334.53518399999996,105.65715159999999,1-sigma,1.778456171,nan
11,CarbonMapper,2,12.0,2022-10-10,19:20:21,1,48.07834799,74.6846896,21.472006379999996,1-sigma,1.778456171,nan
12,CarbonMapper,2,13.0,2022-10-10,19:31:51,0,,,,1-sigma,1.778456171,CM-1
13,CarbonMapper,2,14.0,2022-10-10,19:44:20,1,370.4328302,568.6977152,172.16794520000002,1-sigma,1.778456171,nan
14,CarbonMapper,2,15.0,2022-10-10,19:56:37,0,,,,1-sigma,1.778456171,CM-1
15,CarbonMapper,2,16.0,2022-10-10,20:08:46,0,,,,1-sigma,1.019503445,CM-1
16,CarbonMapper,2,17.0,2022-10-10,20:20:13,1,142.4981486,236.25116609000003,48.74513111,1-sigma,1.019503445,nan
17,CarbonMapper,2,18.0,2022-10-10,20:31:40,1,44.19943901,71.7834787,16.615399319999998,1-sigma,1.019503445,nan
18,CarbonMapper,2,19.0,2022-10-10,20:43:14,1,34.46484832,57.26856167,11.661134970000003,1-sigma,1.019503445,nan
19,CarbonMapper,2,20.0,2022-10-10,20:55:37,1,32.24689386,52.839187460000005,11.654600259999999,1-sigma,1.019503445,nan
20,CarbonMapper,2,21.0,2022-10-10,21:07:24,1,94.36991159,145.58530042,43.15452276,1-sigma,0.9055689702,nan
21,CarbonMapper,2,22.0,2022-10-10,21:19:09,1,160.4675447,244.47643868,76.45865072,1-sigma,0.9055689702,nan
22,CarbonMapper,2,23.0,2022-10-10,21:30:27,0,,,,1-sigma,0.9055689702,CM-1
23,CarbonMapper,2,24.0,2022-10-11,17:16:21,1,18.93505226,31.37667478,6.49342974,1-sigma,0.8681911645,nan
24,CarbonMapper,2,25.0,2022-10-11,17:28:38,0,,,,1-sigma,,nan
25,CarbonMapper,2,26.0,2022-10-11,17:40:14,1,24.98148376,38.40842017,11.55454735,1-sigma,0.8681911645,nan
26,CarbonMapper,2,27.0,2022-10-11,17:52:22,0,,,,1-sigma,0.8681911645,CM-1
27,CarbonMapper,2,28.0,2022-10-11,18:04:34,1,35.43310991,53.92852418,16.937695639999998,1-sigma,0.516501041,nan
28,CarbonMapper,2,29.0,2022-10-11,18:17:13,1,51.70426793,81.31861428,22.08992158,1-sigma,0.516501041,nan
29,CarbonMapper,2,30.0,2022-10-11,18:29:32,1,25.71377555,39.29460257,12.132948530000002,1-sigma,0.516501041,nan
30,CarbonMapper,2,31.0,2022-10-11,18:41:32,1,43.05963274,67.09306609,19.02619939,1-sigma,0.516501041,nan
31,CarbonMapper,2,32.0,2022-10-11,18:53:39,0,,,,1-sigma,0.516501041,CM-1
32,CarbonMapper,2,33.0,2022-10-11,19:05:41,1,68.77329497,107.16967123999999,30.376918699999997,1-sigma,0.6286762774,nan
33,CarbonMapper,2,34.0,2022-10-11,19:18:06,0,,,,1-sigma,,nan
34,CarbonMapper,2,35.0,2022-10-11,19:30:44,1,13.7314693,22.598134127999998,4.864804472000001,1-sigma,0.6286762774,nan
35,CarbonMapper,2,36.0,2022-10-11,19:42:57,0,,,,1-sigma,,nan
36,CarbonMapper,2,37.0,2022-10-11,19:54:28,0,,,,1-sigma,0.6286762774,CM-1
37,CarbonMapper,2,38.0,2022-10-11,20:05:52,1,42.44641036,72.09502432,12.797796400000003,1-sigma,0.8362733965,nan
38,CarbonMapper,2,39.0,2022-10-11,20:17:34,1,116.4616028,200.84722616,32.07597944,1-sigma,0.8362733965,nan
39,CarbonMapper,2,40.0,2022-10-11,20:29:37,1,169.7134593,276.0598639,63.36705470000001,1-sigma,0.8362733965,nan
40,CarbonMapper,2,41.0,2022-10-11,20:41:42,0,,,,1-sigma,0.8362733965,CM-1
