,Operator,Stage,PerformerExperimentID,DateOfSurvey,TimestampUTC,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFlag
0,GHGSat-AV,1,1.0,2022-10-31,17:03:54,1,151.0,204.0,98.0,1-sigma,1.6,GH-1
1,GHGSat-AV,1,2.0,2022-10-31,17:06:59,1,129.0,174.0,84.0,1-sigma,1.57,GH-1
2,GHGSat-AV,1,3.0,2022-10-31,17:10:46,1,209.0,281.0,137.0,1-sigma,1.57,GH-1
3,GHGSat-AV,1,4.0,2022-10-31,17:14:04,1,88.0,119.0,57.0,1-sigma,1.54,GH-1
4,GHGSat-AV,1,5.0,2022-10-31,17:17:09,1,108.0,145.0,71.0,1-sigma,1.53,GH-1
5,GHGSat-AV,1,6.0,2022-10-31,17:20:01,1,53.0,72.0,34.0,1-sigma,1.51,GH-1
6,GHGSat-AV,1,7.0,2022-10-31,17:23:14,1,85.0,114.0,56.0,1-sigma,1.49,GH-1
7,GHGSat-AV,1,8.0,2022-10-31,17:25:51,1,429.0,575.0,283.0,1-sigma,1.49,GH-1
8,GHGSat-AV,1,9.0,2022-10-31,17:29:06,1,464.0,622.0,306.0,1-sigma,1.48,GH-1
9,GHGSat-AV,1,10.0,2022-10-31,17:32:00,1,15.0,21.0,9.0,1-sigma,1.46,GH-1
10,GHGSat-AV,1,11.0,2022-10-31,17:35:20,1,188.0,252.0,124.0,1-sigma,1.44,GH-1
11,GHGSat-AV,1,12.0,2022-10-31,17:38:16,1,222.0,297.0,147.0,1-sigma,1.42,GH-1
12,GHGSat-AV,1,13.0,2022-10-31,17:41:41,1,209.0,279.0,139.0,1-sigma,1.4,GH-1
13,GHGSat-AV,1,14.0,2022-10-31,17:44:47,1,221.0,295.0,147.0,1-sigma,1.38,GH-1
14,GHGSat-AV,1,15.0,2022-10-31,17:48:10,1,178.0,238.0,118.0,1-sigma,1.36,GH-1
15,GHGSat-AV,1,16.0,2022-10-31,17:51:19,1,684.0,911.0,457.0,1-sigma,1.35,GH-1
16,GHGSat-AV,1,17.0,2022-10-31,17:54:34,1,305.0,406.0,204.0,1-sigma,1.33,GH-1
17,GHGSat-AV,1,18.0,2022-10-31,17:57:48,1,146.0,194.0,98.0,1-sigma,1.32,GH-1
18,GHGSat-AV,1,19.0,2022-10-31,18:01:08,1,780.0,1036.0,524.0,1-sigma,1.31,GH-2
19,GHGSat-AV,1,20.0,2022-10-31,18:04:17,1,1008.0,1337.0,679.0,1-sigma,1.29,GH-1
20,GHGSat-AV,1,21.0,2022-10-31,18:07:32,1,25.0,37.0,13.0,1-sigma,1.29,GH-1
