,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,Satellite,Team,UncertaintyTypeManual,WindSpeedLow,WindSpeedHigh,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean30,Wind_MPS_mean60,Wind_MPS_mean90,Wind_MPS_mean300,Wind_MPS_mean600,Wind_MPS_mean900,Wind_dir_mean30,Wind_dir_mean60,Wind_dir_mean90,Wind_dir_mean300,Wind_dir_mean600,Wind_dir_mean900,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900,FlowError_kgh,FlowError_percent,datetime_UTC,Altitude (feet)
0,1018,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:22:50+00:00,0,NASA-GEOS,GHGSat,1,,,,,,,23749.81,4,218645,23749.81,FALSE,,23739.941,23583.26117,23610.82744,23899.5273,18481.98645,12321.3243,AZ,8.881333333,9.167833333,9.494777778,8.851466667,8.683433333,8.683433333,214.3666667,216.4,217.2777778,214.2433333,215.43,213.7444444,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001,3356.29,TRUE,6.216666667,TRUE,ER_MIS,-1,428.4507438,402.7831174,454.6265998,425.596005,399.8426333,451.3580864,425.8398704,400.1081894,451.3665168,431.3252448,405.4311536,457.0217553,333.5389968,312.3788294,355.0930986,222.3134715,205.8913084,238.7907409,,,2021-10-18 17:22:47+00:00,10400
1,1229,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:22:50+00:00,0,Sonic,GHGSat,2,,,,,,,23749.81,4,218645,23749.81,FALSE,,23739.941,23583.26117,23610.82744,23899.5273,18481.98645,12321.3243,AZ,8.881333333,9.167833333,9.494777778,8.851466667,8.683433333,8.683433333,214.3666667,216.4,217.2777778,214.2433333,215.43,213.7444444,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001,3356.29,TRUE,6.216666667,TRUE,ER_MIS,-1,428.3469562,402.7052742,454.2177956,425.6319519,399.9738512,451.5566298,426.1272792,400.4812237,451.9205036,431.1947282,405.5094289,457.2211442,333.4430273,312.0847433,354.9505296,222.2393403,205.9621187,238.6377516,,,2021-10-18 17:22:47+00:00,10400
2,1440,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:22:50+00:00,0,Sonic,GHGSat,3,,,,,,,23749.81,4,218645,23749.81,FALSE,,23739.941,23583.26117,23610.82744,23899.5273,18481.98645,12321.3243,AZ,8.881333333,9.167833333,9.494777778,8.851466667,8.683433333,8.683433333,214.3666667,216.4,217.2777778,214.2433333,215.43,213.7444444,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001,3356.29,TRUE,6.216666667,TRUE,ER_MIS,-1,428.438149,402.4812829,454.5261551,425.4583043,399.5019892,451.3353725,425.8689391,399.9400977,451.9279914,431.3732852,405.1390799,457.709641,333.5787189,312.2964272,354.9507406,222.3296273,205.7892225,238.6764512,,,2021-10-18 17:22:47+00:00,10400
3,1019,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:26:10+00:00,0,NASA-GEOS,GHGSat,1,,,,,,,23295.3,4,218645,23295.3,FALSE,,23280.734,23304.587,23317.41356,23489.15303,23801.38238,17526.51413,AZ,6.807,7.3855,7.691777778,8.726833333,8.731983333,8.731983333,217.3,209.3833333,207,214.0466667,213.7716667,213.9888889,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001,5012.835,TRUE,9.55,TRUE,ER_MIS,-1,419.9962296,394.359044,445.7168615,420.5195057,395.3883319,445.7623039,420.7393104,395.1329897,446.6799152,423.7803752,398.2171067,449.4941837,429.2519257,402.7162978,455.2417321,316.2261648,295.4339186,337.0427963,,,2021-10-18 17:26:15+00:00,10400
4,1230,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:26:10+00:00,0,Sonic,GHGSat,2,,,,,,,23295.3,4,218645,23295.3,FALSE,,23280.734,23304.587,23317.41356,23489.15303,23801.38238,17526.51413,AZ,6.807,7.3855,7.691777778,8.726833333,8.731983333,8.731983333,217.3,209.3833333,207,214.0466667,213.7716667,213.9888889,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001,5012.835,TRUE,9.55,TRUE,ER_MIS,-1,420.0894584,394.6063447,445.5556876,420.6047432,395.0263269,446.5369629,420.7423068,395.4411118,446.4286629,423.8036621,398.3015575,450.252417,429.507993,403.9474347,455.4139103,316.2248099,295.607566,336.6169272,,,2021-10-18 17:26:15+00:00,10400
5,1441,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:26:10+00:00,0,Sonic,GHGSat,3,,,,,,,23295.3,4,218645,23295.3,FALSE,,23280.734,23304.587,23317.41356,23489.15303,23801.38238,17526.51413,AZ,6.807,7.3855,7.691777778,8.726833333,8.731983333,8.731983333,217.3,209.3833333,207,214.0466667,213.7716667,213.9888889,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001,5012.835,TRUE,9.55,TRUE,ER_MIS,-1,420.2380053,394.406376,445.6711149,420.2730911,394.8293369,446.1137652,420.8566598,395.0317221,446.6327082,423.9357794,398.2074285,450.5419571,429.7927974,403.5081802,455.8560189,316.2292896,295.7066573,336.6893551,,,2021-10-18 17:26:15+00:00,10400
6,1020,,1496-1-101-334-533-1,1,1,,2021-10-18 17:28:43+00:00,,,,Methane,,153,229,77,,4.9,,,1,1,2021-10-18 17:28:47+00:00,0,NASA-GEOS,GHGSat,1,,,,,,,22878.66,4,218645,22878.66,FALSE,,22938.82033,23070.9015,23158.74711,23310.07843,23547.30618,21584.21806,AZ,7.810666667,8.112333333,7.987555556,7.819066667,8.39775,8.39775,208.7666667,202.8,203.1555556,207.2033333,211.0516667,212.3955556,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001,6239.7,TRUE,12.16666667,TRUE,TP,1,414.0975951,389.4252867,439.8584534,416.1942495,390.6269282,441.8386547,417.9889908,392.5496136,443.8425428,420.7004591,395.066196,446.3286593,425.0042795,399.5485611,450.8055561,389.448093,365.1305323,413.6388733,-263.1942495,-63.23831956,2021-10-18 17:28:49+00:00,10450
7,1231,,1496-1-101-334-533-1,1,1,,2021-10-18 17:28:43+00:00,,,,Methane,,226,299,152,,7.24,,,1,1,2021-10-18 17:28:47+00:00,0,Sonic,GHGSat,2,,,,,,,22878.66,4,218645,22878.66,FALSE,,22938.82033,23070.9015,23158.74711,23310.07843,23547.30618,21584.21806,AZ,7.810666667,8.112333333,7.987555556,7.819066667,8.39775,8.39775,208.7666667,202.8,203.1555556,207.2033333,211.0516667,212.3955556,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001,6239.7,TRUE,12.16666667,TRUE,TP,1,414.0159073,388.5651485,439.3614846,416.4552192,390.8399243,441.6529718,417.9361127,392.4731465,443.7122407,420.5910508,394.8838409,445.8604479,424.9824917,399.1915474,451.5145278,389.5838311,365.6242449,413.2526065,-190.4552192,-45.73246065,2021-10-18 17:28:49+00:00,10450
8,1442,,1496-1-101-334-533-1,1,1,,2021-10-18 17:28:43+00:00,,,,Methane,,226,299,152,,7.24,,,1,1,2021-10-18 17:28:47+00:00,0,Sonic,GHGSat,3,,,,,,,22878.66,4,218645,22878.66,FALSE,,22938.82033,23070.9015,23158.74711,23310.07843,23547.30618,21584.21806,AZ,7.810666667,8.112333333,7.987555556,7.819066667,8.39775,8.39775,208.7666667,202.8,203.1555556,207.2033333,211.0516667,212.3955556,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001,6239.7,TRUE,12.16666667,TRUE,TP,1,413.8602216,388.9281363,439.3336008,416.1610757,390.717859,441.8413519,417.9352859,392.6912445,443.5316262,420.4798106,395.0367657,446.0807153,424.7567472,398.8705036,450.7035396,389.694354,365.3522093,414.0032446,-190.1610757,-45.69410424,2021-10-18 17:28:49+00:00,10450
9,1443,,1496-1-301-896-1095-2,1,1,,2021-10-18 17:31:56+00:00,,,,Methane,,326,420,232,,8.28,,,1,1,2021-10-18 17:31:59+00:00,0,Sonic,GHGSat,3,,,,,,,22892.38,4,218645,22892.38,FALSE,,23010.89967,23097.10567,23109.45922,23133.9077,23290.63245,23525.57249,AZ,8.458333333,8.499,8.508444444,8.061566667,8.186266667,8.186266667,198.7666667,205.95,207.7222222,205.1433333,208.9516667,210.6677778,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001,7814.71,TRUE,15.36666667,TRUE,TP,1,415.4682097,389.7359821,441.2152333,416.8206199,391.4372455,441.9723948,416.8168529,391.7627951,442.3130456,417.3035354,391.4542182,442.727132,419.956916,394.634848,445.8588782,424.7114305,399.1520149,450.6880232,-90.82061991,-21.78889805,2021-10-18 17:31:58+00:00,10300
