,ls23,ls25,qc_ls23,qc_ls25,qc,pod_average,lower_bound,upper_bound
0,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
1,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
2,,18.70632281,KA-1,clear,clear,18.70632281,18.70632281,18.70632281
3,15.81560423,20.26588248,clear,clear,clear,18.040743355,15.81560423,20.26588248
4,23.79773425,18.15377282,clear,clear,clear,20.975753535000003,18.15377282,23.79773425
5,124.4332704,119.3876293,clear,clear,clear,121.91044984999999,119.3876293,124.4332704
6,394.6762265,400.6163607,clear,clear,clear,397.6462936,394.6762265,400.6163607
7,110.5615942,69.14763375,clear,clear,clear,89.854613975,69.14763375,110.5615942
8,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
9,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
10,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
11,13.16771798,11.53149267,clear,clear,clear,12.349605325,11.53149267,13.16771798
12,13.60206495,15.18485068,clear,clear,clear,14.393457815000001,13.60206495,15.18485068
13,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
14,,,KA-2,KA-2,fail_both_qc,nan,,
15,0.0,6.027146722,clear,clear,clear,3.013573361,0.0,6.027146722
16,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
17,29.21784122,27.46826989,clear,clear,clear,28.343055555,27.46826989,29.21784122
18,36.34659146,25.60237926,clear,clear,clear,30.97448536,25.60237926,36.34659146
19,30.7349606,31.70299086,clear,clear,clear,31.21897573,30.7349606,31.70299086
20,182.8753971,189.9647124,clear,clear,clear,186.42005475,182.8753971,189.9647124
21,142.7276753,148.602854,clear,clear,clear,145.66526464999998,142.7276753,148.602854
22,119.6527427,171.9519399,clear,clear,clear,145.80234130000002,119.6527427,171.9519399
23,69.94875209,66.97978978,clear,clear,clear,68.464270935,66.97978978,69.94875209
24,43.52051094,43.38598076,clear,clear,clear,43.45324585,43.38598076,43.52051094
25,91.70437936,83.5930017,clear,clear,clear,87.64869053000001,83.5930017,91.70437936
26,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
27,,,KA-3,KA-3,fail_both_qc,nan,,
28,,,KA-4,KA-4,fail_both_qc,nan,,
29,,,KA-4,KA-4,fail_both_qc,nan,,
30,,,KA-3,KA-3,fail_both_qc,nan,,
31,388.9923983,403.8863579,clear,clear,clear,396.4393781,388.9923983,403.8863579
32,430.5101513,467.6581903,clear,clear,clear,449.08417080000004,430.5101513,467.6581903
33,,,KA-4,KA-4,fail_both_qc,nan,,
34,143.7144313,154.4188248,clear,clear,clear,149.06662805000002,143.7144313,154.4188248
35,152.2521692,162.2549855,clear,clear,clear,157.25357735,152.2521692,162.2549855
36,173.630688,169.8290897,clear,clear,clear,171.72988885,169.8290897,173.630688
37,28.4233609,35.19082778,clear,clear,clear,31.80709434,28.4233609,35.19082778
38,34.8106983,36.39679726,clear,clear,clear,35.60374778,34.8106983,36.39679726
39,,,KA-4,KA-4,fail_both_qc,nan,,
40,6.361437848,8.385531709,clear,clear,clear,7.3734847785,6.361437848,8.385531709
41,0.0,6.02531057,clear,clear,clear,3.012655285,0.0,6.02531057
42,10.83128118,12.91876446,clear,clear,clear,11.87502282,10.83128118,12.91876446
43,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
44,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
45,15.24848371,12.56222233,clear,clear,clear,13.90535302,12.56222233,15.24848371
46,11.8295958,12.37726226,clear,clear,clear,12.103429030000001,11.8295958,12.37726226
47,42.2144915,34.99289295,clear,clear,clear,38.603692225,34.99289295,42.2144915
48,11.41173694,11.99529167,clear,clear,clear,11.703514305,11.41173694,11.99529167
49,7.883634329,10.67783384,clear,clear,clear,9.2807340845,7.883634329,10.67783384
50,20.67990884,16.93254281,clear,clear,clear,18.806225825,16.93254281,20.67990884
51,17.50982193,18.99589538,clear,clear,clear,18.252858655,17.50982193,18.99589538
52,23.56542507,23.19373067,clear,clear,clear,23.37957787,23.19373067,23.56542507
53,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
54,7.4440669,4.273445814,clear,clear,clear,5.858756357,4.273445814,7.4440669
55,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
56,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
57,10.56931053,10.54765211,clear,clear,clear,10.558481319999999,10.54765211,10.56931053
58,18.98551596,19.03835134,clear,clear,clear,19.01193365,18.98551596,19.03835134
59,14.94614965,15.48566097,clear,clear,clear,15.21590531,14.94614965,15.48566097
60,,,KA-4,KA-4,fail_both_qc,nan,,
61,,,KA-4,KA-4,fail_both_qc,nan,,
62,2.380895537,2.772275625,clear,clear,clear,2.576585581,2.380895537,2.772275625
63,2.255520174,2.303172008,clear,clear,clear,2.279346091,2.255520174,2.303172008
64,2.278170253,1.775840788,clear,clear,clear,2.0270055205,1.775840788,2.278170253
65,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
66,8.317476242,9.022653576,clear,clear,clear,8.670064909,8.317476242,9.022653576
67,7.776936852,8.417168941,clear,clear,clear,8.0970528965,7.776936852,8.417168941
68,,,KA-4,KA-4,fail_both_qc,nan,,
69,,,KA-4,KA-4,fail_both_qc,nan,,
70,,,KA-4,KA-4,fail_both_qc,nan,,
71,14.66725797,14.2987339,clear,clear,clear,14.482995935,14.2987339,14.66725797
72,16.70227466,18.84925892,clear,clear,clear,17.77576679,16.70227466,18.84925892
73,126.2747843,129.2871421,clear,clear,clear,127.7809632,126.2747843,129.2871421
74,109.8384948,116.0187748,clear,clear,clear,112.9286348,109.8384948,116.0187748
75,98.60194007,100.8440009,clear,clear,clear,99.72297048499999,98.60194007,100.8440009
76,,,KA-4,KA-4,fail_both_qc,nan,,
77,,,KA-4,KA-4,fail_both_qc,nan,,
78,,,KA-4,KA-4,fail_both_qc,nan,,
79,,,KA-4,KA-4,fail_both_qc,nan,,
80,,,KA-4,KA-4,fail_both_qc,nan,,
81,,,KA-4,KA-4,fail_both_qc,nan,,
82,,,KA-4,KA-4,fail_both_qc,nan,,
83,,,KA-4,KA-4,fail_both_qc,nan,,
84,,,KA-4,KA-4,fail_both_qc,nan,,
85,,,KA-4,KA-4,fail_both_qc,nan,,
86,,,KA-4,KA-4,fail_both_qc,nan,,
87,,,KA-4,KA-4,fail_both_qc,nan,,
88,,,KA-4,KA-4,fail_both_qc,nan,,
89,17.72841141,19.29912034,clear,clear,clear,18.513765875,17.72841141,19.29912034
90,,,KA-4,KA-4,fail_both_qc,nan,,
91,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
92,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
93,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
94,21.51684429,21.83679736,clear,clear,clear,21.676820825,21.51684429,21.83679736
95,,,KA-3,KA-3,fail_both_qc,nan,,
96,,,KA-4,KA-4,fail_both_qc,nan,,
97,,,KA-4,KA-4,fail_both_qc,nan,,
98,,,KA-4,KA-4,fail_both_qc,nan,,
99,527.4997735,635.9631166,clear,clear,clear,581.73144505,527.4997735,635.9631166
100,,,KA-4,KA-4,fail_both_qc,nan,,
101,0.0,0.0,clear,clear,clear,0.0,0.0,0.0
102,27.70385986,29.64528719,clear,clear,clear,28.674573525,27.70385986,29.64528719
103,28.83278731,24.45533984,clear,clear,clear,26.644063575,24.45533984,28.83278731
104,17.580125,18.47187048,clear,clear,clear,18.02599774,17.580125,18.47187048
105,21.09292109,24.61355507,clear,clear,clear,22.85323808,21.09292109,24.61355507
106,114.5037065,120.1569417,clear,clear,clear,117.33032410000001,114.5037065,120.1569417
107,55.0721653,84.054565,clear,clear,clear,69.56336515,55.0721653,84.054565
