,Operator,Stage,overpass_id,DateOfSurvey,TimestampUTC,Detected,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed_RMS,OperatorWindspeed_HRRR,QCFlag,OperatorKeep
0,Methane Air,1,1.0,10/25/22,17:15:00,True,True,157.1,176.4,140.4,confidence_95,1.17,1.46,clear,True
1,Methane Air,1,2.0,10/25/22,17:32:00,True,True,66.3,73.4,59.0,max_min,0.9,0.88,clear,True
2,Methane Air,1,3.0,10/25/22,17:51:00,True,True,753.6,825.6,685.5,confidence_95,1.09,0.88,clear,True
3,Methane Air,1,4.0,10/25/22,18:09:00,True,True,927.0,1019.8,834.0,confidence_95,1.35,0.88,clear,True
4,Methane Air,1,5.0,10/25/22,18:27:00,True,True,43.9,51.3,35.2,confidence_95,1.58,0.37,clear,True
5,Methane Air,1,6.0,10/25/22,18:47:00,True,True,568.4,615.6,525.7,confidence_95,1.49,1.28,clear,True
6,Methane Air,1,7.0,10/25/22,19:07:00,False,True,0.0,0.0,0.0,confidence_95,1.86,0.95,clear,True
7,Methane Air,1,8.0,10/25/22,19:27:00,True,True,556.9,627.8,491.4,confidence_95,1.71,1.28,clear,True
8,Methane Air,1,9.0,10/25/22,20:10:00,True,True,256.1,277.7,235.5,max_min,1.73,1.36,clear,True
9,Methane Air,1,10.0,10/25/22,20:29:00,True,True,141.2,156.0,126.9,confidence_95,2.11,1.36,clear,True
10,Methane Air,1,11.0,10/25/22,20:46:00,True,True,132.6,149.1,116.0,confidence_95,2.18,1.42,clear,True
11,Methane Air,1,12.0,10/29/22,16:25:00,False,True,-10.7,-5.6,-15.8,confidence_95,0.46,1.08,clear,True
12,Methane Air,1,13.0,10/29/22,16:50:00,True,True,82.8,94.9,69.9,confidence_95,0.73,1.5,clear,True
13,Methane Air,1,14.0,10/29/22,17:17:00,True,True,626.6,677.5,578.8,confidence_95,1.43,1.5,clear,True
14,Methane Air,1,15.0,10/29/22,17:43:00,True,True,802.4,886.6,734.4,confidence_95,1.97,1.18,clear,True
15,Methane Air,1,16.0,10/29/22,18:07:00,True,True,94.2,104.7,83.2,confidence_95,2.07,1.01,clear,True
16,Methane Air,1,17.0,10/29/22,18:31:00,True,True,493.4,536.5,450.4,confidence_95,2.42,2.42,clear,True
17,Methane Air,1,18.0,10/29/22,18:54:00,True,True,1207.6,1314.5,1109.7,confidence_95,2.54,1.13,clear,True
18,Methane Air,1,19.0,10/29/22,19:17:00,True,True,1509.6,1609.0,1410.1,confidence_95,2.52,1.13,clear,True
19,Methane Air,1,20.0,10/29/22,19:38:00,True,True,1669.5,1823.6,1539.2,confidence_95,2.75,1.43,clear,True
20,Methane Air,1,21.0,10/29/22,20:00:00,True,True,719.8,780.6,666.2,confidence_95,2.24,1.43,clear,True
21,Methane Air,1,22.0,10/29/22,20:21:00,True,True,244.0,265.2,224.0,confidence_95,2.03,1.43,clear,True
22,Methane Air,1,23.0,10/29/22,20:42:00,True,True,635.9,698.3,576.5,confidence_95,1.95,1.68,clear,True
23,Methane Air,1,24.0,10/29/22,21:02:00,True,True,192.5,228.5,164.2,confidence_95,2.52,1.68,clear,True
