PerformerExperimentID,Datetime (UTC),last 30s (kg/h),last 60s (kg/h),last 90s (kg/h)
1,10/31/22 17:03,215.0665487,215.0493588,215.0108843
2,10/31/22 17:06,215.4051897,215.4394927,215.3831312
3,10/31/22 17:10,310.1768385,309.9447358,309.4584101
4,10/31/22 17:14,111.2038726,111.3184438,108.7253167
5,10/31/22 17:17,109.7789722,109.8578352,109.9599246
6,10/31/22 17:20,60.11612731,60.19056992,60.25564899
7,10/31/22 17:23,110.8277783,110.8487197,110.8854344
8,10/31/22 17:25,652.356474,643.7962318,479.7220192
9,10/31/22 17:29,681.7629492,680.9929219,680.8114869
10,10/31/22 17:32,20.97939825,21.53045008,22.0536071
11,10/31/22 17:35,276.1028476,276.1202933,276.2007768
12,10/31/22 17:38,316.9769675,316.3487774,311.1465645
13,10/31/22 17:41,317.9567746,318.0971005,318.0598829
14,10/31/22 17:44,263.176639,263.6838768,264.3936827
15,10/31/22 17:48,261.1143624,261.1850827,261.2528049
16,10/31/22 17:51,948.9482143,946.3366379,948.3731599
17,10/31/22 17:54,431.5219935,432.3297373,432.9261522
18,10/31/22 17:57,168.782645,169.2536355,163.28999
19,10/31/22 18:01,1116.532017,1114.877077,1106.74116
20,10/31/22 18:04,1142.182007,1133.85298,1133.04868
21,10/31/22 18:07,18.0399323,18.03025757,18.04298249
22,10/31/22 18:10,618.4734283,486.1829232,351.3972604
23,10/31/22 18:14,632.0134933,631.5138408,631.09225
24,10/31/22 18:17,22.84051903,22.89645113,24.52926314
25,10/31/22 18:21,22.37902876,22.40253836,22.43163719
26,10/31/22 18:24,462.5938065,461.6212174,460.645878
27,10/31/22 18:27,469.1782441,468.953151,468.3820658
28,10/31/22 18:30,0,0,0
29,10/31/22 18:34,617.8157649,616.1945577,539.8763246
30,10/31/22 18:37,631.690235,631.1252365,630.6817646
31,10/31/22 18:41,162.7862031,162.8730462,162.9063893
32,10/31/22 18:44,559.9402636,560.8088033,565.4901521
33,10/31/22 18:48,566.7353765,566.4633936,566.3464375
34,10/31/22 18:51,2.283777691,2.293931091,2.290714332
35,10/31/22 18:55,7.112218145,7.164448577,7.214943491
36,10/31/22 18:58,0,0,0
37,10/31/22 19:02,335.2498687,334.771514,333.9834886
38,10/31/22 19:05,0.680600334,0.685793262,0.693157946
39,10/31/22 19:09,1128.695447,1123.054197,1117.904389
40,10/31/22 19:12,1131.728502,1133.796332,1137.18657
41,10/31/22 19:16,91.44810743,91.56652158,91.65580734
42,10/31/22 19:19,0,0,0
43,10/31/22 19:23,0,0,0
44,10/31/22 19:26,2.966029986,2.983596801,2.983021688
45,10/31/22 19:30,316.0959214,315.6492328,315.275835
46,10/31/22 19:33,320.4634757,320.0865737,319.6670414
47,10/31/22 19:37,7.186266595,7.222858194,7.248667088
48,10/31/22 19:40,832.9174261,819.6045922,602.4885566
49,10/31/22 19:44,859.5684028,861.9737992,861.9023793
50,10/31/22 19:47,9.274894351,9.271052529,11.15239689
51,10/31/22 19:51,9.245043117,9.2533614,9.262111254
52,10/31/22 19:54,387.4496227,387.0188065,386.7057243
53,10/31/22 19:57,77.29641541,143.4532843,224.3539497
54,10/31/22 20:00,76.94729642,77.00830252,77.06326029
55,10/31/22 20:04,0,0,0
56,10/31/22 20:11,235.0763504,234.7732971,234.5134215
57,10/31/22 20:14,1056.628906,1041.799626,869.8707325
58,10/31/22 20:18,1087.634952,1089.285836,1091.68003
59,10/31/22 20:21,1.752801373,1.751219015,1.750330621
60,10/31/22 20:32,10.19215656,7.097047809,42.51972096
61,10/31/22 20:35,10.09934798,10.09472387,10.09718893
62,10/31/22 20:38,0,1.743644062,77.29863057
63,10/31/22 20:42,0,0,0
64,10/31/22 20:45,132.0951663,132.0844763,132.0588104
65,10/31/22 20:49,464.0428955,462.8453778,461.8211345
66,10/31/22 20:52,475.8786088,475.4268695,474.8674313
67,10/31/22 20:55,43.71099038,40.73625998,123.3892316
68,10/31/22 20:59,43.64455522,43.68530697,43.71247989
69,11/2/22 16:38,0,0,0.372869888
70,11/2/22 16:41,1.122640203,1.128670378,1.187019522
71,11/2/22 16:45,1.096631508,1.094641952,1.094123522
72,11/2/22 16:48,1.086307689,1.080204739,1.082222565
