,Datetime (UTC),last 30s (kg/h),last 60s (kg/h),last 90s (kg/h)
0,2022-10-24 16:46:16,0,0,0
1,2022-10-24 16:49:22,0,0,0
2,2022-10-24 16:52:33,17.84362065,17.83591318,17.84589508
3,2022-10-24 16:55:42,17.81225535,17.80894682,17.80834312
4,2022-10-24 16:59:02,17.83204026,17.82745731,17.8242476
5,2022-10-24 17:02:04,107.8631535,107.8974177,107.9439468
6,2022-10-24 17:05:21,107.7377342,107.7357364,107.7369073
7,2022-10-24 17:08:22,107.4373548,107.4251744,107.4496866
8,2022-10-24 17:11:38,1.630331419,1.633566039,1.63967036
9,2022-10-24 17:14:38,1.575648581,1.578608203,1.580478765
10,2022-10-24 17:17:54,1.533164865,1.538585174,1.545542664
11,2022-10-24 17:20:59,12.29183884,12.28104472,12.26225354
12,2022-10-24 17:24:13,12.30961703,12.30570059,12.30487556
13,2022-10-24 17:27:12,3.296867226,3.315146754,3.340472044
14,2022-10-24 17:30:28,3.23779889,3.248279528,3.249584347
15,2022-10-24 17:33:39,3.230825574,3.235902197,3.237821723
16,2022-10-24 17:36:53,3.225755497,3.219373416,3.219878888
17,2022-10-24 17:40:00,28.25064697,28.23828374,28.20197829
18,2022-10-24 17:43:18,28.27962929,28.28111016,28.28408558
19,2022-10-24 17:46:21,28.26929265,28.27144859,28.26798527
20,2022-10-24 17:49:37,186.779311,186.7872748,186.7870681
21,2022-10-24 17:52:40,187.2966658,187.2593056,187.2227591
22,2022-10-24 17:57:59,188.4695458,188.4077528,188.3846018
23,2022-10-24 18:01:12,59.75511097,59.86717967,61.70245319
24,2022-10-24 18:04:31,59.06227355,59.10078689,59.13032044
25,2022-10-24 18:07:34,116.0326568,116.0376787,115.9632673
26,2022-10-24 18:10:51,0,0,0
27,2022-10-24 18:13:54,706.1365373,713.0163522,730.5117665
28,2022-10-24 18:17:18,714.7845573,714.8307284,714.2434923
29,2022-10-24 18:20:26,716.2737705,715.9519536,714.7817091
30,2022-10-24 18:23:39,712.0512732,710.9451316,711.2231506
31,2022-10-24 18:26:41,436.7800874,437.0654348,457.0737195
32,2022-10-24 18:29:54,432.1051025,432.4504653,433.0982397
33,2022-10-24 18:33:04,431.0176205,430.9840366,430.8155088
34,2022-10-24 18:39:07,161.27823,161.3540742,161.4755983
35,2022-10-24 18:42:16,160.3912896,160.5418857,160.6198594
36,2022-10-24 18:45:34,159.7612628,159.8160803,159.86058
37,2022-10-24 18:48:36,42.24333159,42.27474494,42.34228454
38,2022-10-24 18:51:57,41.84149239,41.85353088,41.8740396
39,2022-10-24 18:55:01,41.4577959,41.47572793,41.49938479
40,2022-10-24 18:58:14,8.725007707,8.728329265,8.742388289
41,2022-10-24 19:01:19,8.665007208,8.666395705,8.672261914
42,2022-10-24 19:04:28,8.624888084,8.630508816,8.6346456
43,2022-10-24 19:07:37,4.107388342,4.083904983,4.079742206
