Date,PerformerExperimentID,Time (UTC) - from team,Last 30s (kg/h) - from team,Last 60s (kg/h) - from team,Last 90s (kg/h) - from team,QC: discard - from team,StanfordOverpassID,Time (UTC) - from Stanford,Last 30s (kg/h) - from Stanford,Last 60s (kg/h) - from Stanford,Last 90s (kg/h) - from Stanford,QC: discard - from Stanford,Time difference (s)
2022-10-31,1,17:03:00,215.0665487,215.0493588,215.0108843,0,1,17:03:58,215.2088939,215.1297988,215.1072212,0,58
2022-10-31,2,17:06:00,215.4051897,215.4394927,215.3831312,0,2,17:07:11,215.6039378,215.6042814,215.5802857,0,71
2022-10-31,3,17:10:00,310.1768385,309.9447358,309.4584101,0,3,17:10:55,303.1081822,306.0609579,307.4022618,0,55
2022-10-31,4,17:14:00,111.2038726,111.3184438,108.7253167,0,4,17:14:15,111.0344407,111.2042417,110.5082131,0,15
2022-10-31,5,17:17:00,109.7789722,109.8578352,109.9599246,0,5,17:17:11,109.728477,109.8155192,109.9026237,0,11
2022-10-31,6,17:20:00,60.11612731,60.19056992,60.25564899,0,6,17:20:09,60.08391295,60.15261585,60.21611936,0,9
2022-10-31,7,17:23:00,110.8277783,110.8487197,110.8854344,0,7,17:23:18,110.7465178,110.8118986,110.8366014,0,18
2022-10-31,8,17:25:00,652.356474,643.7962318,479.7220192,1,8,17:26:03,665.078361,662.5098552,659.3629603,0,63
2022-10-31,9,17:29:00,681.7629492,680.9929219,680.8114869,0,9,17:29:18,683.9856288,682.6612016,681.7308071,0,18
2022-10-31,10,17:32:00,20.97939825,21.53045008,22.0536071,0,10,17:32:10,20.6059903,21.16249952,21.70783865,0,10
2022-10-31,11,17:35:00,276.1028476,276.1202933,276.2007768,0,11,17:35:30,276.0085453,276.060983,276.0864789,0,30
2022-10-31,12,17:38:00,316.9769675,316.3487774,311.1465645,1,12,17:38:24,317.2452719,317.0222639,316.4975322,0,24
2022-10-31,13,17:41:00,317.9567746,318.0971005,318.0598829,0,13,17:41:48,318.0768261,318.0179635,318.0489847,0,48
2022-10-31,14,17:44:00,263.176639,263.6838768,264.3936827,1,14,17:44:49,262.1322917,262.3844313,262.7897518,0,49
