refill_no,rawhide_refill_date,start_utc,end_utc,notes,su_notes,km_composition_date,su_raw,su_normalized,
1,2022-10-05,10/5/22 0:00,10/12/22 18:12,Stop time from log book,Sample: 01,2022-10-05,0.94,0.94,
2,2022-10-12,10/12/22 18:12,10/19/22 0:00,No testing this week,Sample: 03,2022-10-12,0.92,0.92,
3,2022-10-19,10/19/22 0:00,10/25/22 17:42,Start time based on Rawhide invoice,Sample: 05,2022-10-19,0.90,0.90,
4,2022-10-25,10/25/22 17:42,10/28/22 0:00,Stop time based on truck log spreadsheet,Sample: 06,2022-10-25,0.88,0.88,
5,2022-10-27,10/28/22 0:00,10/29/22 16:00,Stop time based on truck log spreadsheet,"Samples: 08, 09",2022-10-27,0.87,0.87,
6,2022-10-29,10/29/22 16:00,10/31/22 0:00,Stop time based on truck log spreadsheet,"Samples: 10, 11",2022-10-29,0.92,0.92,
7,2022-10-30,10/31/22 0:00,11/1/22 16:00,Stop time based on truck log spreadsheet,"Samples: 12, 13",2022-10-30,0.96,0.93,
8,2022-11-01,11/1/22 16:00,11/8/22 0:00,Stop time based on truck log spreadsheet,"Samples: 14, 15",2022-11-01,0.96,0.93,
9,2022-11-07,11/8/22 0:00,11/9/22 0:00,Stop time based on truck log spreadsheet,"Samples: 16, 17",2022-11-07,1.00,0.96,
10,2022-11-08,11/9/22 0:00,11/11/22 0:00,Stop time based on truck log spreadsheet,"Missing - use average of 16, 17, 18",2022-11-08,1.00,0.95,
11,2022-11-11,11/11/22 0:00,11/15/22 16:56,Stop time based on truck log spreadsheet,Sample: 18,2022-11-11,1.00,0.95,
12,2022-11-15,11/15/22 16:56,11/17/22 18:47,Stop time based on truck log spreadsheet,"Samples: 20, 21",2022-11-15,1.00,0.95,
13,2022-11-17,11/17/22 18:47,11/21/22 16:00,Stop time based on truck log spreadsheet,"Samples: 22, 23",2022-11-17,1.00,0.96,
14,2022-11-19,11/21/22 16:00,11/28/22 0:00,Weekend refill,"Samples: 24, 25",2022-11-19,1.00,0.95,
15,2022-11-26,11/28/22 0:00,12/1/22 0:00,"Thanksgiving refill, average 11/26 and 11/27","Samples: 26, 27",2022-11-26,0.99,0.94,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
