,refill_no,rawhide_refill_date,start_utc,end_utc,notes,su_notes,km_composition_date,su_raw,su_normalized,km,km_sigma,su_raw_sigma,su_normalized_sigma
0,1,10/5/22,10/5/22 0:00,10/12/22 18:12,Stop time from log book,Sample: 01,10/5/22,0.94,0.94,0.936358125,0.001617428,0.0225,0.0225
1,2,10/12/22,10/12/22 18:12,10/19/22 0:00,No testing this week,Sample: 03,10/12/22,0.92,0.92,0.9390905,0.001958542,0.0225,0.0225
2,3,10/19/22,10/19/22 0:00,10/25/22 17:42,Start time based on Rawhide invoice,Sample: 05,10/19/22,0.9,0.9,0.946018,0.002406931,0.0225,0.0225
3,4,10/25/22,10/25/22 17:42,10/28/22 0:00,Stop time based on truck log spreadsheet,Sample: 06,10/25/22,0.88,0.88,0.950644,0.001365767,0.0225,0.0225
4,5,10/27/22,10/28/22 0:00,10/29/22 16:00,Stop time based on truck log spreadsheet,"Samples: 08, 09",10/27/22,0.87,0.87,0.950293875,0.001361713,0.0225,0.0225
5,6,10/29/22,10/29/22 16:00,10/31/22 0:00,Stop time based on truck log spreadsheet,"Samples: 10, 11",10/29/22,0.92,0.92,0.953323875,0.004610306,0.0225,0.0225
6,7,10/30/22,10/31/22 0:00,11/1/22 16:00,Stop time based on truck log spreadsheet,"Samples: 12, 13",10/30/22,0.96,0.93,0.9542875,0.003645072,0.0225,0.0225
7,8,11/1/22,11/1/22 16:00,11/8/22 0:00,Stop time based on truck log spreadsheet,"Samples: 14, 15",11/1/22,0.96,0.93,0.95034125,0.002693054,0.0225,0.0225
8,9,11/7/22,11/8/22 0:00,11/9/22 0:00,Stop time based on truck log spreadsheet,"Samples: 16, 17",11/7/22,1,0.96,0.953370125,0.001319614,0.0225,0.0225
9,10,11/8/22,11/9/22 0:00,11/11/22 0:00,Stop time based on truck log spreadsheet,"Missing - use average of 16, 17, 18",11/8/22,1,0.95,0.953674,0.00166258,0.0225,0.0225
10,11,11/11/22,11/11/22 0:00,11/15/22 16:56,Stop time based on truck log spreadsheet,Sample: 18,11/11/22,1,0.95,0.953894125,0.002032185,0.0225,0.0225
11,12,11/15/22,11/15/22 16:56,11/17/22 18:47,Stop time based on truck log spreadsheet,"Samples: 20, 21",11/15/22,1,0.95,0.950938875,0.001265674,0.0225,0.0225
12,13,11/17/22,11/17/22 18:47,11/21/22 16:00,Stop time based on truck log spreadsheet,"Samples: 22, 23",11/17/22,1,0.96,0.946370625,0.005284178,0.0225,0.0225
13,14,11/19/22,11/21/22 16:00,11/28/22 0:00,Weekend refill,"Samples: 24, 25",11/19/22,1,0.95,0.941120625,0.000927711,0.0225,0.0225
14,15,11/26/22,11/28/22 0:00,12/1/22 0:00,"Thanksgiving refill, average 11/26 and 11/27","Samples: 26, 27",11/26/22,0.99,0.94,0.9422685,0.000995117,0.0225,0.0225
