datetime,tap_1,tap_2
10/1/22 9:00,0.935927,0.93591
10/2/22 9:00,0.935679,0.935662
10/3/22 9:00,0.935095,0.93513
10/4/22 9:00,0.938729,0.938733
10/5/22 9:00,0.938118,0.938154
10/6/22 9:00,0.933589,0.933379
10/7/22 9:00,0.939571,0.939643
10/8/22 9:00,0.936455,0.936236
10/9/22 9:00,0.940584,0.940881
10/10/22 9:00,0.940214,0.940226
10/11/22 9:00,0.939086,0.939042
10/12/22 9:00,0.939232,0.938835
10/13/22 9:00,0.938309,0.93846
10/14/22 9:00,0.938119,0.93845
10/15/22 9:00,0.943245,0.942554
10/16/22 9:00,0.945373,0.94536
10/17/22 9:00,0.947438,0.94787
10/18/22 9:00,0.948145,0.948159
10/19/22 9:00,0.946772,0.9466
10/20/22 9:00,0.947628,0.946704
10/21/22 9:00,0.949978,0.949244
10/22/22 9:00,0.953029,0.952282
10/23/22 9:00,0.949559,0.950661
10/24/22 9:00,0.950178,0.950221
10/25/22 9:00,0.948721,0.948834
10/26/22 9:00,0.951972,0.952205
10/27/22 9:00,0.959663,0.959817
10/28/22 9:00,0.952438,0.952941
10/29/22 9:00,0.951361,0.953903
10/30/22 9:00,0.949013,0.947717
10/31/22 9:00,0.947893,0.947464
11/1/22 9:00,0.945616,0.945441
11/2/22 9:00,0.945739,0.945499
11/3/22 9:00,0.954165,0.954188
11/4/22 9:00,0.952603,0.953597
11/5/22 9:00,0.955926,0.95323
11/6/22 9:00,0.952985,0.950267
11/7/22 9:00,0.955863,0.954921
11/8/22 9:00,0.95366,0.953676
11/9/22 9:00,0.955431,0.955395
11/10/22 9:00,0.951112,0.951095
11/11/22 9:00,0.950741,0.950783
11/12/22 9:00,0.951375,0.951333
11/13/22 9:00,0.952323,0.952341
11/14/22 9:00,0.949306,0.949309
11/15/22 9:00,0.941825,0.941845
11/16/22 9:00,0.942002,0.942014
11/17/22 9:00,0.940358,0.940334
11/18/22 9:00,0.940305,0.940282
11/19/22 9:00,0.941504,0.941322
11/20/22 9:00,0.941464,0.941533
11/21/22 9:00,0.942095,0.942137
11/22/22 9:00,0.943559,0.943571
11/23/22 9:00,0.942444,0.942455
11/24/22 9:00,0.941305,0.941179
11/25/22 9:00,0.941941,0.941694
11/26/22 9:00,0.943229,0.943569
11/27/22 9:00,0.940646,0.94004
11/28/22 9:00,0.939766,0.93973
11/29/22 9:00,0.940235,0.940276
