,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,methane_fraction_km,kgh_gas_60_mean,kgh_gas_60_std,kgh_ch4_60_mean_km,kgh_ch4_60_std_km
0,2022-10-24 16:46:15,1,0,None,0,0,1341.440878556028,0.9467720000000003,0.0,0.0,0.0,0.0
1,2022-10-24 16:49:22,2,0,None,0,0,1366.343000743972,0.9467720000000003,0.0,0.0,0.0,0.0
2,2022-10-24 16:52:32,3,1,bc,0,1,1308.693174096028,0.9467720000000003,19.818804,0.035870188330248,18.763888700688003,0.033960889945805456
3,2022-10-24 16:55:42,4,1,bc,0,0,1324.65883504,0.9467720000000003,19.787621999999995,0.02659238828266988,18.734366456184,0.025176928639159855
4,2022-10-24 16:59:01,5,1,bc,0,0,1342.620887123972,0.9467720000000003,19.808615999999997,0.03140582280028211,18.754242987552004,0.0297341536642685
5,2022-10-24 17:02:04,6,0,mc,0,0,1351.0280396239718,0.9467720000000003,119.88462,0.13820117834126894,113.50340144664,0.13084500602052024
6,2022-10-24 17:05:20,7,0,mc,0,0,1355.3910102360278,0.9467720000000003,119.7072,0.09160267925916606,113.33542515839999,0.08672685184755938
7,2022-10-24 17:08:21,8,0,mc,0,0,1339.943175096028,0.9467720000000003,119.36327999999999,0.12286654852221918,113.00981133216001,0.11632660787747824
8,2022-10-24 17:11:37,9,1,bc,0,0,1358.929942763972,0.9467720000000003,1.8152771999999997,0.029223725446566033,1.7186536251983997,0.02766820498849622
9,2022-10-24 17:14:38,10,1,bc,0,0,1346.9559705960282,0.9467720000000003,1.7542248,0.02710093145738032,1.6608509223455998,0.025658403077766873
10,2022-10-24 17:17:53,11,1,bc,0,0,1353.0430223,0.9467720000000003,1.7095734,0.028377598343931283,1.6185762270648,0.026867115539280503
11,2022-10-24 17:20:59,12,1,bc,0,0,1341.3774487639719,0.9467720000000003,13.646712000000003,0.031096029110493896,12.920324813664,0.02944084967300038
12,2022-10-24 17:24:12,13,1,bc,0,0,1333.7484022600001,0.9467720000000003,13.673093999999999,0.029656192036431314,12.945302552567998,0.028077652246716104
13,2022-10-24 17:27:11,14,1,bc,0,0,1355.863997783972,0.9467720000000003,3.684192,0.032832400532793245,3.4880898282240005,0.031084797517233722
14,2022-10-24 17:30:27,15,1,bc,0,0,1348.437816443972,0.9467720000000003,3.6096078000000005,0.025332980831118738,3.4174755960216,0.023984556927439976
15,2022-10-24 17:33:38,16,1,bc,0,0,1353.22018766,0.9467720000000003,3.5953530000000002,0.027784970536763477,3.403979550516,0.026306032125032644
16,2022-10-24 17:36:52,17,1,bc,0,0,1381.301990723972,0.9467720000000003,3.5770602,0.027594057885772922,3.3866604396744,0.026125281372629
17,2022-10-24 17:40:00,18,1,bc,0,1,1377.9648298560282,0.9467720000000003,31.37543999999999,0.039347527995060166,29.70538807968,0.037253137774939216
18,2022-10-24 17:43:18,19,1,bc,0,0,1352.7761807560282,0.9467720000000003,31.423242000000002,0.0385534929631677,29.750645674824,0.036501367639724
19,2022-10-24 17:46:20,20,1,bc,0,0,1369.64899396,0.9467720000000003,31.413972,0.04395529396009824,29.741869098384004,0.04161564157319001
20,2022-10-24 17:49:37,21,1,mc,0,0,1356.3145666960281,0.9467720000000003,207.54384,0.2489285754207746,196.49669648448,0.23567860520827877
21,2022-10-24 17:52:40,22,1,mc,0,0,1370.2663387960279,0.9467720000000003,208.06607999999997,0.2630865120327486,196.99113869376004,0.24908294317027552
