,datetime_utc,overpass_id,phase_iii,kgh_gas_30,kgh_gas_60,kgh_gas_90,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,methane_fraction_su_raw,kgh_ch4_30_su_raw,kgh_ch4_60_su_raw,kgh_ch4_90_su_raw,methane_fraction_su_normalized,kgh_ch4_30_su_normalized,kgh_ch4_60_su_normalized,kgh_ch4_90_su_normalized,methane_fraction_km,kgh_ch4_30_km,kgh_ch4_60_km,kgh_ch4_90_km
1,2022-10-25 17:15:08,1.0,0,217.0729161,217.0729161,217.0729161,mc,0,1,41623.97797,0.9,195.36562449,195.36562449,195.36562449,0.9,195.36562449,195.36562449,195.36562449,0.946772,205.51855892182917,205.51855892182917,205.51855892182917
2,2022-10-25 17:32:52,2.0,0,102.4808516,102.4808516,102.4808516,mc,0,0,41630.46886,0.9,92.23276643999999,92.23276643999999,92.23276643999999,0.9,92.23276643999999,92.23276643999999,92.23276643999999,0.946772,97.02600083103519,97.02600083103519,97.02600083103519
3,2022-10-25 17:50:42,3.0,0,1041.30929,1041.30929,1041.30929,pc,1,1,42633.14464,0.88,916.3521751999999,916.3521751999999,916.3521751999999,0.88,916.3521751999999,916.3521751999999,916.3521751999999,0.948721,987.9119909180899,987.9119909180899,987.9119909180899
4,2022-10-25 18:09:11,4.0,0,1039.470968,1039.470968,1039.470968,pc,0,0,42635.03948,0.88,914.7344518400001,914.7344518400001,914.7344518400001,0.88,914.7344518400001,914.7344518400001,914.7344518400001,0.948721,986.1679362319281,986.1679362319281,986.1679362319281
5,2022-10-25 18:27:57,5.0,0,0.0,0.0,0.0,None,1,1,43640.086839999996,0.88,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.948721,0.0,0.0,0.0
6,2022-10-25 18:47:09,6.0,0,492.3116129,492.3116129,492.3116129,pc,0,0,43643.14464,0.88,433.234219352,433.234219352,433.234219352,0.88,433.234219352,433.234219352,433.234219352,0.948721,467.06636570210094,467.06636570210094,467.06636570210094
7,2022-10-25 19:07:10,7.0,0,25.67396903,25.67396903,25.67396903,bc,0,0,43626.23549,0.88,22.5930927464,22.5930927464,22.5930927464,0.88,22.5930927464,22.5930927464,22.5930927464,0.948721,24.35743357211063,24.35743357211063,24.35743357211063
8,2022-10-25 19:28:04,8.0,0,668.168129,668.168129,668.168129,pc,0,0,43632.51964,0.88,587.98795352,587.98795352,587.98795352,0.88,587.98795352,587.98795352,587.98795352,0.948721,633.9051355130091,633.9051355130091,633.9051355130091
10,2022-10-25 20:10:31,9.0,0,149.5008,149.5008,149.5008,mc,0,0,44646.26964,0.88,131.560704,131.560704,131.560704,0.88,131.560704,131.560704,131.560704,0.948721,141.8345484768,141.8345484768,141.8345484768
11,2022-10-25 20:29:58,10.0,0,78.47628387,78.47628387,78.47628387,mc,0,1,44667.51964,0.88,69.05912980560001,69.05912980560001,69.05912980560001,0.88,69.05912980560001,69.05912980560001,69.05912980560001,0.948721,74.45209850943027,74.45209850943027,74.45209850943027
12,2022-10-25 20:46:41,11.0,0,66.31317581,66.31317581,66.31317581,mc,0,0,44667.51964,0.88,58.355594712800006,58.355594712800006,58.355594712800006,0.88,58.355594712800006,58.355594712800006,58.355594712800006,0.948721,62.912702467639015,62.912702467639015,62.912702467639015
13,2022-10-29 16:25:02,12.0,0,0.0,0.0,0.0,None,0,0,42617.543679999995,0.92,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.951361,0.0,0.0,0.0
14,2022-10-29 16:50:52,13.0,0,356.9258323,356.9258323,356.9258323,mc,0,0,42642.51964,0.92,328.371765716,328.371765716,328.371765716,0.92,328.371765716,328.371765716,328.371765716,0.951361,339.56531674276033,339.56531674276033,339.56531674276033
15,2022-10-29 17:17:02,14.0,0,704.6372903,704.6372903,704.6372903,pc,0,0,42642.51964,0.92,648.2663070760001,648.2663070760001,648.2663070760001,0.92,648.2663070760001,648.2663070760001,648.2663070760001,0.951361,670.3644371370983,670.3644371370983,670.3644371370983
16,2022-10-29 17:42:47,15.0,0,425.7812903,425.7812903,425.7812903,pc,0,0,43641.474559999995,0.92,391.718787076,391.718787076,391.718787076,0.92,391.718787076,391.718787076,391.718787076,0.951361,405.07171412109835,405.07171412109835,405.07171412109835
17,2022-10-29 18:07:14,16.0,0,35.23534839,35.23534839,35.23534839,bc,0,0,43640.198209999995,0.92,32.4165205188,32.4165205188,32.4165205188,0.92,32.4165205188,32.4165205188,32.4165205188,0.951361,33.52153627965879,33.52153627965879,33.52153627965879
18,2022-10-29 18:31:01,17.0,0,354.3467226,354.3467226,354.3467226,mc,0,0,43625.62149,0.92,325.99898479200004,325.99898479200004,325.99898479200004,0.92,325.99898479200004,325.99898479200004,325.99898479200004,0.951361,337.1116523594586,337.1116523594586,337.1116523594586
19,2022-10-29 18:54:09,18.0,0,856.8987097,856.8987097,856.8987097,pc,0,0,43635.8699,0.92,788.3468129240001,788.3468129240001,788.3468129240001,0.92,788.3468129240001,788.3468129240001,788.3468129240001,0.951361,815.2200133589017,815.2200133589017,815.2200133589017
20,2022-10-29 19:16:43,19.0,0,1115.413548,1115.413548,1115.413548,pc,0,0,43617.51964,0.92,1026.18046416,1026.18046416,1026.18046416,0.92,1026.18046416,1026.18046416,1026.18046416,0.951361,1061.160948438828,1061.160948438828,1061.160948438828
21,2022-10-29 19:38:38,20.0,0,1354.244516,1354.244516,1354.244516,pc,0,0,44617.51964,0.92,1245.90495472,1245.90495472,1245.90495472,0.92,1245.90495472,1245.90495472,1245.90495472,0.951361,1288.375416986276,1288.375416986276,1288.375416986276
22,2022-10-29 19:59:57,21.0,0,613.6722581,613.6722581,613.6722581,pc,0,0,44608.46226,0.92,564.578477452,564.578477452,564.578477452,0.92,564.578477452,564.578477452,564.578477452,0.951361,583.8238531382741,583.8238531382741,583.8238531382741
23,2022-10-29 20:21:33,22.0,0,204.0646065,204.0646065,204.0646065,mc,1,1,44617.51964,0.92,187.73943798,187.73943798,187.73943798,0.92,187.73943798,187.73943798,187.73943798,0.951361,194.1391081044465,194.1391081044465,194.1391081044465
24,2022-10-29 20:42:37,23.0,0,517.7833548,517.7833548,517.7833548,pc,1,1,44617.51964,0.92,476.360686416,476.360686416,476.360686416,0.92,476.360686416,476.360686416,476.360686416,0.951361,492.5988902058828,492.5988902058828,492.5988902058828
25,2022-10-29 21:02:19,24.0,0,177.0804,177.0804,177.0804,mc,0,0,44627.869099999996,0.92,162.913968,162.913968,162.913968,0.92,162.913968,162.913968,162.913968,0.951361,168.4673864244,168.4673864244,168.4673864244
