,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,gas_kgh_30_mean,gas_kgh_30_std,meter_sigma,methane_fraction_ms,methane_fraction_ms_sigma,ch4_kgh_30_mean_ms,ch4_kgh_sigma
0,2022-10-25 17:15:00,1.0,0,mc,0.0,1.0,41623.97797,217.03019999999998,0.3597182000514774,0.2768242346938775,0.9460179999999998,0.0024069307218945,205.3144757436,0.6762121656531064
1,2022-10-25 17:32:00,2.0,0,mc,0.0,0.0,41630.46886,102.73164,0.08236807885214555,0.13103525510204078,0.9460179999999998,0.0024069307218945,97.18598060951997,0.2873668890577956
2,2022-10-25 17:51:00,3.0,0,pc,1.0,1.0,42633.14464,1049.6484000000003,27.973166025490475,1.3388372448979593,0.9506440000000002,0.0013657668785947996,997.8419535696,26.661532197459522
3,2022-10-25 18:09:00,4.0,0,pc,0.0,0.0,42635.03948,1038.27,28.461124018804902,1.3243239795918371,0.9506440000000002,0.0013657668785947996,987.02514588,27.122765554894126
4,2022-10-25 18:27:00,5.0,0,None,1.0,1.0,43640.086839999996,0.0,0.0,0.0,0.9506440000000002,0.0,0.0,0.0
5,2022-10-25 18:47:00,6.0,0,pc,0.0,0.0,43643.14464,493.2396,2.062228951468743,0.6291321428571429,0.9506440000000002,0.0013657668785947996,468.89526630240005,2.157510632216032
6,2022-10-25 19:07:00,7.0,0,bc,0.0,0.0,43626.23549,25.674743999999997,0.029818530873406426,0.03274839795918363,0.9506440000000002,0.0013657668785947996,24.407541335136,0.05479371788483642
7,2022-10-25 19:27:00,8.0,0,pc,0.0,0.0,43632.51964,667.7976,6.422656156945102,0.8517826530612245,0.9506440000000002,0.0013657668785947996,634.8377816544001,6.226283521786746
8,2022-10-25 20:10:00,9.0,0,mc,0.0,0.0,44646.26964,149.52779999999998,0.17545821783802878,0.19072423469387753,0.9506440000000002,0.0013657668785947996,142.1477059032,0.32000180267179323
9,2022-10-25 20:29:00,10.0,0,mc,0.0,1.0,44667.51964,78.67055999999998,0.09185989932200214,0.10034510204081629,0.9506440000000002,0.0013657668785947996,74.78769584064001,0.16813723849911658
10,2022-10-25 20:46:00,11.0,0,mc,0.0,0.0,44667.51964,66.31552500000001,0.03036682840273871,0.08458612882653058,0.9506440000000002,0.0013657668785947996,63.04245594810001,0.12450921914184808
11,2022-10-29 16:25:00,12.0,0,None,0.0,0.0,42617.543679999995,0.0,0.0,0.0,0.9533238749999998,0.0,0.0,0.0
12,2022-10-29 16:50:00,13.0,0,mc,0.0,0.0,42642.51964,356.49552,0.7250155377169742,0.4547136734693878,0.9533238749999998,0.0046103061607482,339.85569054654,1.8349123958272
13,2022-10-29 17:17:00,14.0,0,pc,0.0,0.0,42642.51964,704.2451999999998,5.490462818253197,0.8982719387755103,0.9533238749999998,0.0046103061607482,671.37376301415,6.218655959117388
14,2022-10-29 17:43:00,15.0,0,pc,1.0,1.0,43641.474559999995,425.832,1.4987100660464598,0.5431530612244899,0.9533238749999998,0.0046103061607482,405.955812339,2.4826756231109783
15,2022-10-29 18:07:00,16.0,0,bc,0.0,0.0,43640.198209999995,35.241648000000005,0.042427338486341025,0.04495108163265302,0.9533238749999998,0.0046103061607482,33.596704432746,0.1728305244063203
16,2022-10-29 18:31:00,17.0,0,mc,0.0,0.0,43625.62149,354.3722400000001,0.8476335747040241,0.45200540816326534,0.9533238749999998,0.0046103061607482,337.83151702923,1.8729238792964924
17,2022-10-29 18:54:00,18.0,0,pc,0.0,0.0,43635.8699,860.0052000000001,12.296492896140235,1.0969454081632652,0.9533238749999998,0.0046103061607482,819.8634897841499,12.419012125681984
18,2022-10-29 19:17:00,19.0,0,pc,0.0,0.0,43617.51964,1110.4704,32.813177363097104,1.4164163265306122,0.9533238749999998,0.0046103061607482,1058.6379448008,31.726507778579233
19,2022-10-29 19:38:00,20.0,0,pc,0.0,1.0,44617.51964,1351.9235999999999,31.775967988836886,1.7243923469387756,0.9533238749999998,0.0046103061607482,1288.82104505595,30.971003388030937
20,2022-10-29 20:00:00,21.0,0,pc,0.0,0.0,44608.46226,613.6596000000001,3.8580148334567763,0.7827290816326531,0.9533238749999998,0.0046103061607482,585.0163478029501,4.69980530527363
21,2022-10-29 20:21:00,22.0,0,mc,0.0,0.0,44617.51964,214.33955999999998,0.3041148666835117,0.2733922959183674,0.9533238749999998,0.0046103061607482,204.33501990499505,1.0622919685926595
22,2022-10-29 21:02:00,24.0,0,mc,0.0,0.0,44627.869099999996,177.0984,0.05109446120194763,0.22589081632653057,0.9533238749999998,0.0046103061607482,168.83213294430004,0.8458032099407069
