,datetime_utc,overpass_id,phase_iii,kgh_gas_30,kgh_gas_60,kgh_gas_90,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,methane_fraction_su_raw,kgh_ch4_30_su_raw,kgh_ch4_60_su_raw,kgh_ch4_90_su_raw,methane_fraction_su_normalized,kgh_ch4_30_su_normalized,kgh_ch4_60_su_normalized,kgh_ch4_90_su_normalized,methane_fraction_km,kgh_ch4_30_km,kgh_ch4_60_km,kgh_ch4_90_km
1,2022-10-25 17:15:00,1.0,0,217.0276258,216.8481836,216.7650593,mc,0.0,1.0,41623.97797,0.9,195.32486322000003,195.16336524,195.08855337,0.9,195.32486322000003,195.16336524,195.08855337,0.946772,205.4756793339176,205.3057884833392,205.22708872357958
2,2022-10-25 17:32:00,2.0,0,102.7320387,102.7557443,102.7890198,mc,0.0,0.0,41630.46886,0.9,92.45883483,92.48016987000001,92.51011782,0.9,92.45883483,92.48016987000001,92.51011782,0.946772,97.2638177440764,97.2862615423996,97.3177658540856
3,2022-10-25 17:51:00,3.0,0,1050.192,1042.159869,1042.26844,pc,1.0,1.0,42633.14464,0.88,924.16896,917.1006847200001,917.1962272000001,0.88,924.16896,917.1006847200001,917.1962272000001,0.948721,996.3392044320001,988.7189530775491,988.8219566652401
4,2022-10-25 18:09:00,4.0,0,1037.837032,1031.668525,1033.024352,pc,0.0,0.0,42635.03948,0.88,913.2965881599999,907.8683020000001,909.0614297599999,0.88,913.2965881599999,907.8683020000001,909.0614297599999,0.948721,984.6177868360719,978.7655947065251,980.0518962537919
5,2022-10-25 18:27:00,5.0,0,0.0,0.0,0.0,None,1.0,1.0,43640.086839999996,0.88,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.948721,0.0,0.0,0.0
6,2022-10-25 18:47:00,6.0,0,493.1860645,492.8872131,492.8641319,pc,0.0,0.0,43643.14464,0.88,434.00373676,433.740747528,433.72043607200004,0.88,434.00373676,433.740747528,433.72043607200004,0.948721,467.8959762985045,467.6124496994451,467.5905520802999
7,2022-10-25 19:07:00,7.0,0,25.67382968,25.69508262,25.70931297,bc,0.0,0.0,43626.23549,0.88,22.5929701184,22.6116727056,22.6241954136,0.88,22.5929701184,22.6116727056,22.6241954136,0.948721,24.35730136783928,24.37746447832902,24.39096511021137
8,2022-10-25 19:27:00,8.0,0,667.8870968,668.3464918,667.8245275,pc,0.0,0.0,43632.51964,0.88,587.740645184,588.144912784,587.6855842,0.88,587.740645184,588.144912784,587.6855842,0.948721,633.6385143631928,634.0743520469878,633.5791535543276
10,2022-10-25 20:10:00,9.0,0,149.5351742,149.5624131,149.5834418,mc,0.0,0.0,44646.26964,0.88,131.590953296,131.614923528,131.63342878400002,0.88,131.590953296,131.614923528,131.63342878400002,0.948721,141.8671600021982,141.8930021186451,141.91295248793782
11,2022-10-25 20:29:00,10.0,0,78.67277419,78.73229508,78.75431209,mc,0.0,1.0,44667.51964,0.88,69.2320412872,69.2844196704,69.3037946392,0.88,69.2320412872,69.2844196704,69.3037946392,0.948721,74.63851300231099,74.69498172059268,74.7158697203369
12,2022-10-25 20:46:00,11.0,0,66.31533871,66.3383582,66.36392308,mc,0.0,0.0,44667.51964,0.88,58.357498064800005,58.377755216000004,58.400252310400006,0.88,58.357498064800005,58.377755216000004,58.400252310400006,0.948721,62.91475445628992,62.93659352986221,62.96084746838069
13,2022-10-29 16:25:00,12.0,0,0.0,0.0,0.0,None,0.0,0.0,42617.543679999995,0.92,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.951361,0.0,0.0,0.0
14,2022-10-29 16:50:00,13.0,0,356.5243742,356.5329639,356.5199077,mc,0.0,0.0,42642.51964,0.92,328.002424264,328.01032678800004,327.998315084,0.92,328.002424264,328.01032678800004,327.998315084,0.951361,339.18338516328623,339.19155706886795,339.1791359093797
15,2022-10-29 17:17:00,14.0,0,704.5978065,704.5796066,704.2355604,pc,0.0,0.0,42642.51964,0.92,648.22998198,648.2132380720001,647.8967155680001,0.92,648.22998198,648.2132380720001,647.8967155680001,0.951361,670.3268737896466,670.3095591145826,669.9822469777044
16,2022-10-29 17:43:00,15.0,0,425.8474839,425.7725902,425.4226813,pc,1.0,1.0,43641.474559999995,0.92,391.77968518800003,391.71078298400005,391.38886679600006,0.92,391.77968518800003,391.71078298400005,391.38886679600006,0.951361,405.1346881305879,405.0634371852622,404.73054750424933
