,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,methane_fraction_su_normalized,kgh_gas_90_mean,kgh_gas_90_std,kgh_ch4_90_mean_su_normalized,kgh_ch4_90_std_su_normalized
0,2022-10-25 17:15:06,1.0,0,mc,0,1,41623.97797,0.9000000000000004,216.8082,0.39256426826584806,195.12738000000002,0.3533078414392625
1,2022-10-25 17:32:51,2.0,0,mc,0,0,41630.46886,0.9000000000000004,102.63504000000002,0.15654017454695432,92.37153600000002,0.14088615709225832
2,2022-10-25 17:50:38,3.0,0,pc,1,1,42633.14464,0.88,1040.0172,28.032643273171708,915.215136,24.668726080391092
3,2022-10-25 18:09:06,4.0,0,pc,0,0,42635.03948,0.88,1032.9648,25.889494520824854,909.0090240000001,22.78275517832587
4,2022-10-25 18:27:49,5.0,0,None,1,1,43640.086839999996,0.88,0.0,0.0,0.0,0.0
5,2022-10-25 18:47:01,6.0,0,pc,0,0,43643.14464,0.88,492.852,2.1972297164762438,433.70976,1.9335621504990927
6,2022-10-25 19:07:09,7.0,0,bc,0,0,43626.23549,0.88,25.701328000000004,0.03824701886598272,22.61716864,0.03365737660206468
7,2022-10-25 19:27:51,8.0,0,pc,0,0,43632.51964,0.88,667.5852000000001,5.197385667792541,587.4749760000001,4.5736993876574354
8,2022-10-25 20:10:26,9.0,0,mc,0,0,44646.26964,0.88,149.55692000000002,0.16408402834996091,131.6100896,0.14439394494796604
9,2022-10-25 20:29:47,10.0,0,mc,0,1,44667.51964,0.88,78.62276,0.1330322600057858,69.18802879999998,0.11706838880509085
10,2022-10-25 20:46:41,11.0,0,mc,0,0,44667.51964,0.88,66.31193499999999,0.04613966976913183,58.354502800000006,0.04060290939683581
11,2022-10-29 16:25:01,12.0,0,None,0,0,42617.543679999995,0.9200000000000002,0.0,0.0,0.0,0.0
12,2022-10-29 16:50:54,13.0,0,mc,0,0,42642.51964,0.9200000000000002,356.71748,0.759265287563491,328.18008160000005,0.6985240645584112
13,2022-10-29 17:17:02,14.0,0,pc,0,0,42642.51964,0.9200000000000002,704.3796,4.771043710279054,648.0292320000001,4.389360213456731
14,2022-10-29 17:42:41,15.0,0,pc,0,0,43641.474559999995,0.9200000000000002,425.2824,1.763763065949899,391.2598080000001,1.6226620206739162
15,2022-10-29 18:07:05,16.0,0,bc,0,0,43640.198209999995,0.9200000000000002,35.273908000000006,0.04979755201780843,32.45199536,0.04581374785638369
16,2022-10-29 18:30:51,17.0,0,mc,0,0,43625.62149,0.9200000000000002,353.78596000000005,0.8342832521984821,325.48308320000007,0.7675405920226049
17,2022-10-29 18:54:05,18.0,0,pc,0,0,43635.8699,0.9200000000000002,859.0055999999998,11.759198028146667,790.2851519999999,10.818462185894935
18,2022-10-29 19:16:34,19.0,0,pc,0,0,43617.51964,0.9200000000000002,1112.8996,31.079944268745308,1023.8676319999998,28.593548727245697
19,2022-10-29 19:38:31,20.0,0,pc,0,0,44617.51964,0.9200000000000002,1356.0475999999999,35.39828163187993,1247.5637920000001,32.56641910132953
20,2022-10-29 19:59:55,21.0,0,pc,0,0,44608.46226,0.9200000000000002,614.018,4.109298865809028,564.89656,3.7805549565443086
21,2022-10-29 20:19:49,22.0,0,mc,0,0,44617.51964,0.9200000000000002,214.13904000000002,0.32660160000158445,197.00791679999998,0.3004734720014595
22,2022-10-29 20:42:28,23.0,0,pc,1,1,44617.51964,0.9200000000000002,517.6987999999999,2.496727886519839,476.28289600000005,2.2969896555982534
23,2022-10-29 21:02:17,24.0,0,mc,0,0,44627.869099999996,0.9200000000000002,177.096965,0.13756902056255055,162.9292078,0.12656349891754562
