,datetime_utc,overpass_id,phase_iii,kgh_gas_30,kgh_gas_60,kgh_gas_90,kgh_ch4_30,kgh_ch4_60,kgh_ch4_90,methane_fraction,meter,qc_su_discard,qc_su_discard_strict,altitude_feet
1,2022-10-25 17:15:06,1.0,0,217.0903355,217.0903355,217.0903355,191.0394952,191.0394952,191.0394952,0.88,mc,0,1,41623.97797
2,2022-10-25 17:32:51,2.0,0,102.4971097,102.4971097,102.4971097,90.19745652,90.19745652,90.19745652,0.88,mc,0,0,41630.46886
3,2022-10-25 17:50:38,3.0,0,1041.336,1041.336,1041.336,916.37568,916.37568,916.37568,0.88,pc,1,1,42633.14464
4,2022-10-25 18:09:06,4.0,0,1040.303613,1040.303613,1040.303613,915.4671794,915.4671794,915.4671794,0.88,pc,0,0,42635.03948
5,2022-10-25 18:27:49,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,None,1,1,43640.086839999996
6,2022-10-25 18:47:01,6.0,0,493.0954839,493.0954839,493.0954839,433.9240258,433.9240258,433.9240258,0.88,pc,0,0,43643.14464
7,2022-10-25 19:07:09,7.0,0,25.67525806,25.67525806,25.67525806,22.5942271,22.5942271,22.5942271,0.88,bc,0,0,43626.23549
8,2022-10-25 19:27:51,8.0,0,667.9219355,667.9219355,667.9219355,587.7713032,587.7713032,587.7713032,0.88,pc,0,0,43632.51964
10,2022-10-25 20:10:26,9.0,0,149.5282065,149.5282065,149.5282065,131.5848217,131.5848217,131.5848217,0.88,mc,0,0,44646.26964
11,2022-10-25 20:29:47,10.0,0,78.50763871,78.50763871,78.50763871,69.08672206,69.08672206,69.08672206,0.88,mc,0,1,44667.51964
12,2022-10-25 20:46:41,11.0,0,66.31317581,66.31317581,66.31317581,58.35559471,58.35559471,58.35559471,0.88,mc,0,0,44667.51964
13,2022-10-29 16:25:01,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,None,0,0,42617.543679999995
14,2022-10-29 16:50:54,13.0,0,356.9132903,356.9132903,356.9132903,331.92936,331.92936,331.92936,0.93,mc,0,0,42642.51964
15,2022-10-29 17:17:02,14.0,0,704.6372903,704.6372903,704.6372903,655.31268,655.31268,655.31268,0.93,pc,0,0,42642.51964
16,2022-10-29 17:42:41,15.0,0,425.6814194,425.6814194,425.6814194,395.88372,395.88372,395.88372,0.93,pc,0,0,43641.474559999995
17,2022-10-29 18:07:05,16.0,0,35.23916903,35.23916903,35.23916903,32.7724272,32.7724272,32.7724272,0.93,bc,0,0,43640.198209999995
18,2022-10-29 18:30:51,17.0,0,354.1949419,354.1949419,354.1949419,329.401296,329.401296,329.401296,0.93,mc,0,0,43625.62149
19,2022-10-29 18:54:05,18.0,0,858.7939355,858.7939355,858.7939355,798.67836,798.67836,798.67836,0.93,pc,0,0,43635.8699
20,2022-10-29 19:16:34,19.0,0,1120.091226,1120.091226,1120.091226,1041.68484,1041.68484,1041.68484,0.93,pc,0,0,43617.51964
21,2022-10-29 19:38:31,20.0,0,1360.935871,1360.935871,1360.935871,1265.67036,1265.67036,1265.67036,0.93,pc,0,0,44617.51964
22,2022-10-29 19:59:55,21.0,0,613.4330323,613.4330323,613.4330323,570.49272,570.49272,570.49272,0.93,pc,0,0,44608.46226
23,2022-10-29 20:19:49,22.0,0,214.2068516,214.2068516,214.2068516,199.212372,199.212372,199.212372,0.93,mc,0,0,44617.51964
24,2022-10-29 20:42:28,23.0,0,518.1863226,518.1863226,518.1863226,481.91328,481.91328,481.91328,0.93,pc,1,1,44617.51964
25,2022-10-29 21:02:17,24.0,0,177.0741435,177.0741435,177.0741435,164.6789535,164.6789535,164.6789535,0.93,mc,0,0,44627.869099999996
