Date,Time (UTC) - from Flightradar,Time (UTC) - from Stanford,Time (UTC) - from team,FlightradarOverpassID,StanfordOverpassID,PerformerOverpassID,PhaseIII,Meter,Discarded - using Flightradar,Discarded - using Stanford,Discarded - using team,Discarded - 1% - using Flightradar,Discarded - 1% - using Stanford,Discarded - 1% - using team,Average altitude last minute (m)
10/10/22,17:00:39,17:00:00,17:00:41,1,1,1,1,Mama Coriolis,0,0,0,0,0,0,11758.74684
10/10/22,17:14:15,17:13:50,17:14:21,2,2,2,1,Mama Coriolis,0,0,0,0,0,0,11805.625
10/10/22,17:28:37,17:28:52,17:28:38,3,3,3,1,Mama Coriolis,0,0,0,0,0,0,11826.875
10/10/22,17:43:05,17:43:03,17:43:20,4,4,4,1,Mama Coriolis,0,0,0,0,0,0,11823.80051
10/10/22,17:55:26,17:55:13,17:55:36,5,5,5,0,Mama Coriolis,0,0,0,0,0,0,11778.92628
10/10/22,18:07:14,18:06:52,18:07:16,6,6,6,0,Mama Coriolis,1,1,1,1,1,1,11804.43182
10/10/22,18:18:54,18:19:23,18:18:57,7,7,7,1,Mama Coriolis,0,0,0,0,0,0,11737.77778
10/10/22,18:30:38,18:30:43,18:30:37,8,8,8,0,Mama Coriolis,0,0,0,0,0,0,11772.40385
10/10/22,18:43:29,18:43:24,18:43:29,9,9,9,0,Mama Coriolis,0,0,0,0,0,0,11801.44231
10/10/22,18:56:08,18:56:03,18:56:07,10,10,10,1,Mama Coriolis,0,0,0,0,0,0,11794.79167
10/10/22,19:08:35,19:08:27,19:08:38,11,11,11,1,Mama Coriolis,0,0,0,0,0,0,11763.85417
10/10/22,19:20:19,19:20:08,19:20:21,12,12,12,1,Mama Coriolis,0,0,0,0,0,0,11665.73718
10/10/22,19:31:50,19:31:49,19:31:51,13,13,13,1,Mama Coriolis,0,0,0,0,0,0,11698.14394
10/10/22,19:44:20,19:44:20,19:44:20,14,14,14,0,Mama Coriolis,0,0,0,0,0,0,11831.875
10/10/22,19:56:37,19:56:28,19:56:37,15,15,15,1,Mama Coriolis,0,0,0,0,0,0,11777.91667
10/10/22,20:08:41,20:08:55,20:08:46,16,16,16,1,Mama Coriolis,0,0,0,0,0,0,11809.09722
10/10/22,20:20:08,20:20:19,20:20:13,17,17,17,1,Mama Coriolis,0,0,0,0,0,0,11657.91667
10/10/22,20:31:35,20:31:52,20:31:40,18,18,18,0,Mama Coriolis,0,0,0,0,0,0,11702.91667
10/10/22,20:43:12,20:43:22,20:43:14,19,19,19,0,Mama Coriolis,0,0,0,0,0,0,11747.11538
10/10/22,20:55:31,20:56:17,20:55:37,20,20,20,1,Mama Coriolis,0,0,0,0,0,0,11809.79167
10/10/22,21:07:18,21:07:28,21:07:24,21,21,21,0,Mama Coriolis,0,0,0,0,0,0,11832.77778
10/10/22,21:19:04,21:19:04,21:19:09,22,22,22,0,Mama Coriolis,0,0,0,0,0,0,11848.09028
10/10/22,21:30:23,21:30:28,21:30:27,23,23,23,0,Mama Coriolis,0,0,0,0,0,0,11881.80556
10/11/22,17:16:20,17:16:17,17:16:21,24,24,24,1,Mama Coriolis,0,0,0,0,0,0,11782.36111
10/11/22,17:28:25,17:28:17,17:28:38,25,25,25,1,Mama Coriolis,0,0,0,0,0,0,11715.03205
10/11/22,17:40:14,17:40:09,17:40:14,26,26,26,0,Mama Coriolis,0,0,0,0,0,0,11645.44643
10/11/22,17:52:20,17:52:17,17:52:22,27,27,27,0,Mama Coriolis,0,0,0,0,0,0,11655.13889
10/11/22,18:04:37,18:04:34,18:04:34,28,28,28,0,Mama Coriolis,0,0,0,0,0,0,11776.04167
10/11/22,18:17:11,18:17:11,18:17:13,29,29,29,0,Mama Coriolis,0,0,0,0,0,0,11732.30769
10/11/22,18:29:30,18:29:22,18:29:32,30,30,30,1,Mama Coriolis,0,0,0,0,0,0,11713.33333
10/11/22,18:41:30,18:41:29,18:41:32,31,31,31,0,Mama Coriolis,0,0,0,0,0,0,11671.04167
10/11/22,18:53:37,18:53:27,18:53:39,32,32,32,0,Mama Coriolis,0,0,0,0,0,0,11712.91667
10/11/22,19:05:39,19:05:37,19:05:41,33,33,33,0,Mama Coriolis,0,0,0,0,0,0,11729.79167
10/11/22,19:17:52,19:17:50,19:18:06,34,34,34,0,Mama Coriolis,0,0,0,0,0,0,11753.92857
10/11/22,19:30:41,19:30:40,19:30:44,35,35,35,0,Mama Coriolis,0,0,0,0,0,0,11768.55769
10/11/22,19:42:49,19:42:46,19:42:57,36,36,36,0,Mama Coriolis,0,0,0,0,0,0,11773.19444
10/11/22,19:54:25,19:54:22,19:54:28,37,37,37,1,Mama Coriolis,0,0,0,0,0,0,11777.08333
10/11/22,20:05:50,20:05:49,20:05:52,38,38,38,1,Mama Coriolis,0,0,0,0,0,0,11721.88447
10/11/22,20:17:29,20:17:27,20:17:34,39,39,39,1,Mama Coriolis,0,0,0,0,0,0,11680.48077
10/11/22,20:29:33,20:29:26,20:29:37,40,40,40,1,Mama Coriolis,0,0,0,0,0,0,11820
10/11/22,20:41:39,20:41:35,20:41:42,41,41,41,1,Mama Coriolis,0,0,0,0,0,0,11806.04167
10/11/22,20:53:40,20:53:28,20:53:42,42,42,42,1,Mama Coriolis,0,0,0,0,0,0,11776.875
10/11/22,21:05:19,21:05:07,21:05:24,43,43,43,0,Mama Coriolis,0,0,0,0,0,0,11678.77976
10/11/22,21:16:39,21:16:36,21:16:45,44,44,44,0,Mama Coriolis,0,0,0,0,0,0,11732.8125
10/12/22,17:16:03,17:15:56,17:16:01,45,45,45,0,Mama Coriolis,0,0,0,0,0,0,11558.125
10/12/22,17:27:44,17:27:35,17:27:43,46,46,46,1,Mama Coriolis,0,0,0,0,0,0,11576.97917
10/12/22,17:40:47,17:40:37,17:40:41,47,47,47,0,Mama Coriolis,0,0,0,0,1,0,11736.25
10/12/22,17:53:21,17:53:09,17:53:08,48,48,48,0,Mama Coriolis,0,0,0,0,0,0,11685.11364
10/12/22,18:05:46,18:05:38,18:05:40,49,49,49,0,Mama Coriolis,0,0,0,0,0,0,11553.125
10/12/22,18:18:02,18:17:56,18:17:57,50,50,50,0,Mama Coriolis,0,0,0,0,0,0,11557.08333
10/12/22,18:29:53,18:29:58,18:29:49,51,51,51,1,Mama Coriolis,0,0,0,0,0,0,11590.20833
10/12/22,18:42:20,18:42:00,18:42:12,52,52,52,0,Mama Coriolis,1,1,1,1,1,1,11681.06838
10/12/22,18:54:32,18:56:00,18:54:29,53,53,53,0,Mama Coriolis,0,0,0,0,0,0,11677.70833
10/12/22,19:06:41,19:06:48,19:06:38,54,54,54,0,Mama Coriolis,1,1,1,1,1,1,11718.68056
10/12/22,19:18:47,19:18:55,19:18:49,55,55,55,1,Mama Coriolis,0,0,0,0,0,0,11584.79167
10/12/22,19:29:56,19:30:04,19:29:58,56,56,56,0,Mama Coriolis,0,0,0,0,0,0,11675
10/12/22,19:41:45,19:41:56,19:41:44,57,57,57,1,Mama Coriolis,0,0,0,0,0,0,11595.10417
10/12/22,19:53:45,19:53:46,19:53:38,58,58,58,1,Mama Coriolis,0,0,0,0,0,0,11655.9375
10/12/22,20:05:30,20:05:39,20:05:25,59,59,59,1,Mama Coriolis,0,0,0,0,0,0,11651.664
10/12/22,20:16:54,20:17:03,20:17:07,60,60,60,0,Mama Coriolis,0,0,0,0,0,0,11676.875
10/12/22,20:28:51,20:28:57,20:28:52,61,61,61,0,Mama Coriolis,0,0,0,0,0,0,11481.29808
10/12/22,20:40:41,20:40:50,20:40:43,62,62,62,0,Mama Coriolis,0,0,0,0,0,0,11546.66667
10/12/22,20:52:27,20:52:31,20:52:28,63,63,63,1,Mama Coriolis,0,0,0,0,0,0,11519.65278
10/12/22,21:04:12,21:04:24,21:04:24,64,64,64,0,Mama Coriolis,0,0,0,0,0,0,11682.5
10/12/22,21:15:40,21:15:00,21:15:37,65,65,65,1,Mama Coriolis,0,0,0,0,0,0,11747.60417
10/28/22,17:51:09,17:51:25,17:51:18,66,66,66,0,Papa Coriolis,1,1,1,1,1,1,11538.80952
10/28/22,18:03:25,18:03:19,18:03:30,67,67,67,1,Papa Coriolis,0,0,0,0,0,0,11664.79167
10/28/22,18:15:20,18:15:22,18:15:22,68,68,68,1,Papa Coriolis,0,0,0,0,0,0,11533.64583
