,Unnamed: 0,datetime_utc,meter,meter_percent_uncertainty,meter_sigma,whole_gas_kgh,fraction_methane,fraction_methane_sigma,methane_kgh,methane_kgh_sigma,data_qc,CI95_upper,CI95_lower,gas_comp_source
3136,3136,2022-10-28 16:39:13,None,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,0.0,0.0,km
3137,3137,2022-10-28 16:39:14,None,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,0.0,0.0,km
3138,3138,2022-10-28 16:39:15,None,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,0.0,0.0,km
3139,3139,2022-10-28 16:39:16,None,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,0.0,0.0,km
3140,3140,2022-10-28 16:39:17,None,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,0.0,0.0,km
3141,3141,2022-10-28 16:39:18,None,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,0.0,0.0,km
3142,3142,2022-10-28 16:39:19,None,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,0.0,0.0,km
3143,3143,2022-10-28 16:39:20,None,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,0.0,0.0,km
3144,3144,2022-10-28 16:39:21,None,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,0.0,0.0,km
3145,3145,2022-10-28 16:39:22,None,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,0.0,0.0,km
3146,3146,2022-10-28 16:39:23,None,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,0.0,0.0,km
3147,3147,2022-10-28 16:39:24,None,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,0.0,0.0,km
3148,3148,2022-10-28 16:39:25,None,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,0.0,0.0,km
3149,3149,2022-10-28 16:39:26,None,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,0.0,0.0,km
3150,3150,2022-10-28 16:39:27,None,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,0.0,0.0,km
3151,3151,2022-10-28 16:39:28,None,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,0.0,0.0,km
3152,3152,2022-10-28 16:39:29,None,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,0.0,0.0,km
3153,3153,2022-10-28 16:39:30,None,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,0.0,0.0,km
3154,3154,2022-10-28 16:39:31,None,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,0.0,0.0,km
3155,3155,2022-10-28 16:39:32,None,0.0,0.0,0.0,0.950293875,0.0,0.0,0.0,1,0.0,0.0,km
