,Unnamed: 0,datetime_utc,meter,meter_percent_uncertainty,meter_sigma,whole_gas_kgh,fraction_methane,fraction_methane_sigma,methane_kgh,methane_kgh_sigma,data_qc,CI95_upper,CI95_lower,gas_comp_source
3683,3683,2022-10-31 17:14:47,mc,0.25,0.1467045918367347,115.0164,0.9542875,0.0036450716270969,109.758712815,0.4420002794143895,0,110.6250333626522,108.89239226734779,ms
3684,3684,2022-10-31 17:14:48,mc,0.25,0.1467275510204082,115.0344,0.9542875,0.0036450716270969,109.77588999,0.4420694522021786,0,110.64234611631626,108.90943386368373,ms
3685,3685,2022-10-31 17:14:49,mc,0.25,0.1467734693877551,115.0704,0.9542875,0.0036450716270969,109.81024434,0.4422077977777566,0,110.6769716236444,108.94351705635559,ms
3686,3686,2022-10-31 17:14:50,mc,0.25,0.1467780612244898,115.074,0.9542875,0.0036450716270969,109.813679775,0.4422216323353144,0,110.68043417437721,108.94692537562278,ms
3687,3687,2022-10-31 17:14:51,mc,0.25,0.146759693877551,115.0596,0.9542875,0.0036450716270969,109.799938035,0.4421662941050832,0,110.66658397144596,108.93329209855403,ms
3688,3688,2022-10-31 17:14:52,mc,0.25,0.1466862244897959,115.002,0.9542875,0.0036450716270969,109.744971075,0.4419449411841583,0,110.61118315972095,108.87875899027904,ms
3689,3689,2022-10-31 17:14:53,mc,0.25,0.1466494897959183,114.9732,0.9542875,0.0036450716270969,109.717487595,0.4418342647236958,0,110.58348275385843,108.85149243614156,ms
3690,3690,2022-10-31 17:14:54,mc,0.25,0.1466724489795918,114.9912,0.9542875,0.0036450716270969,109.73466477,0.4419034375114848,0,110.6007955075225,108.86853403247748,ms
3691,3691,2022-10-31 17:14:55,mc,0.25,0.1465989795918367,114.9336,0.9542875,0.0036450716270969,109.67969781,0.4416820845905599,0,110.54539469579748,108.8140009242025,ms
3692,3692,2022-10-31 17:14:56,mc,0.25,0.1465668367346939,114.9084,0.9542875,0.0036450716270969,109.655649765,0.4415852426876552,0,110.52115684066781,108.7901426893322,ms
3693,3693,2022-10-31 17:14:57,mc,0.25,0.1465622448979592,114.9048,0.9542875,0.0036450716270969,109.65221433,0.4415714081300975,0,110.517694289935,108.78673437006502,ms
3694,3694,2022-10-31 17:14:58,mc,0.25,0.1465438775510204,114.8904,0.9542875,0.0036450716270969,109.63847259,0.4415160698998662,0,110.50384408700374,108.77310109299627,ms
3695,3695,2022-10-31 17:14:59,mc,0.25,0.1466127551020408,114.9444,0.9542875,0.0036450716270969,109.690004115,0.4417235882632334,0,110.55578234799593,108.82422588200406,ms
3696,3696,2022-10-31 17:15:00,mc,0.25,0.1466816326530612,114.9984,0.9542875,0.0036450716270969,109.74153564,0.4419311066266004,0,110.60772060898813,108.87535067101186,ms
3697,3697,2022-10-31 17:15:01,mc,0.25,0.1466678571428571,114.9876,0.9542875,0.0036450716270969,109.731229335,0.441889602953927,0,110.59733295678969,108.8651257132103,ms
3698,3698,2022-10-31 17:15:02,mc,0.25,0.1466265306122449,114.9552,0.9542875,0.0036450716270969,109.70031042,0.4417650919359068,0,110.56617000019438,108.83445083980561,ms
3699,3699,2022-10-31 17:15:03,mc,0.25,0.1466173469387755,114.948,0.9542875,0.0036450716270969,109.69343955,0.4417374228207911,0,110.55924489872875,108.82763420127124,ms
3700,3700,2022-10-31 17:15:04,mc,0.25,0.1466127551020408,114.9444,0.9542875,0.0036450716270969,109.690004115,0.4417235882632334,0,110.55578234799593,108.82422588200406,ms
3701,3701,2022-10-31 17:15:05,mc,0.25,0.146580612244898,114.9192,0.9542875,0.0036450716270969,109.66595607,0.4416267463603287,0,110.53154449286623,108.80036764713375,ms
3702,3702,2022-10-31 17:15:06,mc,0.25,0.1465392857142857,114.8868,0.9542875,0.0036450716270969,109.635037155,0.4415022353423084,0,110.50038153627094,108.76969277372908,ms
3703,3703,2022-10-31 17:15:07,mc,0.25,0.1465392857142857,114.8868,0.9542875,0.0036450716270969,109.635037155,0.4415022353423084,0,110.50038153627094,108.76969277372908,ms
3704,3704,2022-10-31 17:15:08,mc,0.25,0.1465163265306122,114.8688,0.9542875,0.0036450716270969,109.61785998,0.4414330625545194,0,110.48306878260686,108.75265117739315,ms
3705,3705,2022-10-31 17:15:09,mc,0.25,0.1465025510204081,114.858,0.9542875,0.0036450716270969,109.607553675,0.441391558881846,0,110.47268113040842,108.7424262195916,ms
3706,3706,2022-10-31 17:15:10,mc,0.25,0.1464887755102041,114.8472,0.9542875,0.0036450716270969,109.59724737,0.4413500552091725,0,110.46229347820999,108.73220126179002,ms
3707,3707,2022-10-31 17:15:11,mc,0.25,0.1465117346938775,114.8652,0.9542875,0.0036450716270969,109.614424545,0.4414192279969616,0,110.47960623187404,108.74924285812597,ms
3708,3708,2022-10-31 17:15:12,mc,0.25,0.1464979591836734,114.8544,0.9542875,0.0036450716270969,109.60411824,0.4413777243242882,0,110.46921857967561,108.7390179003244,ms
3709,3709,2022-10-31 17:15:13,mc,0.25,0.1465117346938775,114.8652,0.9542875,0.0036450716270969,109.614424545,0.4414192279969616,0,110.47960623187404,108.74924285812597,ms
3710,3710,2022-10-31 17:15:14,mc,0.25,0.1464887755102041,114.8472,0.9542875,0.0036450716270969,109.59724737,0.4413500552091725,0,110.46229347820999,108.73220126179002,ms
3711,3711,2022-10-31 17:15:15,mc,0.25,0.1464887755102041,114.8472,0.9542875,0.0036450716270969,109.59724737,0.4413500552091725,0,110.46229347820999,108.73220126179002,ms
3712,3712,2022-10-31 17:15:16,mc,0.25,0.1465117346938775,114.8652,0.9542875,0.0036450716270969,109.614424545,0.4414192279969616,0,110.47960623187404,108.74924285812597,ms
3713,3713,2022-10-31 17:15:17,mc,0.25,0.146534693877551,114.8832,0.9542875,0.0036450716270969,109.63160172,0.4414884007847506,0,110.49691898553812,108.7662844544619,ms
3714,3714,2022-10-31 17:15:18,mc,0.25,0.1465714285714286,114.912,0.9542875,0.0036450716270969,109.6590852,0.4415990772452131,0,110.52461939140062,108.7935510085994,ms
