,Unnamed: 0,datetime_utc,meter,meter_percent_uncertainty,meter_sigma,whole_gas_kgh,fraction_methane,fraction_methane_sigma,methane_kgh,methane_kgh_sigma,data_qc,CI95_upper,CI95_lower,gas_comp_source
6862,6862,2022-10-24 16:44:29,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6863,6863,2022-10-24 16:44:30,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6864,6864,2022-10-24 16:44:31,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6865,6865,2022-10-24 16:44:32,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6866,6866,2022-10-24 16:44:33,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6867,6867,2022-10-24 16:44:34,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6868,6868,2022-10-24 16:44:35,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6869,6869,2022-10-24 16:44:36,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6870,6870,2022-10-24 16:44:37,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6871,6871,2022-10-24 16:44:38,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6872,6872,2022-10-24 16:44:39,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6873,6873,2022-10-24 16:44:40,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6874,6874,2022-10-24 16:44:41,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6875,6875,2022-10-24 16:44:42,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6876,6876,2022-10-24 16:44:43,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6877,6877,2022-10-24 16:44:44,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6878,6878,2022-10-24 16:44:45,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6879,6879,2022-10-24 16:44:46,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6880,6880,2022-10-24 16:44:47,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6881,6881,2022-10-24 16:44:48,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6882,6882,2022-10-24 16:44:49,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6883,6883,2022-10-24 16:44:50,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6884,6884,2022-10-24 16:44:51,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6885,6885,2022-10-24 16:44:52,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6886,6886,2022-10-24 16:44:53,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6887,6887,2022-10-24 16:44:54,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6888,6888,2022-10-24 16:44:55,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6889,6889,2022-10-24 16:44:56,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6890,6890,2022-10-24 16:44:57,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6891,6891,2022-10-24 16:44:58,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6892,6892,2022-10-24 16:44:59,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6893,6893,2022-10-24 16:45:00,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6894,6894,2022-10-24 16:45:01,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6895,6895,2022-10-24 16:45:02,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6896,6896,2022-10-24 16:45:03,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6897,6897,2022-10-24 16:45:04,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6898,6898,2022-10-24 16:45:05,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6899,6899,2022-10-24 16:45:06,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6900,6900,2022-10-24 16:45:07,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6901,6901,2022-10-24 16:45:08,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6902,6902,2022-10-24 16:45:09,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6903,6903,2022-10-24 16:45:10,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6904,6904,2022-10-24 16:45:11,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6905,6905,2022-10-24 16:45:12,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6906,6906,2022-10-24 16:45:13,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6907,6907,2022-10-24 16:45:14,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6908,6908,2022-10-24 16:45:15,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6909,6909,2022-10-24 16:45:16,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6910,6910,2022-10-24 16:45:17,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6911,6911,2022-10-24 16:45:18,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6912,6912,2022-10-24 16:45:19,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6913,6913,2022-10-24 16:45:20,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6914,6914,2022-10-24 16:45:21,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6915,6915,2022-10-24 16:45:22,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6916,6916,2022-10-24 16:45:23,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6917,6917,2022-10-24 16:45:24,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6918,6918,2022-10-24 16:45:25,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6919,6919,2022-10-24 16:45:26,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6920,6920,2022-10-24 16:45:27,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6921,6921,2022-10-24 16:45:28,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6922,6922,2022-10-24 16:45:29,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6923,6923,2022-10-24 16:45:30,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6924,6924,2022-10-24 16:45:31,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6925,6925,2022-10-24 16:45:32,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6926,6926,2022-10-24 16:45:33,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6927,6927,2022-10-24 16:45:34,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6928,6928,2022-10-24 16:45:35,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6929,6929,2022-10-24 16:45:36,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6930,6930,2022-10-24 16:45:37,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6931,6931,2022-10-24 16:45:38,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6932,6932,2022-10-24 16:45:39,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6933,6933,2022-10-24 16:45:40,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6934,6934,2022-10-24 16:45:41,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6935,6935,2022-10-24 16:45:42,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6936,6936,2022-10-24 16:45:43,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6937,6937,2022-10-24 16:45:44,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6938,6938,2022-10-24 16:45:45,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6939,6939,2022-10-24 16:45:46,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6940,6940,2022-10-24 16:45:47,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6941,6941,2022-10-24 16:45:48,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6942,6942,2022-10-24 16:45:49,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
6943,6943,2022-10-24 16:45:50,None,0.0,0.0,0.0,0.946018,0.0,0.0,0.0,0,0.0,0.0,ms
