,datetime_utc,flow_rate,meter,qc_flag,methane_fraction_km,kgh_ch4
6147,2022-10-29 17:13:31,702.9359999999999,pc,0,0.951361,668.745895896
6148,2022-10-29 17:13:32,710.0279999999999,pc,0,0.951361,675.492948108
6149,2022-10-29 17:13:33,708.12,pc,0,0.951361,673.67775132
6150,2022-10-29 17:13:34,699.948,pc,0,0.951361,665.903229228
6151,2022-10-29 17:13:35,710.712,pc,0,0.951361,676.143679032
6152,2022-10-29 17:13:36,704.772,pc,0,0.951361,670.492594692
6153,2022-10-29 17:13:37,708.336,pc,0,0.951361,673.883245296
6154,2022-10-29 17:13:38,711.1080000000001,pc,2,0.951361,676.5204179880001
6155,2022-10-29 17:13:39,700.2,pc,0,0.951361,666.1429722
6156,2022-10-29 17:13:40,708.408,pc,0,0.951361,673.951743288
6157,2022-10-29 17:13:41,703.98,pc,0,0.951361,669.73911678
6158,2022-10-29 17:13:42,701.496,pc,0,0.951361,667.375936056
6159,2022-10-29 17:13:43,715.3199999999999,pc,0,0.951361,680.52755052
6160,2022-10-29 17:13:44,707.22,pc,0,0.951361,672.82152642
6161,2022-10-29 17:13:45,704.592,pc,0,0.951361,670.321349712
6162,2022-10-29 17:13:46,710.244,pc,0,0.951361,675.698442084
6163,2022-10-29 17:13:47,708.876,pc,0,0.951361,674.396980236
6164,2022-10-29 17:13:48,720.3960000000001,pc,0,0.951361,685.356658956
6165,2022-10-29 17:13:49,709.812,pc,0,0.951361,675.287454132
6166,2022-10-29 17:13:50,709.956,pc,0,0.951361,675.424450116
6167,2022-10-29 17:13:51,707.076,pc,0,0.951361,672.684530436
6168,2022-10-29 17:13:52,710.244,pc,0,0.951361,675.698442084
6169,2022-10-29 17:13:53,709.452,pc,0,0.951361,674.944964172
6170,2022-10-29 17:13:54,701.9639999999999,pc,0,0.951361,667.821173004
6171,2022-10-29 17:13:55,689.76,pc,0,0.951361,656.21076336
6172,2022-10-29 17:13:56,704.196,pc,0,0.951361,669.9446107560001
6173,2022-10-29 17:13:57,700.956,pc,0,0.951361,666.862201116
6174,2022-10-29 17:13:58,709.632,pc,0,0.951361,675.116209152
6175,2022-10-29 17:13:59,706.6080000000001,pc,0,0.951361,672.239293488
6176,2022-10-29 17:14:00,705.168,pc,0,0.951361,670.8693336480001
6177,2022-10-29 17:14:01,697.176,pc,0,0.951361,663.2660565360001
6178,2022-10-29 17:14:02,704.0160000000001,pc,0,0.951361,669.7733657760001
6179,2022-10-29 17:14:03,702.864,pc,0,0.951361,668.677397904
6180,2022-10-29 17:14:04,704.5200000000001,pc,0,0.951361,670.2528517200001
6181,2022-10-29 17:14:05,707.364,pc,0,0.951361,672.9585224040001
6182,2022-10-29 17:14:06,706.428,pc,0,0.951361,672.0680485080001
6183,2022-10-29 17:14:07,700.2,pc,0,0.951361,666.1429722
6184,2022-10-29 17:14:08,692.604,pc,0,0.951361,658.9164340440001
6185,2022-10-29 17:14:09,702.648,pc,0,0.951361,668.4719039280001
6186,2022-10-29 17:14:10,707.256,pc,0,0.951361,672.855775416
6187,2022-10-29 17:14:11,701.676,pc,0,0.951361,667.5471810360001
6188,2022-10-29 17:14:12,706.14,pc,0,0.951361,671.79405654
