,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,fail_all_qc,operator_detected,release_rate_kgh,operator_quantification,operator_lower,operator_upper,qc_summary
0,1.0,2022-10-10 17:00:39,False,True,True,True,1,True,False,True,10.95706452,87.19376164,42.486457390000005,131.90106589,pass_all
1,2.0,2022-10-10 17:14:15,False,True,True,True,1,True,False,False,6.6211344,,,,pass_all
3,4.0,2022-10-10 17:43:05,False,True,True,True,1,True,False,False,4.4760168,,,,pass_all
8,9.0,2022-10-10 18:43:29,False,True,True,True,0,True,False,True,39.48833265,94.72816414,53.37330979000001,136.08301849,pass_all
9,10.0,2022-10-10 18:56:08,False,True,True,True,1,True,False,True,34.01181987,74.78590872,46.50506047,103.06675697,pass_all
18,19.0,2022-10-10 20:43:12,False,True,True,True,0,True,False,True,24.10246359,34.46484832,11.661134970000004,57.26856167,pass_all
19,20.0,2022-10-10 20:55:31,False,True,True,True,1,True,False,True,45.11483303,32.24689386,11.65460026,52.839187460000005,pass_all
23,24.0,2022-10-11 17:16:20,False,True,True,True,1,True,False,True,26.63576965,18.93505226,6.49342974,31.37667478,pass_all
25,26.0,2022-10-11 17:40:14,False,True,True,True,0,True,False,True,48.1156769,24.98148376,11.55454735,38.40842017,pass_all
29,30.0,2022-10-11 18:29:30,False,True,True,True,1,True,False,True,40.67382426,25.71377555,12.132948530000002,39.29460257,pass_all
33,34.0,2022-10-11 19:17:52,False,True,True,True,0,True,False,False,6.608821006,,,,pass_all
34,35.0,2022-10-11 19:30:41,False,True,True,True,0,True,False,True,21.04796694,13.7314693,4.864804472000001,22.598134128,pass_all
37,38.0,2022-10-11 20:05:50,False,True,True,True,1,True,False,True,16.54751985,42.44641036,12.797796400000005,72.09502432,pass_all
41,42.0,2022-10-11 20:53:40,False,True,True,True,1,True,False,True,37.80375561,25.47196825,9.74736541,41.19657109,pass_all
47,48.0,2022-10-12 17:53:21,False,True,True,True,0,True,False,True,49.45148361,98.45613773,17.141061619999988,179.77121384,pass_all
48,49.0,2022-10-12 18:05:46,False,True,True,True,0,True,False,True,48.73745961,51.56575317,25.94987592,77.18163042,pass_all
54,55.0,2022-10-12 19:18:47,False,True,True,True,1,True,False,True,11.26324661,4.90088507,2.2528892000000003,7.54888094,pass_all
56,57.0,2022-10-12 19:41:45,False,True,True,True,1,True,False,True,23.38424779,22.09402808,9.33975696,34.8482992,pass_all
57,58.0,2022-10-12 19:53:45,False,True,True,True,1,True,False,True,22.86071675,35.91431737,13.809277509999998,58.01935723,pass_all
83,84.0,2022-10-29 18:01:44,False,True,True,True,0,True,False,True,34.2858032,35.12918503,24.52062928,45.73774078,pass_all
84,85.0,2022-10-29 18:13:22,False,True,True,True,0,True,False,True,33.52460788,34.93712619,16.68568479,53.188567590000005,pass_all
119,120.0,2022-10-31 21:03:38,False,True,True,True,1,True,False,True,43.02501393,76.02348931,48.8288535,103.21812512,pass_all
