,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,fail_all_qc,operator_detected,release_rate_kgh,operator_quantification,operator_lower,operator_upper,qc_summary
9,10.0,2022-10-31 17:32:10,False,True,True,True,0,True,False,True,20.6059903,15.0,9.0,21.0,pass_all
24,25.0,2022-10-31 18:21:17,False,True,True,True,0,True,False,True,22.34154194,32.0,21.0,43.0,pass_all
43,44.0,2022-10-31 19:26:49,False,True,True,True,1,True,False,True,2.916529105,4.0,2.0,6.0,pass_all
50,51.0,2022-10-31 19:51:06,False,True,True,True,0,True,False,True,9.242947511,12.0,8.0,16.0,pass_all
60,61.0,2022-10-31 20:35:52,False,True,True,True,1,True,False,True,10.08345259,16.0,10.0,22.0,pass_all
70,71.0,2022-11-02 16:45:28,False,True,True,True,1,True,False,False,1.093654533,,,,pass_all
71,72.0,2022-11-02 16:48:27,False,True,True,True,1,True,False,False,1.078580756,,,,pass_all
72,72.0,2022-11-02 16:48:27,False,True,True,True,1,True,False,False,1.078580756,,,,pass_all
73,72.0,2022-11-02 16:48:27,False,True,True,True,1,True,False,False,1.078580756,,,,pass_all
74,72.0,2022-11-02 16:48:27,False,True,True,True,1,True,False,False,1.078580756,,,,pass_all
75,73.0,2022-11-02 16:48:27,False,True,True,True,1,True,False,False,1.078580756,,,,pass_all
76,73.0,2022-11-02 16:48:27,False,True,True,True,1,True,False,False,1.078580756,,,,pass_all
77,73.0,2022-11-02 16:48:27,False,True,True,True,1,True,False,False,1.078580756,,,,pass_all
78,73.0,2022-11-02 16:48:27,False,True,True,True,1,True,False,False,1.078580756,,,,pass_all
79,74.0,2022-11-02 16:52:32,False,True,True,True,1,True,False,False,4.158876264,,,,pass_all
80,75.0,2022-11-02 16:55:42,False,True,True,True,1,True,False,False,4.143968633,,,,pass_all
81,76.0,2022-11-02 17:02:36,False,True,True,True,1,True,False,True,10.77925276,31.0,17.0,45.0,pass_all
82,77.0,2022-11-02 17:06:41,False,True,True,True,1,True,False,True,10.74130089,25.0,15.0,35.0,pass_all
83,78.0,2022-11-02 17:09:49,False,True,True,True,1,True,False,True,21.70458892,23.0,13.0,33.0,pass_all
84,79.0,2022-11-02 17:13:54,False,True,True,True,1,True,False,True,21.77518964,56.0,35.0,77.0,pass_all
85,80.0,2022-11-02 17:17:06,False,True,True,True,1,True,False,True,21.74894766,70.0,44.0,96.0,pass_all
97,92.0,2022-11-04 16:51:31,False,True,True,True,0,True,False,True,9.558124324,9.0,6.0,12.0,pass_all
98,93.0,2022-11-04 16:55:06,False,True,True,True,0,True,False,True,9.538937861,5.0,2.0,8.0,pass_all
105,100.0,2022-11-04 17:22:04,False,True,True,True,0,True,False,True,12.42879919,9.0,0.0,18.0,pass_all
106,101.0,2022-11-04 17:25:59,False,True,True,True,0,True,False,True,22.97779164,26.0,2.0,50.0,pass_all
107,102.0,2022-11-04 17:29:58,False,True,True,True,0,True,False,True,22.88601298,17.0,2.0,32.0,pass_all
111,106.0,2022-11-04 17:45:51,False,True,True,True,0,True,False,True,18.76555516,17.0,11.0,23.0,pass_all
112,107.0,2022-11-04 17:50:26,False,True,True,True,0,True,False,True,18.70369419,19.0,12.0,26.0,pass_all
129,124.0,2022-11-04 18:51:05,False,True,True,True,1,True,False,True,22.85447936,23.0,14.0,32.0,pass_all
158,153.0,2022-11-07 19:23:24,False,True,True,True,1,True,False,True,13.72476166,27.0,17.0,37.0,pass_all
161,156.0,2022-11-07 19:35:43,False,True,True,True,1,True,False,True,22.56827561,16.0,10.0,22.0,pass_all
162,157.0,2022-11-07 19:40:03,False,True,True,True,1,True,False,True,22.69815407,29.0,18.0,40.0,pass_all
164,159.0,2022-11-07 19:48:28,False,True,True,True,1,True,False,True,20.93494549,19.0,12.0,26.0,pass_all
165,160.0,2022-11-07 19:52:42,False,True,True,True,1,True,False,True,19.54044472,23.0,14.0,32.0,pass_all
166,161.0,2022-11-07 19:57:23,False,True,True,True,1,True,False,True,19.47629639,16.0,10.0,22.0,pass_all
167,162.0,2022-11-07 20:01:29,False,True,True,True,1,True,False,True,19.44164468,21.0,13.0,29.0,pass_all
172,167.0,2022-11-07 20:22:43,False,True,True,True,0,True,False,True,16.51944175,31.0,19.0,43.0,pass_all
173,168.0,2022-11-07 20:26:30,False,True,True,True,0,True,False,True,16.42817519,24.0,14.0,34.0,pass_all
174,169.0,2022-11-07 20:31:18,False,True,True,True,0,True,False,True,16.35083758,22.0,13.0,31.0,pass_all
181,176.0,2022-11-07 21:02:21,False,True,True,True,1,True,False,True,20.85167897,10.0,5.0,15.0,pass_all
182,177.0,2022-11-07 21:07:06,False,True,True,True,0,True,False,True,14.70006212,15.0,9.0,21.0,pass_all
183,178.0,2022-11-07 21:10:55,False,True,True,True,0,True,False,True,14.64886408,16.0,9.0,23.0,pass_all
184,179.0,2022-11-07 21:15:40,False,True,True,True,0,True,False,True,14.606622,18.0,10.0,26.0,pass_all
187,182.0,2022-11-07 21:27:58,False,True,True,True,0,True,False,True,20.83625925,21.0,11.0,31.0,pass_all
188,183.0,2022-11-07 21:32:18,False,True,True,True,0,True,False,True,20.86971607,16.0,9.0,23.0,pass_all
189,184.0,2022-11-07 21:36:16,False,True,True,True,1,True,False,True,15.72181522,8.0,3.0,13.0,pass_all
190,185.0,2022-11-07 21:40:51,False,True,True,True,1,True,False,True,15.71000291,7.0,3.0,11.0,pass_all
191,186.0,2022-11-07 21:44:36,False,True,True,True,1,True,False,True,15.69669984,16.0,9.0,23.0,pass_all
192,187.0,2022-11-07 21:49:11,False,True,True,True,1,True,False,True,15.70352776,13.0,7.0,19.0,pass_all
197,192.0,2022-11-07 22:09:47,False,True,True,True,1,True,False,False,17.2965959,,,,pass_all
