,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,operator_detected,release_rate_kgh,release_kgh_stdev,operator_quantification,operator_lower,operator_upper,qc_summary
3,4.0,2022-10-24 16:55:42,False,True,True,True,1,True,1324.65883504,False,True,18.734366456184,0.0251769286391598,17.57448,,,pass_all
4,5.0,2022-10-24 16:59:01,False,True,True,True,1,True,1342.620887123972,False,True,18.754242987552004,0.0297341536642685,30.7568,,,pass_all
8,9.0,2022-10-24 17:11:37,False,True,True,True,1,True,1358.929942763972,False,False,1.7186536251983997,0.0276682049884962,0.0,,,pass_all
9,10.0,2022-10-24 17:14:38,False,True,True,True,1,True,1346.9559705960282,False,False,1.6608509223455998,0.0256584030777668,0.0,,,pass_all
10,11.0,2022-10-24 17:17:53,False,True,True,True,1,True,1353.0430223,False,False,1.6185762270648,0.0268671155392805,0.0,,,pass_all
11,12.0,2022-10-24 17:20:59,False,True,True,True,1,True,1341.377448763972,False,True,12.920324813664,0.0294408496730003,11.50552,,,pass_all
12,13.0,2022-10-24 17:24:12,False,True,True,True,1,True,1333.74840226,False,True,12.945302552567998,0.0280776522467161,18.436,,,pass_all
13,14.0,2022-10-24 17:27:11,False,True,True,True,1,True,1355.863997783972,False,False,3.4880898282240005,0.0310847975172337,0.0,,,pass_all
15,16.0,2022-10-24 17:33:38,False,True,True,True,1,True,1353.22018766,False,False,3.403979550516,0.0263060321250326,0.0,,,pass_all
16,17.0,2022-10-24 17:36:52,False,True,True,True,1,True,1381.301990723972,False,False,3.3866604396744,0.026125281372629,0.0,,,pass_all
40,41.0,2022-10-24 18:58:14,False,True,True,True,1,True,1315.732216316028,False,True,8.885996773583999,0.023374840005572,4.79424,,,pass_all
41,42.0,2022-10-24 19:01:19,False,True,True,True,1,True,1362.40325882,False,False,8.823220109351999,0.0199651158542321,0.0,,,pass_all
42,43.0,2022-10-24 19:04:27,False,True,True,True,1,True,1320.393196123972,False,True,8.7870856092,0.0257175565658061,15.092,,,pass_all
43,44.0,2022-10-24 19:07:37,False,True,True,True,0,True,1328.370011996028,False,False,4.158126053256,0.0398581132424755,0.0,,,pass_all
44,45.0,2022-10-24 19:11:01,False,True,True,True,0,True,1320.484513056028,False,False,4.128308415887999,0.029257759330836,0.0,,,pass_all
46,47.0,2022-10-24 19:17:24,False,True,True,True,1,True,1307.237027723972,False,True,18.23230083876,0.0285468621204534,18.24768,,,pass_all
