,bin_median,true_positive,false_positive,true_negative,false_negative,filter_stanford,filter_operator,missing_data,zero_filter_su,zero_filter_op,zero_missing,total_releases,total_reported,bin_height
0,2.5,4,0,18,42,28,2,0,17,0,0,349.0,349.0,76
1,7.5,17,0,0,6,17,1,0,0,0,0,349.0,349.0,41
2,12.5,17,0,0,2,6,2,0,0,0,0,349.0,349.0,27
3,17.5,13,0,0,0,5,0,0,0,0,0,349.0,349.0,18
4,22.5,8,0,0,0,5,0,0,0,0,0,349.0,349.0,13
5,27.5,5,0,0,0,2,0,0,0,0,0,349.0,349.0,7
6,32.5,3,0,0,0,0,0,0,0,0,0,349.0,349.0,3
7,37.5,0,0,0,0,0,0,0,0,0,0,349.0,349.0,0
8,42.5,2,0,0,0,0,1,0,0,0,0,349.0,349.0,3
9,47.5,3,0,0,0,6,0,0,0,0,0,349.0,349.0,9
