,overpass_id,zero_release,operator_kept,operator_detected,operator_quantified,operator_quantification,release_rate_kgh,stanford_kept_strict,qc_summary_strict,stanford_kept_lax,qc_summary_lax,percent_error
0,1.0,False,True,True,True,87.19376164,10.95706452,True,pass_all,True,pass_all,695.7766560637174
1,2.0,False,True,False,False,,6.6211344,True,pass_all,True,pass_all,
2,3.0,False,False,True,False,,8.664295355,True,fail_operator,True,fail_operator,
3,4.0,False,True,False,False,,4.4760168,True,pass_all,True,pass_all,
4,5.0,True,True,False,False,,0.0,True,pass_all,True,pass_all,
5,6.0,False,False,True,False,,91.73216206,False,fail_all,False,fail_all,
6,7.0,False,True,True,True,241.6751886,93.442392,True,pass_all,True,pass_all,158.6354901959274
7,8.0,False,False,True,False,,39.72510348,True,fail_operator,True,fail_operator,
8,9.0,False,True,True,True,94.72816414,39.48833265,True,pass_all,True,pass_all,139.88899450278512
9,10.0,False,True,True,True,74.78590872,34.01181987,True,pass_all,True,pass_all,119.88211452914533
10,11.0,False,True,True,True,220.0961678,138.4978413,True,pass_all,True,pass_all,58.9166774977019
11,12.0,False,True,True,True,48.07834799,59.22218323,True,pass_all,True,pass_all,18.816994970821852
12,13.0,False,False,True,False,,79.51777781,True,fail_operator,True,fail_operator,
13,14.0,False,True,True,True,370.4328302,123.75288,True,pass_all,True,pass_all,199.33269447951434
14,15.0,False,False,True,False,,212.1966674,True,fail_operator,True,fail_operator,
15,16.0,False,False,True,False,,209.9174888,True,fail_operator,True,fail_operator,
16,17.0,False,True,True,True,142.4981486,230.3159133,True,pass_all,True,pass_all,38.12926490477113
17,18.0,False,True,True,True,44.19943901,73.41598916,True,pass_all,True,pass_all,39.79589525971865
18,19.0,False,True,True,True,34.46484832,24.10246359,True,pass_all,True,pass_all,42.99305210567482
19,20.0,False,True,True,True,32.24689386,45.11483303,True,pass_all,True,pass_all,28.522635031017867
20,21.0,False,True,True,True,94.36991159,165.4933192,True,pass_all,True,pass_all,42.97660349904928
21,22.0,False,True,True,True,160.4675447,177.8073677,True,pass_all,True,pass_all,9.752027277776294
22,23.0,False,False,True,False,,27.65501954,True,fail_operator,True,fail_operator,
23,24.0,False,True,True,True,18.93505226,26.63576965,True,pass_all,True,pass_all,28.91118781694375
24,25.0,True,True,False,False,,0.0,True,pass_all,True,pass_all,
25,26.0,False,True,True,True,24.98148376,48.1156769,True,pass_all,True,pass_all,48.080365133551716
26,27.0,False,False,True,False,,147.0547765,True,fail_operator,True,fail_operator,
27,28.0,False,True,True,True,35.43310991,106.1697252,True,pass_all,True,pass_all,66.62597567879925
28,29.0,False,True,True,True,51.70426793,119.857896,True,pass_all,True,pass_all,56.86202606960495
29,30.0,False,True,True,True,25.71377555,40.67382426,True,pass_all,True,pass_all,36.78053141590675
30,31.0,False,True,True,True,43.05963274,75.69549523,True,pass_all,True,pass_all,43.114669361546895
31,32.0,False,False,True,False,,154.4689022,True,fail_operator,True,fail_operator,
32,33.0,False,True,True,True,68.77329497,167.2105355,True,pass_all,True,pass_all,58.87023819142067
33,34.0,False,True,False,False,,6.608821006,True,pass_all,True,pass_all,
34,35.0,False,True,True,True,13.7314693,21.04796694,True,pass_all,True,pass_all,34.76106581151822
35,36.0,True,True,False,False,,0.0,True,pass_all,True,pass_all,
36,37.0,False,False,True,False,,40.970088,True,fail_operator,True,fail_operator,
37,38.0,False,True,True,True,42.44641036,16.54751985,True,pass_all,True,pass_all,156.51221901993972
38,39.0,False,True,True,True,116.4616028,175.4435892,True,pass_all,True,pass_all,33.618775510094274
39,40.0,False,True,True,True,169.7134593,139.9591835,True,pass_all,True,pass_all,21.259252201910723
40,41.0,False,False,True,False,,29.4682104,True,fail_operator,True,fail_operator,
41,42.0,False,True,True,True,25.47196825,37.80375561,True,pass_all,True,pass_all,32.62053507916009
42,43.0,False,False,True,False,,97.39534065,True,fail_operator,True,fail_operator,
43,44.0,False,True,True,True,119.8710723,88.478064,True,pass_all,True,pass_all,35.48112026953934
44,45.0,False,False,True,False,,277.9941809,True,fail_operator,True,fail_operator,
45,46.0,False,False,True,False,,65.81290529,True,fail_operator,True,fail_operator,
46,47.0,False,False,True,False,,14.45936261,True,fail_operator,True,fail_operator,
47,48.0,False,True,True,True,98.45613773,49.45148361,True,pass_all,True,pass_all,99.09642854494736
48,49.0,False,True,True,True,51.56575317,48.73745961,True,pass_all,True,pass_all,5.803120602986223
49,50.0,False,True,True,True,55.33014704,105.275232,True,pass_all,True,pass_all,47.442388880225884
50,51.0,False,False,True,False,,61.58076387,True,fail_operator,True,fail_operator,
51,52.0,False,False,True,False,,40.76687381,False,fail_all,False,fail_all,
52,53.0,False,True,True,True,92.45474051,81.97937187,True,pass_all,True,pass_all,12.778054284938253
53,54.0,False,True,True,True,127.3104497,60.02994658,False,fail_stanford,False,fail_stanford,112.07823253738437
54,55.0,False,True,True,True,4.90088507,11.26324661,True,pass_all,True,pass_all,56.48781173228702
55,56.0,False,False,True,False,,208.1963799,True,fail_operator,True,fail_operator,
56,57.0,False,True,True,True,22.09402808,23.38424779,True,pass_all,True,pass_all,5.517473649726489
57,58.0,False,True,True,True,35.91431737,22.86071675,True,pass_all,True,pass_all,57.10057459156436
58,59.0,False,True,True,True,57.50539536,86.68786065,True,pass_all,True,pass_all,33.663842977765306
59,60.0,True,True,False,False,,0.0,True,pass_all,True,pass_all,
60,61.0,False,True,True,True,110.9200785,62.61538994,True,pass_all,True,pass_all,77.1450734496536
61,62.0,False,True,True,True,74.8321255,56.21425548,True,pass_all,True,pass_all,33.11948163508792
62,63.0,False,True,True,True,44.66627038,93.46186219,True,pass_all,True,pass_all,52.209094347812936
63,64.0,True,True,False,False,,0.0,True,pass_all,True,pass_all,
64,65.0,False,True,True,True,89.30090964,195.7808671,True,pass_all,True,pass_all,54.38731528633627
65,66.0,False,True,True,True,606.67042,647.2300003,False,fail_stanford,False,fail_stanford,6.266640959349854
66,67.0,False,True,True,True,551.2952728,578.7456299,True,pass_all,True,pass_all,4.743078078143432
67,68.0,False,True,True,True,507.6635205,483.5234563,True,pass_all,True,pass_all,4.992532189590899
68,69.0,False,False,True,False,,1093.88166,True,fail_operator,True,fail_operator,
69,70.0,False,True,True,True,898.2137803,762.1229636,True,pass_all,True,pass_all,17.85680568620515
70,71.0,False,True,True,True,181.8490969,57.40792844,True,pass_all,True,pass_all,216.76651961071877
71,72.0,False,True,True,True,1087.518445,470.5244282,False,fail_stanford,True,pass_all,131.12900836207848
72,73.0,False,True,True,True,1256.739659,420.2162348,False,fail_stanford,True,pass_all,199.06975383712617
73,74.0,False,False,True,False,,1410.124029,True,fail_operator,True,fail_operator,
74,75.0,False,False,True,False,,854.6215724,True,fail_operator,True,fail_operator,
75,76.0,False,True,True,True,520.4576667,373.902675,True,pass_all,True,pass_all,39.196026532840406
76,77.0,False,True,True,True,133.3627741,110.1305048,True,pass_all,True,pass_all,21.09521729895857
77,78.0,False,True,True,True,122.296791,108.2793015,True,pass_all,True,pass_all,12.945677803435032
78,79.0,False,True,True,True,358.7100637,596.639947,True,pass_all,True,pass_all,39.87830256695836
79,80.0,False,True,True,True,478.3667514,675.3234204,True,pass_all,True,pass_all,29.164791720586393
80,81.0,False,False,True,False,,487.1670124,False,fail_all,False,fail_all,
81,82.0,False,False,True,False,,408.1972335,False,fail_all,False,fail_all,
82,83.0,False,True,True,True,338.9438044,367.3340375,True,pass_all,True,pass_all,7.728723777741409
83,84.0,False,True,True,True,35.12918503,34.2858032,True,pass_all,True,pass_all,2.4598572916034405
84,85.0,False,True,True,True,34.93712619,33.52460788,True,pass_all,True,pass_all,4.213377573441146
85,86.0,False,True,True,True,242.7765881,331.1296627,True,pass_all,True,pass_all,26.682319511812192
86,87.0,False,True,True,True,363.6452807,356.9819684,True,pass_all,True,pass_all,1.8665683115214655
87,88.0,False,True,True,True,377.9904306,822.88973,True,pass_all,True,pass_all,54.06548206647322
88,89.0,False,False,True,False,,823.8695371,True,fail_operator,True,fail_operator,
89,90.0,False,False,True,False,,1064.977888,True,fail_operator,True,fail_operator,
90,91.0,False,True,True,True,574.906401,427.2382634,True,pass_all,True,pass_all,34.56341583847005
91,92.0,False,False,True,False,,1308.881866,True,fail_operator,True,fail_operator,
92,93.0,False,True,True,True,516.7550073,818.5402335,True,pass_all,True,pass_all,36.868710156078116
93,94.0,False,False,True,False,,589.5685609,True,fail_operator,True,fail_operator,
94,95.0,False,True,True,True,253.9353137,205.4451549,True,pass_all,True,pass_all,23.602483506414387
95,96.0,False,True,True,True,154.4962888,135.2882897,True,pass_all,True,pass_all,14.197828313591279
96,97.0,False,False,True,False,,588.2231374,True,fail_operator,True,fail_operator,
97,98.0,False,False,True,False,,183.611619,True,fail_operator,True,fail_operator,
98,99.0,False,False,True,False,,170.3192507,True,fail_operator,True,fail_operator,
99,100.0,False,True,True,True,512.5640201,422.2586919,True,pass_all,True,pass_all,21.38625679761881
100,101.0,False,True,True,True,94.024409,109.8108522,True,pass_all,True,pass_all,14.376031952878327
101,102.0,False,True,True,True,409.3608275,680.0753178,True,pass_all,True,pass_all,39.80654542437211
102,103.0,False,True,True,True,252.7426339,318.2430254,True,pass_all,True,pass_all,20.58187808442071
103,104.0,False,False,True,False,,954.6152671,True,fail_operator,True,fail_operator,
104,105.0,False,False,True,False,,1134.110581,True,fail_operator,True,fail_operator,
105,106.0,False,False,True,False,,629.8153367,False,fail_all,True,fail_operator,
106,107.0,False,True,True,True,457.5844042,466.1652536,False,fail_stanford,True,pass_all,1.8407312286219766
107,108.0,False,False,True,False,,631.3803529,False,fail_all,False,fail_all,
108,109.0,False,False,True,False,,566.3274022,True,fail_operator,True,fail_operator,
109,110.0,True,True,False,False,,0.0,False,fail_stanford,False,fail_stanford,
110,111.0,True,True,False,False,,0.0,True,pass_all,True,pass_all,
111,112.0,False,True,True,True,614.9587419,320.6515229,True,pass_all,True,pass_all,91.78413261170886
112,113.0,False,True,True,True,629.9663131,862.025166,True,pass_all,True,pass_all,26.920194682576128
