,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,pass_all_qc,fail_all_qc,operator_detected,release_rate_kgh,operator_quantification,qc_summary
0,1.0,2022-10-10 17:00:00,False,True,True,True,True,False,True,10.96863687,13.8964605732141,pass_all
1,2.0,2022-10-10 17:13:50,False,True,True,True,True,False,False,7.31481002,,pass_all
2,3.0,2022-10-10 17:28:52,False,True,True,True,True,False,True,8.666362977,14.0787155590067,pass_all
3,4.0,2022-10-10 17:43:03,False,True,True,True,True,False,False,4.461038439,,pass_all
4,5.0,2022-10-10 17:55:13,True,False,True,True,True,False,False,0.0,,pass_all
5,6.0,2022-10-10 18:06:52,False,True,False,False,False,True,True,91.73119751,,fail_all
6,7.0,2022-10-10 18:19:23,False,True,True,True,True,False,True,93.50108498,154.490765450528,pass_all
7,8.0,2022-10-10 18:30:43,False,True,False,True,False,False,True,35.86534619,,fail_operator
8,9.0,2022-10-10 18:43:24,False,True,True,True,True,False,True,39.49638374,62.8542872722769,pass_all
9,10.0,2022-10-10 18:56:03,False,True,True,True,True,False,True,29.87523348,46.2605178997971,pass_all
10,11.0,2022-10-10 19:08:27,False,True,True,True,True,False,True,147.5190449,162.114979674609,pass_all
11,12.0,2022-10-10 19:20:08,False,True,True,True,True,False,True,59.24263397,100.584720025342,pass_all
12,13.0,2022-10-10 19:31:49,False,True,True,True,True,False,True,79.53786885,99.5545147192296,pass_all
13,14.0,2022-10-10 19:44:20,False,True,True,True,True,False,True,123.7678029,128.442203377513,pass_all
14,15.0,2022-10-10 19:56:28,False,True,True,True,True,False,True,212.1132807,217.807869434648,pass_all
15,16.0,2022-10-10 20:08:55,False,True,True,True,True,False,True,207.9691011,146.235790487351,pass_all
16,17.0,2022-10-10 20:20:19,False,True,True,True,True,False,True,230.1365201,261.894054450007,pass_all
17,18.0,2022-10-10 20:31:52,False,True,True,True,True,False,True,72.9157137,118.857582257902,pass_all
18,19.0,2022-10-10 20:43:22,False,True,True,True,True,False,True,23.91384594,35.6772353376174,pass_all
19,20.0,2022-10-10 20:56:17,False,True,True,True,True,False,True,49.33627908,49.1865030010551,pass_all
20,21.0,2022-10-10 21:07:28,False,True,True,True,True,False,True,166.768069,224.988179784443,pass_all
21,22.0,2022-10-10 21:19:04,False,True,True,True,True,False,True,177.7511461,290.355307037442,pass_all
22,23.0,2022-10-10 21:30:28,False,True,False,True,False,False,True,26.81365102,,fail_operator
23,24.0,2022-10-11 17:16:17,False,True,True,True,True,False,True,26.64415145,44.1129007406353,pass_all
24,25.0,2022-10-11 17:28:17,True,False,True,True,True,False,False,0.0,,pass_all
25,26.0,2022-10-11 17:40:09,False,True,True,True,True,False,True,48.12863489,74.4294557289771,pass_all
26,27.0,2022-10-11 17:52:17,False,True,False,True,False,False,True,147.0259794,,fail_operator
27,28.0,2022-10-11 18:04:34,False,True,True,True,True,False,True,106.1856484,189.079806716744,pass_all
28,29.0,2022-10-11 18:17:11,False,True,True,True,True,False,True,119.8895725,169.92209398945,pass_all
29,30.0,2022-10-11 18:29:22,False,True,True,True,True,False,True,40.6995899,69.5438279142901,pass_all
30,31.0,2022-10-11 18:41:29,False,True,True,True,True,False,True,75.71394885,98.6823867279235,pass_all
31,32.0,2022-10-11 18:53:27,False,True,False,True,False,False,True,154.4893082,,fail_operator
32,33.0,2022-10-11 19:05:37,False,True,True,True,True,False,True,169.8721955,175.090687217357,pass_all
33,34.0,2022-10-11 19:17:50,False,True,True,True,True,False,False,6.853537534,,pass_all
34,35.0,2022-10-11 19:30:40,False,True,True,True,True,False,True,21.05280708,41.5236604302098,pass_all
35,36.0,2022-10-11 19:42:46,True,False,True,True,True,False,False,0.0,,pass_all
36,37.0,2022-10-11 19:54:22,False,True,True,True,True,False,True,42.76538321,50.7384903991008,pass_all
37,38.0,2022-10-11 20:05:49,False,True,True,True,True,False,True,16.5652514,29.4820162102753,pass_all
38,39.0,2022-10-11 20:17:27,False,True,True,True,True,False,True,175.4207351,203.042128847191,pass_all
39,40.0,2022-10-11 20:29:26,False,True,True,True,True,False,True,139.8990535,191.539694091702,pass_all
40,41.0,2022-10-11 20:41:35,False,True,True,True,True,False,True,29.47617112,47.368655369211,pass_all
41,42.0,2022-10-11 20:53:28,False,True,True,True,True,False,True,32.69978616,53.50172995845,pass_all
42,43.0,2022-10-11 21:05:07,False,True,False,True,False,False,True,86.54291528,,fail_operator
43,44.0,2022-10-11 21:16:36,False,True,True,True,True,False,True,88.45703882,95.7119808178359,pass_all
44,45.0,2022-10-12 17:15:56,False,True,False,True,False,False,True,278.0491338,,fail_operator
45,46.0,2022-10-12 17:27:35,False,True,False,True,False,False,True,66.62169443,,fail_operator
46,47.0,2022-10-12 17:40:37,False,True,False,True,False,False,True,14.17372572,,fail_operator
