,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,operator_detected,release_rate_kgh,operator_quantification,operator_lower,operator_upper,qc_summary
0,1.0,10/10/22 17:00,False,True,True,True,1,True,10351.26648,False,True,10.93512707,87.19376164,42.486457390000005,131.90106589,pass_all
1,2.0,10/10/22 17:14,False,True,True,True,1,True,10398.14464,False,False,6.607878044,,,,pass_all
2,3.0,10/10/22 17:28,False,True,False,True,1,False,10419.39464,False,True,8.64694833,,,,fail_operator
3,4.0,10/10/22 17:43,False,True,True,True,1,True,10416.32015,False,False,4.467055243,,,,pass_all
4,5.0,10/10/22 17:55,True,False,True,True,0,True,10371.44592,False,False,0.0,,,,pass_all
5,6.0,10/10/22 18:07,False,True,False,False,0,False,10396.95146,True,True,91.54850256,,,,fail_all
6,7.0,10/10/22 18:18,False,True,True,True,1,True,10330.29742,False,True,93.2553084,241.6751886,163.47111543,319.87926177,pass_all
7,8.0,10/10/22 18:30,False,True,False,True,0,False,10364.92349,False,True,39.64556876,,,,fail_operator
8,9.0,10/10/22 18:43,False,True,True,True,0,True,10393.96195,False,True,39.40927197,94.72816414,53.37330979000001,136.08301849,pass_all
9,10.0,10/10/22 18:56,False,True,True,True,1,True,10387.31131,False,True,33.94372387,74.78590872,46.50506047,103.06675697,pass_all
10,11.0,10/10/22 19:08,False,True,True,True,1,True,10356.37381,False,True,138.2205509,220.0961678,105.6571516,334.535184,pass_all
11,12.0,10/10/22 19:20,False,True,True,True,1,True,10258.25682,False,True,59.10361285,48.07834799,21.47200638,74.6846896,pass_all
12,13.0,10/10/22 19:31,False,True,False,True,1,False,10290.66358,False,True,79.35857307,,,,fail_operator
13,14.0,10/10/22 19:44,False,True,True,True,0,True,10424.39464,False,True,123.5051109,370.4328302,172.16794520000002,568.6977152,pass_all
14,15.0,10/10/22 19:56,False,True,False,True,1,False,10370.43631,False,True,211.7718226,,,,fail_operator
15,16.0,10/10/22 20:08,False,True,False,True,1,False,10401.61686,False,True,209.4972071,,,,fail_operator
16,17.0,10/10/22 20:20,False,True,True,True,1,True,10250.43631,False,True,229.8547914,142.4981486,48.74513111,236.25116609000003,pass_all
17,18.0,10/10/22 20:31,False,True,True,True,0,True,10295.43631,False,True,73.26900098,44.19943901,16.615399319999998,71.7834787,pass_all
18,19.0,10/10/22 20:43,False,True,True,True,0,True,10339.63502,False,True,24.05420738,34.46484832,11.661134970000004,57.26856167,pass_all
