,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,release_rate_kgh,ch4_kgh_sigma,upper_95CI,lower_95CI,sigma_flow_variability,sigma_meter_reading,sigma_gas_composition,operator_detected,operator_quantification,operator_lower,operator_upper,qc_summary,,
0,1,10/10/22 17:00,FALSE,TRUE,TRUE,TRUE,1,TRUE,10351.26648,FALSE,10.92213624,0.071399847,11.06207994,10.78219254,0.061893666,0.039719989,0.001617428,TRUE,87.19376164,42.48645739,131.9010659,pass_all,,
1,2,10/10/22 17:14,FALSE,TRUE,TRUE,TRUE,1,TRUE,10398.14464,FALSE,6.612948731,0.075321259,6.760578398,6.465319064,0.068967145,0.039565235,0.001617428,FALSE,,,,pass_all,,
2,3,10/10/22 17:28,FALSE,TRUE,FALSE,TRUE,1,FALSE,10419.39464,FALSE,8.63867339,0.082463809,8.800302455,8.477044324,0.077007748,0.039647574,0.001617428,TRUE,,,,fail_operator,,
3,4,10/10/22 17:43,FALSE,TRUE,TRUE,TRUE,1,TRUE,10416.32015,FALSE,4.445180418,0.073235444,4.588721888,4.301638948,0.067039372,0.039443147,0.001617428,FALSE,,,,pass_all,,
4,5,10/10/22 17:55,TRUE,FALSE,TRUE,TRUE,0,TRUE,10371.44592,FALSE,0,0,0,0,0,0,0,FALSE,,,,pass_all,,
5,6,10/10/22 18:07,FALSE,TRUE,FALSE,FALSE,0,FALSE,10396.95146,TRUE,91.38784137,0.22814104,91.83499781,90.94068493,0.124274834,0.124488827,0.001617428,TRUE,,,,fail_all,,
6,7,10/10/22 18:18,FALSE,TRUE,TRUE,TRUE,1,TRUE,10330.29742,FALSE,93.08193794,0.224666589,93.52228446,92.64159143,0.109573888,0.126796531,0.001617428,TRUE,241.6751886,163.4711154,319.8792618,pass_all,,
7,8,10/10/22 18:30,FALSE,TRUE,FALSE,TRUE,0,FALSE,10364.92349,FALSE,35.00659497,4.777575352,44.37064266,25.64254728,5.101667151,0.04728429,0.001617428,TRUE,,,,fail_operator,,
8,9,10/10/22 18:43,FALSE,TRUE,TRUE,TRUE,0,TRUE,10393.96195,FALSE,39.3365921,0.106321411,39.54498207,39.12820214,0.068962893,0.053584439,0.001617428,TRUE,94.72816414,53.37330979,136.0830185,pass_all,,
9,10,10/10/22 18:56,FALSE,TRUE,TRUE,TRUE,1,TRUE,10387.31131,FALSE,30.76062849,4.853967307,40.27440441,21.24685257,5.183379352,0.044281052,0.001617428,TRUE,74.78590872,46.50506047,103.066757,pass_all,,
10,11,10/10/22 19:08,FALSE,TRUE,TRUE,TRUE,1,TRUE,10356.37381,FALSE,144.1779334,9.577477777,162.9497898,125.4060769,10.22308944,0.196399668,0.001617428,TRUE,220.0961678,105.6571516,334.535184,pass_all,,
11,12,10/10/22 19:20,FALSE,TRUE,TRUE,TRUE,1,TRUE,10258.25682,FALSE,59.01427046,0.147994457,59.3043396,58.72420133,0.081647155,0.080389439,0.001617428,TRUE,48.07834799,21.47200638,74.6846896,pass_all,,
12,13,10/10/22 19:31,FALSE,TRUE,FALSE,TRUE,1,FALSE,10290.66358,FALSE,79.22561677,0.194977087,79.60777186,78.84346168,0.101743724,0.107921403,0.001617428,TRUE,,,,fail_operator,,
13,14,10/10/22 19:44,FALSE,TRUE,TRUE,TRUE,0,TRUE,10424.39464,FALSE,123.2859483,0.331105674,123.9349155,122.6369812,0.212391304,0.167940536,0.001617428,TRUE,370.4328302,172.1679452,568.6977152,pass_all,,
14,15,10/10/22 19:56,FALSE,TRUE,FALSE,TRUE,1,FALSE,10370.43631,FALSE,211.312339,0.670246015,212.6260211,209.9986568,0.52683239,0.287850383,0.001617428,TRUE,,,,fail_operator,,
15,16,10/10/22 20:08,FALSE,TRUE,FALSE,TRUE,1,FALSE,10401.61686,FALSE,205.1446229,4.828394751,214.6082766,195.6809692,5.135064459,0.279448699,0.001617428,TRUE,,,,fail_operator,,
16,17,10/10/22 20:20,FALSE,TRUE,TRUE,TRUE,1,TRUE,10250.43631,FALSE,229.2172105,0.769432615,230.7252984,227.7091225,0.63161765,0.312240459,0.001617428,TRUE,142.4981486,48.74513111,236.2511661,pass_all,,
17,18,10/10/22 20:31,FALSE,TRUE,TRUE,TRUE,0,TRUE,10295.43631,FALSE,72.36422789,2.438536656,77.14375973,67.58469604,2.59898535,0.098574796,0.001617428,TRUE,44.19943901,16.61539932,71.7834787,pass_all,,
18,19,10/10/22 20:43,FALSE,TRUE,TRUE,TRUE,0,TRUE,10339.63502,FALSE,22.92373234,2.247746112,27.32931472,18.51814996,2.399814689,0.039948403,0.001617428,TRUE,34.46484832,11.66113497,57.26856167,pass_all,,
19,20,10/10/22 20:55,FALSE,TRUE,TRUE,TRUE,1,TRUE,10402.31131,FALSE,43.83481908,2.654422564,49.03748731,38.63215086,2.833054111,0.059711939,0.001617428,TRUE,32.24689386,11.65460026,52.83918746,pass_all,,
20,21,10/10/22 21:07,FALSE,TRUE,TRUE,TRUE,0,TRUE,10425.29742,FALSE,163.8822418,3.679699128,171.0944521,156.6700315,3.911787699,0.223240944,0.001617428,TRUE,94.36991159,43.15452276,145.5853004,pass_all,,
21,22,10/10/22 21:19,FALSE,TRUE,TRUE,TRUE,0,TRUE,10440.60992,FALSE,177.0606771,0.557028134,178.1524522,175.968902,0.434772561,0.241192653,0.001617428,TRUE,160.4675447,76.45865072,244.4764387,pass_all,,
22,23,10/10/22 21:30,FALSE,TRUE,FALSE,TRUE,0,FALSE,10474.3252,FALSE,26.00137108,3.084671334,32.0473269,19.95541527,3.293727891,0.040701501,0.001617428,TRUE,,,,fail_operator,,
23,24,10/11/22 17:16,FALSE,TRUE,TRUE,TRUE,1,TRUE,10374.88075,FALSE,26.5405392,0.089697728,26.71634675,26.36473165,0.071970354,0.039995301,0.001617428,TRUE,18.93505226,6.49342974,31.37667478,pass_all,,
24,25,10/11/22 17:28,TRUE,FALSE,TRUE,TRUE,1,TRUE,10307.55169,FALSE,0,0,0,0,0,0,0,FALSE,,,,pass_all,,
25,26,10/11/22 17:40,FALSE,TRUE,TRUE,TRUE,0,TRUE,10237.96607,FALSE,47.94556234,0.126096598,48.19271167,47.69841301,0.077759355,0.065311607,0.001617428,TRUE,24.98148376,11.55454735,38.40842017,pass_all,,
26,27,10/11/22 17:52,FALSE,TRUE,FALSE,TRUE,0,FALSE,10247.65853,FALSE,146.4563174,0.412811722,147.2654284,145.6472064,0.285602036,0.199503291,0.001617428,TRUE,,,,fail_operator,,
27,28,10/11/22 18:04,FALSE,TRUE,TRUE,TRUE,0,TRUE,10368.56131,FALSE,105.7764821,0.260210426,106.2864946,105.2664697,0.135602034,0.144089082,0.001617428,TRUE,35.43310991,16.93769564,53.92852418,pass_all,,
28,29,10/11/22 18:17,FALSE,TRUE,TRUE,TRUE,0,TRUE,10324.82733,FALSE,119.4251565,0.309632595,120.0320364,118.8182766,0.185325007,0.162681352,0.001617428,TRUE,51.70426793,22.08992158,81.31861428,pass_all,,
29,30,10/11/22 18:29,FALSE,TRUE,TRUE,TRUE,1,TRUE,10305.85297,FALSE,40.52589801,0.10529286,40.73227202,40.31952401,0.063309959,0.055204515,0.001617428,TRUE,25.71377555,12.13294853,39.29460257,pass_all,,
30,31,10/11/22 18:41,FALSE,TRUE,TRUE,TRUE,0,TRUE,10263.56131,FALSE,75.41825355,0.186171103,75.78314891,75.05335818,0.098081203,0.102735,0.001617428,TRUE,43.05963274,19.02619939,67.09306609,pass_all,,
