,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,release_rate_kgh,kgh_ch4_sigma,operator_detected,operator_quantification,operator_lower,operator_upper,qc_summary
0,1.0,2022-10-10 17:00:39,False,True,True,True,1,True,10351.26648,False,10.92213624004875,0.0713998489385753,True,87.19376164,42.486457390000005,131.90106589,pass_all
1,2.0,2022-10-10 17:14:15,False,True,True,True,1,True,10398.14464,False,6.612948731013749,0.0753212653867969,False,,,,pass_all
2,3.0,2022-10-10 17:28:37,False,True,False,True,1,False,10419.39464,False,8.638673389503753,0.0824638134419691,True,,,,fail_operator
3,4.0,2022-10-10 17:43:05,False,True,True,True,1,True,10416.32015,False,4.4451804176775,0.073235457928216,False,,,,pass_all
4,5.0,2022-10-10 17:55:26,True,False,True,True,0,True,10371.44592,False,0.0,0.0,False,,,,pass_all
5,6.0,2022-10-10 18:07:14,False,True,False,False,0,False,10396.95146,True,91.38784136782502,0.2281410398890126,True,,,,fail_all
6,7.0,2022-10-10 18:18:54,False,True,True,True,1,True,10330.29742,False,93.0819379419,0.2246665886775424,True,241.6751886,163.47111543,319.87926177,pass_all
7,8.0,2022-10-10 18:30:38,False,True,False,True,0,False,10364.92349,False,35.00659497087,4.777578853074175,True,,,,fail_operator
8,9.0,2022-10-10 18:43:29,False,True,True,True,0,True,10393.96195,False,39.336592102875,0.1063214108329694,True,94.72816414,53.37330979000001,136.08301849,pass_all
9,10.0,2022-10-10 18:56:08,False,True,True,True,1,True,10387.31131,False,30.76062848971875,4.85394879096536,True,74.78590872,46.50506047,103.06675697,pass_all
10,11.0,2022-10-10 19:08:35,False,True,True,True,1,True,10356.37381,False,144.1779333748875,9.57747777678959,True,220.0961678,105.6571516,334.535184,pass_all
11,12.0,2022-10-10 19:20:19,False,True,True,True,1,True,10258.25682,False,59.014270462725,0.1479944570524007,True,48.07834799,21.47200638,74.6846896,pass_all
12,13.0,2022-10-10 19:31:50,False,True,False,True,1,False,10290.66358,False,79.22561677233752,0.1949770871827603,True,,,,fail_operator
13,14.0,2022-10-10 19:44:20,False,True,True,True,0,True,10424.39464,False,123.28594834421251,0.3311056737648346,True,370.4328302,172.16794520000002,568.6977152,pass_all
14,15.0,2022-10-10 19:56:37,False,True,False,True,1,False,10370.43631,False,211.31233895193748,0.6702460153424143,True,,,,fail_operator
15,16.0,2022-10-10 20:08:41,False,True,False,True,1,False,10401.61686,False,205.1446228912125,4.828394751179971,True,,,,fail_operator
16,17.0,2022-10-10 20:20:08,False,True,True,True,1,True,10250.43631,False,229.217210473725,0.7694326152615362,True,142.4981486,48.74513111,236.25116609000003,pass_all
17,18.0,2022-10-10 20:31:35,False,True,True,True,0,True,10295.43631,False,72.36422788545,2.438536656151333,True,44.19943901,16.615399319999998,71.7834787,pass_all
18,19.0,2022-10-10 20:43:12,False,True,True,True,0,True,10339.63502,False,22.923732344625,2.247746133282853,True,34.46484832,11.661134970000004,57.26856167,pass_all
19,20.0,2022-10-10 20:55:31,False,True,True,True,1,True,10402.31131,False,43.83481908105001,2.6544225637326058,True,32.24689386,11.65460026,52.839187460000005,pass_all
20,21.0,2022-10-10 21:07:18,False,True,True,True,0,True,10425.29742,False,163.88224175981256,3.679699128208294,True,94.36991159,43.15452276,145.58530042,pass_all
21,22.0,2022-10-10 21:19:04,False,True,True,True,0,True,10440.60992,False,177.0606771012,0.5570281335301148,True,160.4675447,76.45865072,244.47643868,pass_all
22,23.0,2022-10-10 21:30:23,False,True,False,True,0,False,10474.3252,False,24.923238094336767,1.8226804672264096,True,,,,fail_operator
23,24.0,2022-10-11 17:16:20,False,True,True,True,1,True,10374.88075,False,26.54053920171,0.0896977284737864,True,18.93505226,6.49342974,31.37667478,pass_all
24,25.0,2022-10-11 17:28:25,True,False,True,True,1,True,10307.55169,False,0.0,0.0,False,,,,pass_all
25,26.0,2022-10-11 17:40:14,False,True,True,True,0,True,10237.96607,False,47.94556233993751,0.1260965984050598,True,24.98148376,11.55454735,38.40842017,pass_all
26,27.0,2022-10-11 17:52:20,False,True,False,True,0,False,10247.65853,False,146.45631741896253,0.4128117224119836,True,,,,fail_operator
27,28.0,2022-10-11 18:04:37,False,True,True,True,0,True,10368.56131,False,105.77648213145,0.2602104263437591,True,35.43310991,16.937695639999998,53.92852418,pass_all
28,29.0,2022-10-11 18:17:11,False,True,True,True,0,True,10324.82733,False,119.42515652321252,0.3096325948720497,True,51.70426793,22.08992158,81.31861428,pass_all
29,30.0,2022-10-11 18:29:30,False,True,True,True,1,True,10305.85297,False,40.5258980117625,0.1052928603066784,True,25.71377555,12.132948530000002,39.29460257,pass_all
30,31.0,2022-10-11 18:41:30,False,True,True,True,0,True,10263.56131,False,75.41825354595001,0.186171102881024,True,43.05963274,19.02619939,67.09306609,pass_all
31,32.0,2022-10-11 18:53:37,False,True,False,True,0,False,10305.43631,False,153.88637532232497,0.4383455937849367,True,,,,fail_operator
32,33.0,2022-10-11 19:05:39,False,True,True,True,0,True,10322.31131,False,169.161222869775,6.379691464094226,True,68.77329497,30.3769187,107.16967124,pass_all
33,34.0,2022-10-11 19:17:52,False,True,True,True,0,True,10346.44821,False,6.600892183796249,0.0847266918264655,False,,,,pass_all
34,35.0,2022-10-11 19:30:41,False,True,True,True,0,True,10361.07733,False,20.97106609248,0.0819536751652931,True,13.7314693,4.864804472000001,22.598134128,pass_all
35,36.0,2022-10-11 19:42:49,True,False,True,True,0,True,10365.71408,False,0.0,0.0,False,,,,pass_all
36,37.0,2022-10-11 19:54:25,False,True,False,True,1,False,10369.60297,False,42.14701483357499,3.2091190817871453,True,,,,fail_operator
37,38.0,2022-10-11 20:05:50,False,True,True,True,1,True,10314.40411,False,16.499559029759997,0.078059166187323,True,42.44641036,12.797796400000005,72.09502432,pass_all
38,39.0,2022-10-11 20:17:29,False,True,True,True,1,True,10273.00041,False,174.74661781256253,0.5155533404274194,True,116.4616028,32.07597944,200.84722616,pass_all
39,40.0,2022-10-11 20:29:33,False,True,True,True,1,True,10412.51964,False,139.36750587067502,0.3730443203061568,True,169.7134593,63.36705470000001,276.0598639,pass_all
