,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,pass_all_qc,fail_all_qc,operator_detected,release_rate_kgh,operator_quantification,operator_lower,operator_upper,qc_summary
0,1.0,2022-10-10 17:00:39,False,True,True,True,True,False,True,10.95706452,87.19376164,42.486457390000005,131.90106589,pass_all
1,2.0,2022-10-10 17:14:15,False,True,True,True,True,False,False,6.6211344,,,,pass_all
2,3.0,2022-10-10 17:28:37,False,True,False,True,False,False,True,8.664295355,,,,fail_operator
3,4.0,2022-10-10 17:43:05,False,True,True,True,True,False,False,4.4760168,,,,pass_all
4,5.0,2022-10-10 17:55:26,True,False,True,True,True,False,False,0.0,,,,pass_all
5,6.0,2022-10-10 18:07:14,False,True,False,False,False,True,True,91.73216206,,,,fail_all
6,7.0,2022-10-10 18:18:54,False,True,True,True,True,False,True,93.442392,241.6751886,163.47111543,319.87926177,pass_all
7,8.0,2022-10-10 18:30:38,False,True,False,True,False,False,True,39.72510348,,,,fail_operator
8,9.0,2022-10-10 18:43:29,False,True,True,True,True,False,True,39.48833265,94.72816414,53.37330979000001,136.08301849,pass_all
9,10.0,2022-10-10 18:56:08,False,True,True,True,True,False,True,34.01181987,74.78590872,46.50506047,103.06675697,pass_all
10,11.0,2022-10-10 19:08:35,False,True,True,True,True,False,True,138.4978413,220.0961678,105.6571516,334.535184,pass_all
11,12.0,2022-10-10 19:20:19,False,True,True,True,True,False,True,59.22218323,48.07834799,21.47200638,74.6846896,pass_all
12,13.0,2022-10-10 19:31:50,False,True,False,True,False,False,True,79.51777781,,,,fail_operator
13,14.0,2022-10-10 19:44:20,False,True,True,True,True,False,True,123.75288,370.4328302,172.16794520000002,568.6977152,pass_all
14,15.0,2022-10-10 19:56:37,False,True,False,True,False,False,True,212.1966674,,,,fail_operator
15,16.0,2022-10-10 20:08:41,False,True,False,True,False,False,True,209.9174888,,,,fail_operator
16,17.0,2022-10-10 20:20:08,False,True,True,True,True,False,True,230.3159133,142.4981486,48.74513111,236.25116609000003,pass_all
17,18.0,2022-10-10 20:31:35,False,True,True,True,True,False,True,73.41598916,44.19943901,16.615399319999998,71.7834787,pass_all
18,19.0,2022-10-10 20:43:12,False,True,True,True,True,False,True,24.10246359,34.46484832,11.661134970000004,57.26856167,pass_all
19,20.0,2022-10-10 20:55:31,False,True,True,True,True,False,True,45.11483303,32.24689386,11.65460026,52.839187460000005,pass_all
20,21.0,2022-10-10 21:07:18,False,True,True,True,True,False,True,165.4933192,94.36991159,43.15452276,145.58530042,pass_all
21,22.0,2022-10-10 21:19:04,False,True,True,True,True,False,True,177.8073677,160.4675447,76.45865072,244.47643868,pass_all
22,23.0,2022-10-10 21:30:23,False,True,False,True,False,False,True,27.65501954,,,,fail_operator
23,24.0,2022-10-11 17:16:20,False,True,True,True,True,False,True,26.63576965,18.93505226,6.49342974,31.37667478,pass_all
24,25.0,2022-10-11 17:28:25,True,False,True,True,True,False,False,0.0,,,,pass_all
25,26.0,2022-10-11 17:40:14,False,True,True,True,True,False,True,48.1156769,24.98148376,11.55454735,38.40842017,pass_all
26,27.0,2022-10-11 17:52:20,False,True,False,True,False,False,True,147.0547765,,,,fail_operator
27,28.0,2022-10-11 18:04:37,False,True,True,True,True,False,True,106.1697252,35.43310991,16.937695639999998,53.92852418,pass_all
28,29.0,2022-10-11 18:17:11,False,True,True,True,True,False,True,119.857896,51.70426793,22.08992158,81.31861428,pass_all
29,30.0,2022-10-11 18:29:30,False,True,True,True,True,False,True,40.67382426,25.71377555,12.132948530000002,39.29460257,pass_all
30,31.0,2022-10-11 18:41:30,False,True,True,True,True,False,True,75.69549523,43.05963274,19.02619939,67.09306609,pass_all
31,32.0,2022-10-11 18:53:37,False,True,False,True,False,False,True,154.4689022,,,,fail_operator
32,33.0,2022-10-11 19:05:39,False,True,True,True,True,False,True,167.2105355,68.77329497,30.3769187,107.16967124,pass_all
33,34.0,2022-10-11 19:17:52,False,True,True,True,True,False,False,6.608821006,,,,pass_all
34,35.0,2022-10-11 19:30:41,False,True,True,True,True,False,True,21.04796694,13.7314693,4.864804472000001,22.598134128,pass_all
35,36.0,2022-10-11 19:42:49,True,False,True,True,True,False,False,0.0,,,,pass_all
36,37.0,2022-10-11 19:54:25,False,True,False,True,False,False,True,40.970088,,,,fail_operator
37,38.0,2022-10-11 20:05:50,False,True,True,True,True,False,True,16.54751985,42.44641036,12.797796400000005,72.09502432,pass_all
38,39.0,2022-10-11 20:17:29,False,True,True,True,True,False,True,175.4435892,116.4616028,32.07597944,200.84722616,pass_all
39,40.0,2022-10-11 20:29:33,False,True,True,True,True,False,True,139.9591835,169.7134593,63.36705470000001,276.0598639,pass_all
40,41.0,2022-10-11 20:41:39,False,True,False,True,False,False,True,29.4682104,,,,fail_operator
41,42.0,2022-10-11 20:53:40,False,True,True,True,True,False,True,37.80375561,25.47196825,9.74736541,41.19657109,pass_all
42,43.0,2022-10-11 21:05:19,False,True,False,True,False,False,True,97.39534065,,,,fail_operator
43,44.0,2022-10-11 21:16:39,False,True,True,True,True,False,True,88.478064,119.8710723,73.00196193,166.74018267,pass_all
44,45.0,2022-10-12 17:16:03,False,True,False,True,False,False,True,277.9941809,,,,fail_operator
45,46.0,2022-10-12 17:27:44,False,True,False,True,False,False,True,65.81290529,,,,fail_operator
46,47.0,2022-10-12 17:40:47,False,True,False,True,False,False,True,14.45936261,,,,fail_operator
47,48.0,2022-10-12 17:53:21,False,True,True,True,True,False,True,49.45148361,98.45613773,17.141061619999988,179.77121384,pass_all
48,49.0,2022-10-12 18:05:46,False,True,True,True,True,False,True,48.73745961,51.56575317,25.94987592,77.18163042,pass_all
49,50.0,2022-10-12 18:18:02,False,True,True,True,True,False,True,105.275232,55.33014704,27.55813412,83.10215996,pass_all
50,51.0,2022-10-12 18:29:53,False,True,False,True,False,False,True,61.58076387,,,,fail_operator
51,52.0,2022-10-12 18:42:20,False,True,False,False,False,True,True,40.76687381,,,,fail_all
52,53.0,2022-10-12 18:54:32,False,True,True,True,True,False,True,81.97937187,92.45474051,41.99248598999999,142.91699503,pass_all
53,54.0,2022-10-12 19:06:41,False,True,True,False,False,False,True,60.02994658,127.3104497,48.024416720000005,206.59648268,fail_stanford
54,55.0,2022-10-12 19:18:47,False,True,True,True,True,False,True,11.26324661,4.90088507,2.2528892000000003,7.54888094,pass_all
55,56.0,2022-10-12 19:29:56,False,True,False,True,False,False,True,208.1963799,,,,fail_operator
56,57.0,2022-10-12 19:41:45,False,True,True,True,True,False,True,23.38424779,22.09402808,9.33975696,34.8482992,pass_all
57,58.0,2022-10-12 19:53:45,False,True,True,True,True,False,True,22.86071675,35.91431737,13.809277509999998,58.01935723,pass_all
58,59.0,2022-10-12 20:05:30,False,True,True,True,True,False,True,86.68786065,57.50539536,31.94631947,83.06447125,pass_all
59,60.0,2022-10-12 20:16:54,True,False,True,True,True,False,False,0.0,,,,pass_all
60,61.0,2022-10-12 20:28:51,False,True,True,True,True,False,True,62.61538994,110.9200785,46.60145729,175.23869971,pass_all
61,62.0,2022-10-12 20:40:41,False,True,True,True,True,False,True,56.21425548,74.8321255,41.62363262,108.04061838,pass_all
62,63.0,2022-10-12 20:52:27,False,True,True,True,True,False,True,93.46186219,44.66627038,20.56252848,68.77001228,pass_all
63,64.0,2022-10-12 21:04:12,True,False,True,True,True,False,False,0.0,,,,pass_all
64,65.0,2022-10-12 21:15:40,False,True,True,True,True,False,True,195.7808671,89.30090964,39.34961461,139.25220467,pass_all
65,66.0,2022-10-28 17:51:09,False,True,True,False,False,False,True,647.2300003,606.67042,358.60099720000005,854.7398428,fail_stanford
66,67.0,2022-10-28 18:03:25,False,True,True,True,True,False,True,578.7456299,551.2952728,328.3286433,774.2619023,pass_all
67,68.0,2022-10-28 18:15:20,False,True,True,True,True,False,True,483.5234563,507.6635205,337.9787691,677.3482719,pass_all
68,69.0,2022-10-28 18:27:30,False,True,False,True,False,False,True,1093.88166,,,,fail_operator
69,70.0,2022-10-28 18:39:43,False,True,True,True,True,False,True,762.1229636,898.2137803,494.783734,1301.6438266,pass_all
70,71.0,2022-10-28 18:52:00,True,False,True,True,True,False,True,0.0,181.8490969,108.33580402,255.36238978,pass_all
71,72.0,2022-10-28 19:04:26,False,True,True,True,True,False,True,305.5065343,1087.518445,572.8943311999999,1602.1425588,pass_all
72,73.0,2022-10-28 19:31:19,False,True,True,True,True,False,True,57.40792844,1256.739659,639.4880618000001,1873.9912562,pass_all
73,74.0,2022-10-28 19:43:20,False,True,False,True,False,False,True,470.5244282,,,,fail_operator
74,75.0,2022-10-28 19:55:36,False,True,False,True,False,False,True,420.2162348,,,,fail_operator
75,76.0,2022-10-28 20:07:34,False,True,True,True,True,False,True,1410.124029,520.4576667,247.4584603,793.4568730999999,pass_all
76,77.0,2022-10-28 20:19:21,False,True,True,True,True,False,True,854.6215724,133.3627741,66.362704,200.3628442,pass_all
77,78.0,2022-10-28 20:31:19,False,True,True,True,True,False,True,373.902675,122.296791,57.72957407999999,186.86400792,pass_all
78,79.0,2022-10-28 20:43:36,False,True,True,True,True,False,True,110.1305048,358.7100637,176.21560419999997,541.2045232,pass_all
79,80.0,2022-10-28 20:55:30,False,True,True,True,True,False,True,108.2793015,478.3667514,330.87428620000003,625.8592166,pass_all
80,81.0,2022-10-28 21:06:57,False,True,False,True,False,False,True,596.639947,,,,fail_operator
81,82.0,2022-10-29 17:13:27,False,True,False,True,False,False,True,675.3234204,,,,fail_operator
82,83.0,2022-10-29 17:25:08,False,True,True,False,False,False,True,487.1670124,338.9438044,240.97667135,436.91093745,fail_stanford
83,84.0,2022-10-29 17:37:18,False,True,True,False,False,False,True,408.1972335,35.12918503,24.52062928,45.73774078,fail_stanford
84,85.0,2022-10-29 17:49:21,False,True,True,True,True,False,True,367.3340375,34.93712619,16.68568479,53.188567590000005,pass_all
85,86.0,2022-10-29 18:01:44,False,True,True,True,True,False,True,34.2858032,242.7765881,117.1754803,368.3776959,pass_all
86,87.0,2022-10-29 18:13:22,False,True,True,True,True,False,True,33.52460788,363.6452807,215.1831596,512.1074017999999,pass_all
87,88.0,2022-10-29 18:25:06,False,True,True,True,True,False,True,331.1296627,377.9904306,186.41167830000003,569.5691829,pass_all
88,89.0,2022-10-29 18:36:51,False,True,False,True,False,False,True,356.9819684,,,,fail_operator
89,90.0,2022-10-29 18:49:00,False,True,False,True,False,False,True,822.88973,,,,fail_operator
90,91.0,2022-10-29 19:00:56,False,True,True,True,True,False,True,823.8695371,574.906401,345.4223011,804.3905009,pass_all
