,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,operator_detected,release_rate_kgh,operator_quantification,operator_lower,operator_upper,qc_summary
0,1.0,2022-10-10 17:00:39,False,True,True,True,1,True,11758.74684,False,True,10.95706452,13.1654166,4.790284888,21.540548312,pass_all
1,2.0,2022-10-10 17:14:15,False,True,True,True,1,True,11805.625,False,False,6.6211344,,,,pass_all
2,3.0,2022-10-10 17:28:37,False,True,False,True,1,False,11826.875,False,True,8.664295355,,,,fail_operator
3,4.0,2022-10-10 17:43:05,False,True,True,True,1,True,11823.80051,False,False,4.4760168,,,,pass_all
4,5.0,2022-10-10 17:55:26,True,False,True,True,0,True,11778.92628,False,False,0.0,,,,pass_all
5,6.0,2022-10-10 18:07:14,False,True,False,False,0,False,11804.43182,True,True,91.73216206,,,,fail_all
6,7.0,2022-10-10 18:18:54,False,True,True,True,1,True,11737.77778,False,True,93.442392,172.1313526,120.22175556000002,224.04094964,pass_all
7,8.0,2022-10-10 18:30:38,False,True,False,True,0,False,11772.40385,False,True,39.72510348,,,,fail_operator
8,9.0,2022-10-10 18:43:29,False,True,True,True,0,True,11801.44231,False,True,39.48833265,48.06807558,16.43381441,79.70233675,pass_all
9,10.0,2022-10-10 18:56:08,False,True,True,True,1,True,11794.79167,False,True,34.01181987,50.26225492,27.586977829999995,72.93753201,pass_all
10,11.0,2022-10-10 19:08:35,False,True,True,True,1,True,11763.85417,False,True,138.4978413,215.0162166,150.87381235,279.15862085000003,pass_all
11,12.0,2022-10-10 19:20:19,False,True,True,True,1,True,11665.73718,False,True,59.22218323,66.43268212,43.73063952,89.13472472,pass_all
12,13.0,2022-10-10 19:31:50,False,True,False,True,1,False,11698.14394,False,True,79.51777781,,,,fail_operator
13,14.0,2022-10-10 19:44:20,False,True,True,True,0,True,11831.875,False,True,123.75288,222.4485923,119.8709334,325.0262512,pass_all
14,15.0,2022-10-10 19:56:37,False,True,False,True,1,False,11777.91667,False,True,212.1966674,,,,fail_operator
15,16.0,2022-10-10 20:08:41,False,True,False,True,1,False,11809.09722,False,True,209.9174888,,,,fail_operator
16,17.0,2022-10-10 20:20:08,False,True,True,True,1,True,11657.91667,False,True,230.3159133,325.045676,206.2198495,443.8715025,pass_all
17,18.0,2022-10-10 20:31:35,False,True,True,True,0,True,11702.91667,False,True,73.41598916,113.5621413,87.74763071,139.37665189,pass_all
18,19.0,2022-10-10 20:43:12,False,True,True,True,0,True,11747.11538,False,True,24.10246359,66.34183697,45.88104376,86.80263018,pass_all
19,20.0,2022-10-10 20:55:31,False,True,True,True,1,True,11809.79167,False,True,45.11483303,62.87494718,44.72591604,81.02397832,pass_all
20,21.0,2022-10-10 21:07:18,False,True,True,True,0,True,11832.77778,False,True,165.4933192,319.3147624,232.87854599,405.75097881,pass_all
21,22.0,2022-10-10 21:19:04,False,True,True,True,0,True,11848.09028,False,True,177.8073677,305.7949807,253.23836397,358.35159743,pass_all
22,23.0,2022-10-10 21:30:23,False,True,False,True,0,False,11881.80556,False,True,27.65501954,,,,fail_operator
23,24.0,2022-10-11 17:16:20,False,True,True,True,1,True,11782.36111,False,True,26.63576965,57.96896397,32.969766289999995,82.96816165,pass_all
24,25.0,2022-10-11 17:28:25,True,False,True,True,1,True,11715.03205,False,False,0.0,,,,pass_all
25,26.0,2022-10-11 17:40:14,False,True,True,True,0,True,11645.44643,False,True,48.1156769,79.17823303,61.002654070000006,97.35381199,pass_all
26,27.0,2022-10-11 17:52:20,False,True,False,True,0,False,11655.13889,False,True,147.0547765,,,,fail_operator
27,28.0,2022-10-11 18:04:37,False,True,True,True,0,True,11776.04167,False,True,106.1697252,180.5341647,149.77469961999998,211.29362978,pass_all
28,29.0,2022-10-11 18:17:11,False,True,True,True,0,True,11732.30769,False,True,119.857896,283.5605799,189.08567528,378.03548452,pass_all
29,30.0,2022-10-11 18:29:30,False,True,True,True,1,True,11713.33333,False,True,40.67382426,119.6759341,96.18746224,143.16440596,pass_all
30,31.0,2022-10-11 18:41:30,False,True,True,True,0,True,11671.04167,False,True,75.69549523,90.26152006,61.35380151,119.16923861,pass_all
