,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,fail_all_qc,operator_detected,release_rate_kgh,operator_quantification,operator_lower,operator_upper,qc_summary
0,1.0,2022-10-31 17:04:02,False,True,True,True,0,True,False,True,215.1775712,281.0,225.0,338.0,pass_all
1,2.0,2022-10-31 17:07:12,False,True,True,True,0,True,False,True,215.5998135,210.0,168.0,252.0,pass_all
2,3.0,2022-10-31 17:10:55,False,True,True,True,1,True,False,True,303.1081822,297.0,237.0,356.0,pass_all
3,4.0,2022-10-31 17:14:13,False,True,True,True,0,True,False,True,111.0584064,139.0,111.0,166.0,pass_all
4,5.0,2022-10-31 17:17:18,False,True,True,True,0,True,False,True,109.7280312,165.0,132.0,198.0,pass_all
5,6.0,2022-10-31 17:20:09,False,True,True,True,0,True,False,True,60.08391295,80.0,64.0,95.0,pass_all
6,7.0,2022-10-31 17:23:16,False,True,True,True,1,True,False,True,110.7584449,134.0,107.0,161.0,pass_all
7,8.0,2022-10-31 17:26:03,False,True,True,True,0,True,False,True,665.078361,737.0,590.0,885.0,pass_all
8,9.0,2022-10-31 17:29:12,False,True,True,True,0,True,False,True,683.1117166,704.0,563.0,845.0,pass_all
9,10.0,2022-10-31 17:32:10,False,True,True,True,0,True,False,True,20.6059903,26.0,21.0,32.0,pass_all
10,11.0,2022-10-31 17:35:27,False,True,True,True,0,True,False,True,275.992048,295.0,236.0,354.0,pass_all
11,12.0,2022-10-31 17:38:23,False,True,True,True,1,True,False,True,317.2457178,367.0,293.0,440.0,pass_all
12,13.0,2022-10-31 17:41:46,False,True,True,True,1,True,False,True,318.0924316,357.0,285.0,428.0,pass_all
13,14.0,2022-10-31 17:44:50,False,True,True,True,1,True,False,True,262.1039787,285.0,228.0,343.0,pass_all
14,15.0,2022-10-31 17:48:16,False,True,True,True,1,True,False,True,261.2822338,257.0,206.0,308.0,pass_all
15,16.0,2022-10-31 17:51:26,False,True,True,True,0,True,False,True,958.8075931,864.0,691.0,1037.0,pass_all
16,17.0,2022-10-31 17:54:40,False,True,True,False,1,False,False,True,430.5733976,386.0,309.0,463.0,fail_stanford
17,18.0,2022-10-31 17:57:55,False,True,True,False,0,False,False,True,167.2654488,161.0,129.0,193.0,fail_stanford
18,19.0,2022-10-31 18:01:13,False,True,True,False,0,False,False,True,1121.171331,1019.0,815.0,1222.0,fail_stanford
19,20.0,2022-10-31 18:04:20,False,True,True,True,0,True,False,True,1145.494848,1352.0,1082.0,1622.0,pass_all
20,21.0,2022-10-31 18:07:37,False,True,True,False,0,False,False,True,18.10028128,28.0,23.0,34.0,fail_stanford
21,22.0,2022-10-31 18:10:58,False,True,True,False,0,False,False,True,623.2799452,405.0,324.0,486.0,fail_stanford
22,23.0,2022-10-31 18:14:38,False,True,True,True,0,True,False,True,631.1005672,386.0,309.0,463.0,pass_all
23,24.0,2022-10-31 18:17:44,False,True,True,False,0,False,False,True,22.71520627,262.0,209.0,314.0,fail_stanford
