,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,operator_detected,release_rate_kgh,operator_quantification,operator_lower,operator_upper,qc_summary
0,1.0,2022-10-24 16:46:15,True,False,True,True,0,True,2748.921238556028,False,False,0.0,0.0,0.0,0.0,pass_all
1,2.0,2022-10-24 16:49:22,True,False,True,True,0,True,2773.823360743972,False,False,0.0,0.0,0.0,0.0,pass_all
2,3.0,2022-10-24 16:52:32,False,True,True,False,1,False,2716.173534096028,False,True,17.84613948,20.07188437,20.07188437,20.07188437,fail_stanford
3,4.0,2022-10-24 16:55:42,False,True,True,True,1,True,2732.13919504,False,True,17.81225535,19.357717620000003,16.97014334,21.7452919,pass_all
4,5.0,2022-10-24 16:59:01,False,True,True,True,1,True,2750.101247123972,False,True,17.83283458,22.506983545,19.47899824,25.53496885,pass_all
5,6.0,2022-10-24 17:02:04,False,True,True,True,0,True,2758.508399623972,False,True,107.8631535,130.80991265,128.1029262,133.5168991,pass_all
6,7.0,2022-10-24 17:05:20,False,True,True,True,0,True,2762.871370236028,False,True,107.7383613,426.674473,423.487591,429.861355,pass_all
7,8.0,2022-10-24 17:08:21,False,True,True,True,0,True,2747.423535096028,False,True,107.4374594,96.414000805,74.19541101,118.6325906,pass_all
8,9.0,2022-10-24 17:11:37,False,True,True,True,1,True,2766.410302763972,False,False,1.631503045,0.0,0.0,0.0,pass_all
9,10.0,2022-10-24 17:14:38,False,True,True,True,1,True,2754.4363305960283,False,False,1.575648581,0.0,0.0,0.0,pass_all
10,11.0,2022-10-24 17:17:53,False,True,True,True,1,True,2760.5233823,False,False,1.533378077,0.0,0.0,0.0,pass_all
11,12.0,2022-10-24 17:20:59,False,True,True,True,1,True,2748.857808763972,False,True,12.29183884,13.25112651,12.37329163,14.12896139,pass_all
12,13.0,2022-10-24 17:24:12,False,True,True,True,1,True,2741.22876226,False,True,12.30932439,15.444180235,14.59501569,16.29334478,pass_all
13,14.0,2022-10-24 17:27:11,False,True,True,True,1,True,2763.344357783972,False,False,3.296867226,0.0,0.0,0.0,pass_all
14,15.0,2022-10-24 17:30:27,False,True,False,True,1,False,2755.918176443972,False,False,3.238535729,,,,fail_operator
15,16.0,2022-10-24 17:33:38,False,True,True,True,1,True,2760.70054766,False,True,3.23067089,3.2335642165,0.0,6.467128433,pass_all
16,17.0,2022-10-24 17:36:52,False,True,True,True,1,True,2788.7823507239723,False,False,3.225980206,0.0,0.0,0.0,pass_all
17,18.0,2022-10-24 17:40:00,False,True,True,False,1,False,2785.4451898560283,False,True,28.25064697,30.41209861,29.47345359,31.35074363,fail_stanford
18,19.0,2022-10-24 17:43:18,False,True,True,True,1,True,2760.256540756028,False,True,28.27962929,33.235622795,27.47135295,38.99989264,pass_all
19,20.0,2022-10-24 17:46:20,False,True,True,True,1,True,2777.12935396,False,True,28.27273123,33.497960955,32.97861272,34.01730919,pass_all
20,21.0,2022-10-24 17:49:37,False,True,True,True,1,True,2763.794926696028,False,True,186.779311,200.02871875,196.2253011,203.8321364,pass_all
21,22.0,2022-10-24 17:52:40,False,True,True,True,1,True,2777.746698796028,False,True,187.2966658,156.29882895,153.1467956,159.4508623,pass_all
22,23.0,2022-10-24 17:57:58,False,True,True,True,1,True,2737.46399836,False,True,188.4627523,156.4459122,128.3873929,184.5044315,pass_all
23,24.0,2022-10-24 18:01:11,False,True,True,False,0,False,2744.541317156028,False,True,59.76096387,73.46216271,71.86931443,75.05501099,fail_stanford
24,25.0,2022-10-24 18:04:31,False,True,True,True,1,True,2750.941142163972,False,True,59.06227355,46.6253328,46.55315736,46.69750824,pass_all
25,26.0,2022-10-24 18:07:34,False,True,True,False,0,False,2741.139086076028,False,True,116.0326568,94.047044935,89.69529082,98.39879905,fail_stanford
26,27.0,2022-10-24 18:10:50,True,False,True,False,0,False,2720.34293482,False,False,0.0,0.0,0.0,0.0,fail_stanford
27,28.0,2022-10-24 18:13:53,False,True,False,False,0,False,2725.249977956028,True,False,706.6959372,,,,fail_all
28,29.0,2022-10-24 18:17:18,False,True,False,True,0,False,2725.95481164,False,False,714.7845573,,,,fail_operator
29,30.0,2022-10-24 18:20:25,False,True,False,True,0,False,2716.183923203972,False,False,716.2662111,,,,fail_operator
30,31.0,2022-10-24 18:23:39,False,True,False,True,0,False,2718.4717625160283,False,False,712.0512732,,,,fail_operator
31,32.0,2022-10-24 18:26:41,False,True,True,False,0,False,2752.59031118,False,True,436.7800874,425.3794527,417.3888434,433.370062,fail_stanford
32,33.0,2022-10-24 18:29:53,False,True,True,True,0,True,2686.216730643972,False,True,432.1277809,481.86731525,461.9373923,501.7972382,pass_all
33,34.0,2022-10-24 18:33:04,False,True,False,True,0,False,2743.926706243972,False,False,431.0176205,,,,fail_operator
34,35.0,2022-10-24 18:39:06,False,True,True,True,0,True,2754.394226263972,False,True,161.27769,159.9484919,154.2055848,165.691399,pass_all
35,36.0,2022-10-24 18:42:15,False,True,True,True,0,True,2741.244619543972,False,True,160.3907496,168.73308845,163.3665775,174.0995994,pass_all
36,37.0,2022-10-24 18:45:33,False,True,True,True,0,True,2743.829921463972,False,True,159.7608308,184.26617075,182.2266133,186.3057282,pass_all
37,38.0,2022-10-24 18:48:36,False,True,True,True,0,True,2723.997243663972,False,True,42.24333159,34.12901223,30.49826625,37.75975821,pass_all
38,39.0,2022-10-24 18:51:56,False,True,True,True,0,True,2727.121697176028,False,True,41.83976452,38.20282137,37.35187928,39.05376346,pass_all
39,40.0,2022-10-24 18:55:00,False,True,False,True,0,False,2729.28486424,False,False,41.45844386,,,,fail_operator
40,41.0,2022-10-24 18:58:14,False,True,True,False,1,False,2723.212576316028,False,True,8.725007707,7.9117491675,6.825822811,8.997675524,fail_stanford
41,42.0,2022-10-24 19:01:19,False,True,True,True,1,True,2769.88361882,False,True,8.665007208,3.232579121,0.0,6.465158242,pass_all
42,43.0,2022-10-24 19:04:27,False,True,True,True,1,True,2727.873556123972,False,True,8.623646173,12.74189949,11.62196471,13.86183427,pass_all
43,44.0,2022-10-24 19:07:37,False,True,True,True,0,True,2735.850371996028,False,False,4.107388342,0.0,0.0,0.0,pass_all
44,45.0,2022-10-24 19:11:01,False,True,True,True,0,True,2727.964873056028,False,False,4.047485037,0.0,0.0,0.0,pass_all
45,46.0,2022-10-24 19:14:06,False,True,True,False,0,False,2692.158331883972,False,True,17.90245978,14.92044379,13.47926456,16.36162302,fail_stanford
46,47.0,2022-10-24 19:17:24,False,True,True,True,1,True,2714.717387723972,False,True,17.89883124,12.98697935,12.69315629,13.28080241,pass_all
47,48.0,2022-10-24 19:20:29,False,True,True,True,1,True,2719.51944398,False,True,17.83948949,41.42176176,37.54737414,45.29614938,pass_all
48,49.0,2022-10-24 19:23:45,False,True,True,True,1,True,2722.1151353360283,False,True,17.796109,12.55787085,12.24479374,12.87094796,pass_all
49,50.0,2022-10-24 19:26:51,False,True,True,True,1,True,2747.756540356028,False,True,17.74250164,9.9582276725,8.459139635,11.45731571,pass_all
50,51.0,2022-10-24 19:30:05,False,True,True,True,1,True,2749.85737146,False,True,26.32781057,20.179080305,18.16861843,22.18954218,pass_all
51,52.0,2022-10-24 19:33:07,False,True,True,True,1,True,2725.5332237,False,True,26.40110491,19.585317335,18.78803893,20.38259574,pass_all
52,53.0,2022-10-24 19:36:19,False,True,True,True,1,True,2750.52338198,False,True,31.39735593,25.086287055,24.88687301,25.2857011,pass_all
53,54.0,2022-10-24 19:39:22,False,True,True,True,0,True,2718.191250696028,False,False,5.327171697,0.0,0.0,0.0,pass_all
54,55.0,2022-10-24 19:42:33,False,True,True,True,0,True,2720.017584743972,False,True,5.264590183,6.286445571,4.585407358,7.987483784,pass_all
55,56.0,2022-10-24 19:45:36,False,True,True,False,0,False,2760.969029623972,False,False,1.571756041,0.0,0.0,0.0,fail_stanford
56,57.0,2022-10-24 19:48:45,False,True,True,True,1,True,2702.008507396028,False,False,1.559700865,0.0,0.0,0.0,pass_all
57,58.0,2022-10-25 16:35:28,False,True,True,False,1,False,2745.762336223972,False,True,13.91607676,11.329250455,11.31763071,11.3408702,fail_stanford
58,59.0,2022-10-25 16:38:32,False,True,True,False,1,False,2797.39838348,False,True,13.89269644,20.399804805,20.37145862,20.42815099,fail_stanford
59,60.0,2022-10-25 16:41:46,False,True,True,True,1,True,2744.012555,False,True,13.90705941,16.326666395,16.03721857,16.61611422,pass_all
60,61.0,2022-10-25 16:44:55,False,True,False,True,1,False,2769.606934756028,False,False,13.85352764,,,,fail_operator
61,62.0,2022-10-25 16:48:07,False,True,False,True,1,False,2730.796237976028,False,False,13.80547109,,,,fail_operator
62,63.0,2022-10-25 16:51:13,False,True,True,False,0,False,2796.978982876028,False,True,3.643259216,2.7646763285,2.554700911,2.974651746,fail_stanford
63,64.0,2022-10-25 16:54:29,False,True,True,False,0,False,2756.877822143972,False,True,3.575234892,2.445738356,2.420173147,2.471303565,fail_stanford
64,65.0,2022-10-25 16:57:35,True,False,True,False,0,False,2768.365136816028,False,True,0.0,2.174976923,1.905477165,2.444476681,fail_stanford
65,66.0,2022-10-25 17:00:52,True,False,True,False,0,False,2734.916973016028,False,False,0.0,0.0,0.0,0.0,fail_stanford
66,67.0,2022-10-25 17:04:01,False,True,True,False,0,False,2782.0336628439723,False,True,11.35778336,9.3029796475,8.924652008,9.681307287,fail_stanford
67,68.0,2022-10-25 17:07:17,False,True,True,False,0,False,2751.0417547,False,True,11.34736211,8.688137758,8.344653242,9.031622274,fail_stanford
68,69.0,2022-10-25 17:10:32,False,True,False,False,0,False,2770.878806843972,True,False,199.9207757,,,,fail_all
69,70.0,2022-10-25 17:13:52,False,True,False,False,0,False,2755.312314876028,True,False,201.3166837,,,,fail_all
70,71.0,2022-10-25 17:17:00,False,True,False,True,0,False,2745.755227956028,False,False,202.832679,,,,fail_operator
71,72.0,2022-10-25 17:20:13,False,True,True,False,0,False,2744.641929363972,False,True,22.91759864,15.54025464,15.34254148,15.7379678,fail_stanford
72,73.0,2022-10-25 17:23:22,False,True,True,False,0,False,2774.573032683972,False,True,22.84912075,19.073397765,17.92154071,20.22525482,fail_stanford
73,74.0,2022-10-25 17:26:36,False,True,True,False,0,False,2747.686002296028,False,True,96.03773108,137.10897354999997,135.4928436,138.7251035,fail_stanford
74,75.0,2022-10-25 17:29:48,False,True,True,True,1,True,2756.4813874200004,False,True,95.68848412,121.17242515,117.8567049,124.4881454,pass_all
75,76.0,2022-10-25 17:32:57,False,True,True,True,1,True,2744.780818476028,False,True,95.2703381,107.00274735,105.7998817,108.205613,pass_all
76,77.0,2022-10-25 17:36:05,False,True,False,True,1,False,2734.907130496028,False,False,95.19485151,,,,fail_operator
77,78.0,2022-10-25 17:39:21,False,True,False,False,0,False,2754.347747916028,True,False,48.87794395,,,,fail_all
78,79.0,2022-10-25 17:42:27,False,True,False,False,0,False,2742.22121636,True,False,48.94381923,,,,fail_all
79,80.0,2022-10-25 17:45:44,False,True,False,False,0,False,2738.931080756028,True,False,947.9279633,,,,fail_all
80,81.0,2022-10-25 17:48:49,False,True,False,False,0,False,2764.962905736028,True,False,973.4108964,,,,fail_all
81,82.0,2022-10-25 17:52:10,False,True,False,False,1,False,2715.65953572,True,False,967.3363319,,,,fail_all
82,83.0,2022-10-25 17:55:19,False,True,False,True,1,False,2749.013102076028,False,False,968.6192799,,,,fail_operator
83,84.0,2022-10-25 17:58:33,False,True,False,True,1,False,2717.566250676028,False,False,971.5793477,,,,fail_operator
84,85.0,2022-10-25 18:01:39,False,True,False,True,1,False,2755.05586244,False,False,956.5889424,,,,fail_operator
