,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,release_rate_kgh,kgh_ch4_sigma,operator_detected,operator_quantification,operator_lower,operator_upper,qc_summary
0,1.0,2022-10-25 17:15:08,False,True,True,True,0,True,41623.97797,False,205.23387501000005,0.6705249334767854,True,177,121,232,pass_all
1,2.0,2022-10-25 17:32:52,False,True,True,True,0,True,41630.46886,False,97.04010463392,0.3173453650486967,True,61,18,105,pass_all
2,3.0,2022-10-25 17:50:42,False,True,True,False,0,False,42633.14464,False,987.1340896824,26.02085367385715,True,855,578,1133,fail_stanford
3,4.0,2022-10-25 18:09:11,False,True,True,True,0,True,42635.03948,False,982.4968482504,27.562196202649133,True,908,662,1155,pass_all
4,5.0,2022-10-25 18:27:57,True,False,True,False,0,False,43640.08684,False,0.0,0.0,False,0,-100,100,fail_stanford
5,6.0,2022-10-25 18:47:09,False,True,True,True,0,True,43643.14464,False,468.3340060848,2.3022456982254123,True,669,409,928,pass_all
6,7.0,2022-10-25 19:07:10,False,True,True,True,0,True,43626.23549,False,24.420141170712,0.0576147264981015,False,0,-100,100,pass_all
7,8.0,2022-10-25 19:28:04,False,True,True,True,0,True,43632.51964,False,634.5679888872,4.64731611126644,True,544,374,714,pass_all
8,9.0,2022-10-25 20:10:31,False,True,True,True,0,True,44646.26964,False,142.13504332512002,0.3129368924734944,True,303,183,423,pass_all
9,10.0,2022-10-25 20:29:58,False,True,True,True,0,True,44667.51964,False,74.6547387708,0.1728874188574847,True,89,-11,189,pass_all
10,11.0,2022-10-25 20:46:41,False,True,True,True,0,True,44667.51964,False,63.03198935766,0.1297052165351923,True,140,89,191,pass_all
11,12.0,2022-10-29 16:25:02,True,False,True,True,0,True,42617.54368,False,0.0,0.0,False,0,-100,100,pass_all
12,13.0,2022-10-29 16:50:52,False,True,True,True,0,True,42642.51964,False,340.156216364895,1.851651648583372,True,196,97,294,pass_all
13,14.0,2022-10-29 17:17:02,False,True,True,True,0,True,42642.51964,False,671.7444153367501,5.823738274782674,True,787,290,1283,pass_all
14,15.0,2022-10-29 17:42:47,False,True,True,True,0,True,43641.47456,False,405.58801998802505,2.6946600050293408,True,644,271,1017,pass_all
15,16.0,2022-10-29 18:07:14,False,True,True,True,0,True,43640.19821,False,33.60693741122025,0.1724630282247319,True,94,-6,194,pass_all
16,17.0,2022-10-29 18:31:01,False,True,True,True,0,True,43625.62149,False,337.5601057220175,1.8730151598963256,True,388,296,480,pass_all
17,18.0,2022-10-29 18:54:09,False,True,True,True,0,True,43635.8699,False,818.3025172712252,12.4732101909255,True,958,549,1368,pass_all
18,19.0,2022-10-29 19:16:43,False,True,True,True,0,True,43617.51964,False,1060.77148363305,29.661424010258465,True,1199,886,1512,pass_all
19,20.0,2022-10-29 19:38:38,False,True,True,True,0,True,44617.51964,False,1289.3507118009002,34.593853518220214,True,1489,1004,1974,pass_all
20,21.0,2022-10-29 19:59:57,False,True,True,True,0,True,44608.46226,False,585.3206487838501,4.993826244134245,True,579,397,761,pass_all
21,22.0,2022-10-29 20:21:33,False,True,True,False,0,False,44617.51964,False,199.2621738348675,17.4525203760053,True,252,147,357,fail_stanford
22,23.0,2022-10-29 20:42:37,False,True,True,False,0,False,44617.51964,False,493.5212795646,3.316718346730041,True,584,328,839,fail_stanford
23,24.0,2022-10-29 21:02:19,False,True,True,True,0,True,44627.8691,False,168.86165228935704,0.8513419099840044,True,112,-21,244,pass_all
