,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,release_rate_kgh,ch4_kgh_sigma,upper_95CI,lower_95CI,sigma_flow_variability,sigma_meter_reading,sigma_gas_composition,operator_detected,operator_quantification,operator_lower,operator_upper,qc_summary
0,1,11/8/22 21:36,FALSE,TRUE,FALSE,TRUE,0,FALSE,,FALSE,575.9273149,3.794631901,583.3647934,568.4898363,3.814359548,0.770530928,0.001319614,TRUE,4.5,-0.4,9.4,fail_operator
1,2,11/8/22 22:32,FALSE,TRUE,FALSE,TRUE,0,FALSE,,FALSE,229.680998,0.524760891,230.7095294,228.6524667,0.312001982,0.307289319,0.001319614,TRUE,139.8,38,241.6,fail_operator
2,3,11/8/22 23:05,FALSE,TRUE,FALSE,TRUE,0,FALSE,,FALSE,7.095313353,0.030501837,7.155096953,7.035529753,0.028763958,0.009492792,0.001319614,TRUE,7.5,3.5,11.5,fail_operator
3,4,11/8/22 23:45,FALSE,TRUE,FALSE,TRUE,0,FALSE,,FALSE,108.1560073,0.228708743,108.6042765,107.7077382,0.109332537,0.144701504,0.001319614,FALSE,-3,-5.3,-0.7,fail_operator
4,5,11/10/22 18:05,FALSE,TRUE,TRUE,FALSE,0,FALSE,,FALSE,1322.472443,188.5682556,1692.066224,952.8786618,197.7055215,1.768766995,0.00166258,TRUE,921.8,646.4,1197.2,fail_stanford
5,6,11/10/22 18:46,FALSE,TRUE,TRUE,TRUE,0,TRUE,,FALSE,200.4833984,0.764333439,201.981492,198.9853049,0.6603996,0.268140497,0.00166258,TRUE,155.525,95.8,215.3,pass_all
6,7,11/10/22 19:26,FALSE,TRUE,TRUE,TRUE,0,TRUE,,FALSE,342.5184302,1.944677613,346.3299983,338.7068621,1.885788495,0.458108067,0.00166258,TRUE,275.9,204.6,347.2,pass_all
7,8,11/10/22 20:04,TRUE,FALSE,TRUE,TRUE,0,TRUE,,FALSE,0,0,0,0,0,0,0,FALSE,2.6,-0.3,5.5,pass_all
8,9,11/10/22 20:47,FALSE,TRUE,TRUE,TRUE,0,TRUE,,FALSE,80.05311406,0.208860083,80.46247982,79.64374829,0.122819516,0.107068625,0.00166258,TRUE,31.185,9.4,53,pass_all
9,10,11/10/22 21:25,FALSE,TRUE,TRUE,TRUE,0,TRUE,,FALSE,118.1641531,10.25895732,138.2717095,98.05659676,10.75398438,0.158042292,0.00165699,TRUE,70.4,44.7,96.1,pass_all
10,11,11/10/22 21:55,FALSE,TRUE,FALSE,TRUE,0,FALSE,,FALSE,4.062655045,0.020310723,4.102464061,4.022846028,0.01908997,0.005830508,0.00166258,TRUE,6.5,-3.6,16.6,fail_operator
11,12,11/11/22 19:14,FALSE,TRUE,TRUE,TRUE,0,TRUE,,FALSE,156.1089106,0.517155046,157.1225345,155.0952868,0.358883317,0.208742777,0.002032185,TRUE,91.6,61.3,121.9,pass_all
12,13,11/11/22 19:49,FALSE,TRUE,TRUE,TRUE,0,TRUE,,FALSE,3.773421855,0.028890418,3.830047073,3.716796637,0.028500854,0.00582838,0.002032185,TRUE,2.9,-0.3,6.1,pass_all
13,14,11/11/22 20:25,FALSE,TRUE,FALSE,TRUE,0,FALSE,,FALSE,12.46759676,0.036425042,12.53898984,12.39620368,0.0201215,0.016671187,0.002032185,FALSE,4.9,-1.2,11,fail_operator
14,15,11/11/22 20:56,FALSE,TRUE,TRUE,TRUE,0,TRUE,,FALSE,27.08834243,2.114545521,31.23285165,22.94383321,2.215628992,0.03622148,0.002032185,TRUE,18.07,5.9,30.3,pass_all
15,16,11/11/22 21:30,TRUE,FALSE,TRUE,TRUE,0,TRUE,,FALSE,0,0,0,0,0,0,0,FALSE,0.09,-11.3,11.5,pass_all
16,17,11/11/22 22:42,FALSE,TRUE,TRUE,TRUE,0,TRUE,,FALSE,802.525165,13.66166295,829.3020244,775.7483056,14.16881668,1.073105505,0.002032185,TRUE,402.79,216.3,589.3,pass_all
17,18,11/11/22 23:17,FALSE,TRUE,FALSE,TRUE,0,FALSE,,FALSE,205.9036707,0.934170312,207.7346445,204.0726969,0.819631639,0.275326397,0.002032185,TRUE,151.6,35.8,267.4,fail_operator
