,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,fail_all_qc,operator_detected,release_rate_kgh,ch4_kgh_sigma,operator_quantification,operator_lower,operator_upper,qc_summary
0,1,11/8/22 21:36,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,TRUE,575.9273149,3.794631901,4.5,-0.4,9.4,fail_operator
1,2,11/8/22 22:32,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,TRUE,229.680998,0.524760891,139.8,38,241.6,fail_operator
2,3,11/8/22 23:05,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,TRUE,7.095313353,0.030501837,7.5,3.5,11.5,fail_operator
3,4,11/8/22 23:45,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,FALSE,108.1560073,0.228708743,-3,-5.3,-0.7,fail_operator
4,5,11/10/22 18:05,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,TRUE,1322.472443,188.5682556,921.8,646.4,1197.2,pass_all
5,6,11/10/22 18:46,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,TRUE,200.4833984,0.764333439,155.525,95.76325304,215.286747,pass_all
6,7,11/10/22 19:26,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,TRUE,342.5184302,1.944677613,275.9,204.6,347.2,pass_all
7,8,11/10/22 20:04,TRUE,FALSE,TRUE,TRUE,0,TRUE,FALSE,TRUE,0,0,2.6,-0.3,5.5,pass_all
8,9,11/10/22 20:47,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,TRUE,80.05311406,0.208860083,31.185,9.37674468,52.99325532,pass_all
9,10,11/10/22 21:25,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,TRUE,118.1641531,10.25895732,70.4,44.7,96.1,pass_all
10,11,11/10/22 21:55,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,TRUE,4.062655045,0.020310723,6.5,-3.6,16.6,fail_operator
11,12,11/11/22 19:14,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,TRUE,156.1089106,0.517155046,91.6,61.3,121.9,pass_all
12,13,11/11/22 19:49,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,TRUE,3.773421855,0.028890418,2.9,-0.3,6.1,pass_all
13,14,11/11/22 20:25,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,TRUE,12.46759676,0.036425042,4.9,-1.2,11,fail_operator
14,15,11/11/22 20:56,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,TRUE,27.08834243,2.114545521,18.07,5.8722789,30.2677211,pass_all
15,16,11/11/22 21:30,TRUE,FALSE,TRUE,TRUE,0,TRUE,FALSE,FALSE,0,0,0.09,-11.27248652,11.45248652,pass_all
16,17,11/11/22 22:42,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,TRUE,802.525165,13.66166295,402.79,216.2811474,589.2988526,pass_all
17,18,11/11/22 23:17,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,TRUE,205.9036707,0.934170312,151.6,35.8,267.4,fail_operator
