,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,operator_detected,release_rate_kgh,operator_quantification,operator_lower,operator_upper,qc_summary
0,1.0,2022-10-31 17:04:02,False,True,True,True,0,True,6587.102972999999,False,True,215.1775712,151.0,98.0,204.0,pass_all
1,2.0,2022-10-31 17:07:12,False,True,True,True,0,True,6323.76964,False,True,215.5998135,129.0,84.0,174.0,pass_all
2,3.0,2022-10-31 17:10:55,False,True,True,True,1,True,6457.866862000001,False,True,303.1081822,209.0,137.0,281.0,pass_all
3,4.0,2022-10-31 17:14:13,False,True,True,True,0,True,6475.540472999999,False,True,111.0584064,88.0,57.0,119.0,pass_all
4,5.0,2022-10-31 17:17:18,False,True,True,True,0,True,6556.686307,False,True,109.7280312,108.0,71.0,145.0,pass_all
5,6.0,2022-10-31 17:20:09,False,True,True,True,0,True,6488.665472999999,False,True,60.08391295,53.0,34.0,72.0,pass_all
6,7.0,2022-10-31 17:23:16,False,True,True,True,1,True,6541.89464,False,True,110.7584449,85.0,56.0,114.0,pass_all
7,8.0,2022-10-31 17:26:03,False,True,True,True,0,True,6553.352972999999,False,True,665.078361,429.0,283.0,575.0,pass_all
8,9.0,2022-10-31 17:29:12,False,True,True,True,0,True,6526.061307,False,True,683.1117166,464.0,306.0,622.0,pass_all
9,10.0,2022-10-31 17:32:10,False,True,True,True,0,True,6566.998807,False,True,20.6059903,15.0,9.0,21.0,pass_all
10,11.0,2022-10-31 17:35:27,False,True,True,True,0,True,6564.186307,False,True,275.992048,188.0,124.0,252.0,pass_all
11,12.0,2022-10-31 17:38:23,False,True,True,False,1,False,6521.165472999999,False,True,317.2457178,222.0,147.0,297.0,fail_stanford
12,13.0,2022-10-31 17:41:46,False,True,True,True,1,True,6585.748807,False,True,318.0924316,209.0,139.0,279.0,pass_all
13,14.0,2022-10-31 17:44:50,False,True,True,True,1,True,6580.94767,False,True,262.1039787,221.0,147.0,295.0,pass_all
14,15.0,2022-10-31 17:48:16,False,True,True,True,1,True,6545.436307,False,True,261.2822338,178.0,118.0,238.0,pass_all
15,16.0,2022-10-31 17:51:26,False,True,True,False,0,False,6564.39464,False,True,958.8075931,684.0,457.0,911.0,fail_stanford
16,17.0,2022-10-31 17:54:40,False,True,True,False,1,False,6584.186307,False,True,430.5733976,305.0,204.0,406.0,fail_stanford
17,18.0,2022-10-31 17:57:55,False,True,True,False,0,False,6538.561307,False,True,167.2654488,146.0,98.0,194.0,fail_stanford
18,19.0,2022-10-31 18:01:13,False,True,True,False,0,False,6562.415472999999,False,True,1121.171331,780.0,524.0,1036.0,fail_stanford
19,20.0,2022-10-31 18:04:20,False,True,True,True,0,True,6532.51964,False,True,1145.494848,1008.0,679.0,1337.0,pass_all
20,21.0,2022-10-31 18:07:37,False,True,True,False,0,False,6566.061307,False,True,18.10028128,25.0,13.0,37.0,fail_stanford
21,22.0,2022-10-31 18:10:58,False,True,True,False,0,False,6568.526583999999,False,True,623.2799452,428.0,288.0,568.0,fail_stanford
22,23.0,2022-10-31 18:14:38,False,True,True,False,0,False,6569.811307,False,True,631.1005672,490.0,330.0,650.0,fail_stanford
23,24.0,2022-10-31 18:17:44,False,True,True,False,0,False,6559.498807,False,True,22.71520627,288.0,194.0,382.0,fail_stanford
