,release_rate,operator_report,operator_sigma
0,10.95706452,13.1654166,8.375131711999998
6,93.442392,172.1313526,51.909597039999994
8,39.48833265,48.06807558,31.634261170000002
9,34.01181987,50.26225492,22.67527709
10,138.4978413,215.0162166,64.14240425000003
11,59.22218323,66.43268212,22.7020426
13,123.75288,222.4485923,102.57765889999999
16,230.3159133,325.045676,118.8258265
17,73.41598916,113.5621413,25.814510590000012
18,24.10246359,66.34183697,20.46079320999999
19,45.11483303,62.87494718,18.149031139999998
20,165.4933192,319.3147624,86.43621640999999
21,177.8073677,305.7949807,52.55661673000003
23,26.63576965,57.96896397,24.99919768
25,48.1156769,79.17823303,18.175578959999996
27,106.1697252,180.5341647,30.759465080000012
28,119.857896,283.5605799,94.47490462000002
29,40.67382426,119.6759341,23.488471860000004
30,75.69549523,90.26152006,28.90771855
32,167.2105355,128.2929306,92.1643746
34,21.04796694,51.23643871,23.98517238000001
37,16.54751985,69.58391082,33.40166144
38,175.4435892,161.6276188,84.80278028000001
39,139.9591835,207.4800919,86.63692638000003
41,37.80375561,77.21550961,20.3075652
43,88.478064,68.17789247,38.49656476
47,49.45148361,144.761034,47.87324774000001
48,48.73745961,95.48752086,30.253889880000003
49,105.275232,189.158129,37.899706210000005
52,81.97937187,126.5982572,64.37085389
54,11.26324661,5.18514438,1.9940026890000002
56,23.38424779,82.11099999,32.84866749
57,22.86071675,11.09671556,6.560421943999998
58,86.68786065,183.3676289,30.183821870000003
60,62.61538994,93.1518987,47.570263710000006
61,56.21425548,191.117027,49.01347027
62,93.46186219,115.2250517,44.72853008999999
64,195.7808671,213.8823976,114.6613896
66,578.7456299,607.4198549,239.55434609999998
67,483.5234563,358.2208684,89.24462737000005
69,762.1229636,541.0078811,193.87869009999997
70,57.40792844,91.55675146,29.641648610000004
71,470.5244282,691.7165,234.63863960000003
72,420.2162348,571.1878164,300.6979186
75,373.902675,679.7771509,178.01824020000004
76,110.1305048,225.9142242,38.28630961000002
77,108.2793015,238.7409508,47.06045233999998
78,596.639947,627.7643175,153.83774299999993
79,675.3234204,315.8293874,151.6071119
82,367.3340375,564.7179703,152.04262000000006
83,34.2858032,97.9955917,21.875768989999997
84,33.52460788,74.31519839,28.03356156999999
85,331.1296627,237.9956332,97.97932342999997
86,356.9819684,250.6417058,61.83675138000001
87,822.88973,472.62486,176.92102149999994
90,427.2382634,340.3497274,140.2033965
92,818.5402335,775.1204163,157.08321650000005
94,205.4451549,228.9771817,98.32153446999999
95,135.2882897,304.1290891,103.1209834
99,422.2586919,758.6728398,239.58839869999997
100,109.8108522,223.4450654,53.365868930000005
101,680.0753178,846.2361893,272.6219146000001
102,318.2430254,587.5672112,171.93500730000005
106,466.1652536,353.165368,110.36203540000002
111,320.6515229,398.3751601,70.23088275999999
112,862.025166,658.1881302,220.37766399999998
113,389.0926667,616.7374407,178.43591190000006
116,322.9986012,551.0901628,115.53008579999994
118,477.0367654,659.971602,135.6333214
119,43.02501393,142.0361907,38.47857823000001
120,533.5529097,463.5002236,128.48379780000005
