,release_rate,release_sigma,operator_report,operator_sigma
0,10.92213624004875,0.071399846870293,13.1654166,16.415258155519997
6,93.0819379419,0.2246665886775423,172.1313526,101.7428101984
8,39.336592102875,0.1063214108329694,48.06807558,62.003151893200005
9,30.76062848971875,4.853967306765028,50.26225492,44.4435430964
10,144.1779333748875,9.57747777678959,215.0162166,125.71911233000004
11,59.014270462725,0.1479944570524006,66.43268212,44.49600349599999
13,123.28594834421251,0.3311056737648346,222.4485923,201.05221144399997
16,229.217210473725,0.7694326152615362,325.045676,232.89861994
17,72.36422788545,2.438536656151333,113.5621413,50.59644075640002
18,22.923732344625,2.247746112382093,66.34183697,40.10315469159998
19,43.83481908105001,2.6544225637326058,62.87494718,35.5721010344
20,163.88224175981256,3.679699128208294,319.3147624,169.41498416359997
21,177.0606771012,0.5570281335301147,305.7949807,103.01096879080006
23,26.54053920171,0.0896977280910938,57.96896397,48.9984274528
25,47.94556233993751,0.1260965984050598,79.17823303,35.62413476159999
27,105.77648213145,0.260210426343759,180.5341647,60.28855155680002
28,119.42515652321252,0.3096325948720498,283.5605799,185.17081305520003
29,40.5258980117625,0.1052928603066783,119.6759341,46.03740484560001
30,75.41825354595001,0.186171102881024,90.26152006,56.659128358
32,169.161222869775,6.379691464094226,128.2929306,180.642174216
34,20.97106609248,0.0819536745762534,51.23643871,47.01093786480001
37,16.499559029759997,0.0780591652192936,69.58391082,65.4672564224
38,174.74661781256253,0.5155533404274194,161.6276188,166.2134493488
39,139.36750587067502,0.3730443203061568,207.4800919,169.80837570480006
41,35.006212936755,4.837072714019408,77.21550961,39.802827791999995
43,88.1224047698625,0.2188667689004479,68.17789247,75.45326692959999
47,46.29602330359874,9.001010722692973,144.761034,93.83156557040002
48,48.5380523071125,0.1223390946595777,95.48752086,59.297624164800006
49,103.11072826425,6.174506838957487,189.158129,74.2834241716
52,83.67887982015002,0.2287214767132031,126.5982572,126.16687362440001
54,11.499009161658,0.0776708702305183,5.18514438,3.90824527044
56,22.365394373448,3.407231942886671,82.11099999,64.3833882804
57,23.318618185473,0.0868669942853926,11.09671556,12.858427010239996
58,88.45821188360999,0.2404683995313398,183.3676289,59.160290865200004
60,59.82312628502999,6.756587516970654,93.1518987,93.23771687160001
61,50.36949003963,9.404355460463345,191.117027,96.0664017292
62,95.39833484214,0.2694825587476425,115.2250517,87.66791897639999
64,193.8711017268,9.09003604422648,213.8823976,224.73632361600002
66,591.222103332075,5.127130768433358,607.4198549,469.52651835599994
67,493.721951757075,2.7541361861487275,358.2208684,174.91946964520008
69,778.4434908800998,7.054246274316967,541.0078811,380.00223259599994
70,58.680095610802496,0.1344629329985144,91.55675146,58.09763127560001
71,479.372894362125,4.123956840902991,691.7165,459.89173361600007
72,428.93509665262513,2.076973491177834,571.1878164,589.367920456
75,381.886427018925,1.784882184745432,679.7771509,348.91575079200004
76,112.6257891246,0.2662689242613732,225.9142242,75.04116683560004
77,110.68148785635,0.2423067918605184,238.7409508,92.23848658639997
78,608.5298056774499,5.226455176724997,627.7643175,301.5219762799999
79,671.5876888916998,5.910541770456242,315.8293874,297.149939324
82,364.76650099575,1.997421747607763,564.7179703,298.0035352000001
83,34.082522092741506,0.1814396142605059,97.9955917,42.87650722039999
84,33.331533583619255,0.1790010536091327,74.31519839,54.94578067719998
85,328.40791052485497,1.8814200937183287,237.9956332,192.03947392279994
86,354.4145477019001,1.9696203817077007,250.6417058,121.20003270480002
87,818.053127745525,11.40776463916836,472.62486,346.7652021399999
90,425.077010629425,2.94606279358534,340.3497274,274.79865714
92,811.824109546275,16.940596969991166,775.1204163,307.8831043400001
94,204.0438175941375,1.0703366329331157,228.9771817,192.71020756119998
95,134.4551024135025,0.6935586993855339,304.1290891,202.117127464
99,418.9420854966376,2.260329723977472,758.6728398,469.5932614519999
100,109.27689305624996,0.4616928602909824,223.4450654,104.5971031028
101,676.10047887,3.357099901275319,846.2361893,534.3389526160001
102,316.26883719075,1.2981316916195091,587.5672112,336.9926143080001
106,463.3285298625,2.0563499023473284,353.165368,216.30958938400005
111,318.45010938675,1.3711404026614902,398.3751601,137.65253020959997
112,855.7130366849999,5.897208675309799,658.1881302,431.94022143999996
113,386.57346852,1.7190207094547507,616.7374407,349.7343873240001
116,321.09631045274995,1.3139368054807723,551.0901628,226.43896816799986
118,473.8146226275001,2.220908468401631,659.971602,265.841309944
119,42.81233371275,0.1798803164151862,142.0361907,75.41801333080002
120,529.39566663375,3.046282153299729,463.5002236,251.8282436880001
