,release_rate,operator_report,operator_sigma
8,39.40927197,62.8542872722769,36.652785527255695
13,123.5051109,128.442203377513,46.49500832078141
17,73.26900098,118.857582257902,17.39680944636929
18,24.05420738,35.6772353376174,4.755178315059567
20,165.1619805,224.988179784443,65.17800816905583
21,177.4513747,290.355307037442,39.44932476343689
25,48.01934317,74.4294557289771,15.65994327858202
27,105.9571598,189.079806716744,58.37387748246471
28,119.6179252,169.92209398945,75.73298392311361
30,75.54394318,98.6823867279235,25.683303997166306
32,166.8757587,175.090687217357,100.665457691777
34,21.00582622,41.5236604302098,7.0348413821155305
43,88.30091962,95.7119808178359,57.17988253888629
47,49.35247543,80.6105385363987,16.11381071250669
48,48.639881,63.0694785698506,18.389414430926493
49,107.4759421,234.558467895901,41.067534006236315
52,83.69309717,64.6551968240023,34.1918969496988
60,63.92432382,56.6639575216908,20.519480509804502
61,57.38937783,85.9753937635251,21.397872785550092
69,786.4877873,543.774241183291,78.57459729125526
71,485.5669414,624.868869029915,211.419187163198
75,385.8562221,509.82943529401,141.106798890819
78,615.7143324,560.293452539543,158.06912631765397
83,33.9819864,75.2222475974065,15.673674593372112
84,33.22753627,109.028384300651,27.8768631589233
85,328.1954234,312.685450334258,124.39069013458197
86,353.8186441,314.545000275029,74.79800211648609
87,815.5978571,688.337312677787,166.46240654670203
99,418.5169309,473.175599106315,103.49214467076598
101,672.3853843,1089.27842536108,178.8167854027331
103,943.8209805,932.974748169204,170.93768742560394
104,1121.286656,1194.14020223263,229.54642824557095
111,317.0257644,318.017075344094,60.50869476372168
120,527.5197744,424.90284052211,102.62714508717005
