,release_rate,operator_report,operator_sigma
3,17.81225535,17.57448,0.0
4,17.83283458,30.7568,0.0
5,107.8631535,119.00672,0.0
6,107.7383613,253.1824,0.0
7,107.4374594,128.58496,0.0
11,12.29183884,11.50552,0.0
12,12.30932439,18.436,0.0
17,28.25064697,31.02192,0.0
18,28.27962929,55.4736,0.0
19,28.27273123,22.92096,0.0
20,186.779311,149.85984,0.0
21,187.2966658,213.39264,0.0
22,188.4627523,140.61312,0.0
24,59.06227355,72.9816,0.0
32,432.1277809,367.09632,0.0
34,161.27769,146.66496,0.0
35,160.3907496,141.58144,0.0
36,159.7608308,128.63,0.0
37,42.24333159,19.36368,0.0
38,41.83976452,45.30288,0.0
40,8.725007707,4.79424,0.0
42,8.623646173,15.092,0.0
46,17.89883124,18.24768,0.0
47,17.83948949,45.156,0.0
48,17.796109,10.0672,0.0
49,17.74250164,4.55672,0.0
50,26.32781057,17.35552,0.0
51,26.40110491,15.91312,0.0
52,31.39735593,18.79176,0.0
54,5.264590183,13.01184,0.0
57,13.91607676,30.8416,0.0
58,13.89269644,34.58224,0.0
59,13.90705941,57.72888,0.0
74,95.68848412,89.6796,0.0
75,95.2703381,140.8008,0.0
99,457.2370608,380.22,0.0
103,24.1973609,14.18768,0.0
104,23.93817948,11.7576,0.0
105,23.83237946,19.17864,0.0
109,616.9532908,521.928,0.0
110,621.6563536,565.812,0.0
111,622.0267671,634.19752,0.0
119,8.341376009,2.94488,0.0
120,8.296980392,2.75776,0.0
121,139.4489989,122.45568,0.0
122,139.155692,96.93024,0.0
146,58.42931922,85.55976,0.0
147,58.32478271,144.89904,0.0
148,58.06160558,67.74768,0.0
150,86.43646339,48.1944,0.0
151,86.31194832,51.82344,0.0
152,72.17381788,53.42976,0.0
153,72.34098989,38.5392,0.0
154,72.30265264,45.24,0.0
159,1020.378889,1183.85696,0.0
161,1005.268613,1230.8128,0.0
162,994.4823458,1676.896,0.0
163,1001.347414,1073.97248,0.0
176,4.147388675,11.1456,0.0
177,4.129137983,7.2072,0.0
178,4.11718324,6.624,0.0
193,45.6843969,49.1748,0.0
194,45.71128697,45.72624,0.0
197,11.91724806,12.89376,0.0
198,11.86199922,11.71968,0.0
199,11.8398716,10.34456,0.0
211,6.842324676,16.37624,0.0
217,31.24406092,70.8984,0.0
218,31.39134076,60.41952,0.0
220,7.768153103,13.87952,0.0
221,7.712623484,7.22912,0.0
222,7.700668741,15.2684,0.0
224,4.337066277,10.608,0.0
227,23.03911153,24.52352,0.0
228,23.05483521,17.81248,0.0
229,23.09059144,25.8136,0.0
234,510.6478718,294.12,0.0
235,523.5183891,433.08832,0.0
236,526.01625,354.53088,0.0
237,526.1544801,405.47968,0.0
238,528.3380836,290.20456,0.0
239,524.8488537,369.51304,0.0
240,523.743013,282.13616,0.0
245,11.38752443,7.22688,0.0
246,11.29654095,8.07296,0.0
247,11.38545098,6.5416,0.0
249,13.96793464,4.8608,0.0
250,13.9434744,29.37312,0.0
251,21.76907938,12.80272,0.0
252,15.64309975,9.03096,0.0
256,10.27511778,6.99696,0.0
257,10.26289306,8.0784,0.0
258,10.24193176,8.184,0.0
271,24.83424524,39.32712,0.0
275,5.927511458,17.6088,0.0
281,18.52445199,35.05528,0.0
291,9.453501881,10.6272,0.0
292,9.456547263,26.87592,0.0
293,17.29282188,12.7616,0.0
294,17.28060796,22.76544,0.0
299,572.9421259,814.842,0.0
300,583.2532267,804.97032,0.0
302,477.138954,800.01592,0.0
303,482.2577871,651.0832,0.0
309,9.497098356,15.834,0.0
316,17.25004615,13.21736,0.0
317,300.9164314,358.9728,0.0
320,12.99522678,4.68336,0.0
324,7.4222647,8.5344,0.0
325,7.408711671,6.88896,0.0
327,57.33535764,83.408,0.0
331,477.1292347,1159.4988,0.0
333,50.4618664,65.88672,0.0
336,48.17642625,70.11072,0.0
343,9.13869365,7.6356,0.0
345,374.000948,556.924,0.0
346,373.1143315,468.15424,0.0
348,111.1656106,149.15712,0.0
