,release_rate,operator_report,operator_sigma
2,18.748945322472,25.85856,0.0
3,18.719446589196004,22.51968,0.0
4,18.739307291088,23.43744,0.0
5,113.41300844316,114.18112,0.0
6,113.2451659296,256.99296,0.0
7,112.91981141904,80.41984,0.0
11,12.910035192816,10.07584,0.0
12,12.934993039691998,20.58128,0.0
15,3.4012686543540003,9.14056,0.0
17,29.681730997920003,29.16432,0.0
18,29.726952550356,39.07536,0.0
19,29.718182963496,23.64288,0.0
20,196.34020842912,155.66928,0.0
21,196.83425686944005,222.17664,0.0
22,198.03634302168,202.07392,0.0
24,62.12136935088,72.756,0.0
32,439.9761326796,398.77248,0.0
34,164.1414073386,157.58912,0.0
35,163.32052859964,150.8832,0.0
36,162.58025059428005,125.81368,0.0
37,43.004861978760005,23.97408,0.0
38,42.5773375242,47.36704,0.0
40,8.878920052296003,6.31968,0.0
41,8.816193382788002,5.79184,0.0
42,8.7800876598,18.00064,0.0
46,18.21778081194001,19.09248,0.0
47,18.163625065512,37.4312,0.0
48,18.104831938848005,10.582,0.0
49,18.054552974184,6.18032,0.0
50,26.753177131968005,14.21056,0.0
51,26.862635198640003,17.26368,0.0
52,31.921625384664,18.49536,0.0
54,5.35713911094,7.46976,0.0
57,14.167440693624002,30.7784,0.0
58,14.131499577768,34.67848,0.0
59,14.153046083736,59.81272,0.0
74,97.38299831819998,94.7256,0.0
75,97.01410805928,144.0024,0.0
99,467.3991427752,458.4,0.0
103,24.739985344512004,12.03368,0.0
104,24.49122272388,12.354,0.0
105,24.365087475384,22.37976,0.0
109,630.8964116304,559.3632,0.0
110,634.3118853935999,591.266,0.0
111,636.0504231407999,645.88568,0.0
119,8.528206409832,2.6976,0.0
120,8.488963825512,4.66488,0.0
121,142.55296544040002,125.83392,0.0
122,142.29691898544,103.3528,0.0
124,142.13504332512002,132.39976,0.0
146,59.73354462408,83.32896,0.0
147,59.63441146776001,147.61032,0.0
148,59.32543315488,66.78672,0.0
150,88.36545889944,48.4008,0.0
151,88.211682726,54.20256,0.0
152,73.802296296,53.7408,0.0
153,73.98116947103999,43.29584,0.0
154,73.92327525144,45.5184,0.0
159,1041.956208132,1213.19,0.0
161,1022.9258362824,1252.6352,0.0
162,1019.7385170792,1680.9792,0.0
163,1021.9476236064,1118.69632,0.0
176,4.234657007016001,10.2384,0.0
177,4.214550886416001,5.32896,0.0
178,4.212183782856,8.11072,0.0
193,46.70472143663999,51.7032,0.0
194,46.73118736559999,45.41376,0.0
197,12.190845711744,10.17648,0.0
198,12.131074920888,14.35392,0.0
199,12.103411180488,15.21896,0.0
211,6.991682413920001,15.3712,0.0
217,31.917077561616,71.26992,0.0
218,32.087919696144,61.97352,0.0
220,7.939464975479999,10.33184,0.0
221,7.888489542912,5.2972,0.0
222,7.871400766368001,8.78712,0.0
227,23.548562232192,25.3368,0.0
228,23.571195164544,11.10144,0.0
229,23.595117170159995,20.71384,0.0
234,519.0459201360001,254.70792,0.0
235,534.4195447752,450.0048,0.0
236,538.1247748296001,351.05312,0.0
237,538.1327602392,416.46976,0.0
238,538.3717521408,281.54584,0.0
239,536.3023902816001,374.11192,0.0
240,536.2550482104001,285.66816,0.0
246,11.559382336032,4.87424,0.0
247,11.645248304688002,6.84944,0.0
249,14.283467928336,7.2912,0.0
250,14.257595201232,19.89792,0.0
251,22.254657795384,11.76896,0.0
252,15.992642183664,9.1908,0.0
253,15.963101872008002,17.688,0.0
256,10.507156320768,7.7292,0.0
257,10.492052488896,7.2624,0.0
258,10.473868570464,7.20192,0.0
259,10.460835241224002,7.22304,0.0
271,25.379137528896003,47.9808,0.0
275,6.122644606062,8.1432,0.0
281,18.92499038594775,36.8044,0.0
291,9.664876428651,21.5124,0.0
292,9.667596169721252,27.3516,0.0
293,17.668093695117747,25.5488,0.0
294,17.66155947443325,22.36464,0.0
299,583.676389847025,844.9672,0.0
300,595.6512330246751,840.7696,0.0
302,487.17575736974993,629.63712,0.0
303,492.9425207208,667.74256,0.0
309,9.7947968060655,15.132,0.0
316,17.600887011690002,14.45696,0.0
317,307.1760521012775,384.8856,0.0
320,13.285992145803752,9.63968,0.0
324,7.59348855932175,5.1072,0.0
325,7.567531282126125,8.47872,0.0
327,58.61948586745499,89.24656,0.0
331,486.9625114242,1197.9736,0.0
333,51.592803891052505,66.15312,0.0
336,49.24048444463249,66.55936,0.0
343,9.411912000301502,13.63096,0.0
345,382.07857644045,555.9584,0.0
346,381.4753298886,482.90688,0.0
348,113.67770742659248,156.20256,0.0
