datetime,windspeed,winddirection,day,month,u_east,u_north
2022-11-23 16:21:34,1.489039,92.28748,23,11,-0.059432687,1.487852445
2022-11-23 16:21:35,1.353784,96.61801,23,11,-0.156022788,1.344763179
2022-11-23 16:21:36,1.424649,103.1957,23,11,-0.325215744,1.387032621
2022-11-23 16:21:37,1.320383,106.5656,23,11,-0.376458286,1.265579087
2022-11-23 16:21:38,1.41826,94.4357,23,11,-0.109688596,1.414011966
2022-11-23 16:21:39,1.345529,98.06342,23,11,-0.188736184,1.332226311
2022-11-23 16:21:40,1.246462,88.94226,23,11,0.023009685,1.246249603
2022-11-23 16:21:41,1.308108,97.90213,23,11,-0.179840478,1.295686668
2022-11-23 16:21:42,1.482759,83.92017,23,11,0.157044974,1.474418912
2022-11-23 16:21:43,1.470035,89.35104,23,11,0.016649979,1.469940706
2022-11-23 16:21:44,1.488574,92.65549,23,11,-0.068966308,1.486975522
2022-11-23 16:21:45,1.564299,93.30344,23,11,-0.090141113,1.561699696
2022-11-23 16:21:46,1.446155,88.62073,23,11,0.034809642,1.445735997
2022-11-23 16:21:47,1.45939,88.96753,23,11,0.026296786,1.45915306
2022-11-23 16:21:48,1.426996,94.31119,23,11,-0.107272252,1.422958273
2022-11-23 16:21:49,1.247436,97.17001,23,11,-0.155697377,1.23768126
2022-11-23 16:21:50,1.377416,104.5281,23,11,-0.345531401,1.333372749
2022-11-23 16:21:51,1.369742,99.95514,23,11,-0.236796976,1.349118356
2022-11-23 16:21:52,1.271351,104.6389,23,11,-0.321303847,1.230080161
2022-11-23 16:21:53,1.47488,98.85529,23,11,-0.227042139,1.45729986
2022-11-23 16:21:54,1.296567,97.88394,23,11,-0.177846077,1.284311784
2022-11-23 16:21:55,1.17148,102.2559,23,11,-0.248679784,1.144781095
2022-11-23 16:21:56,1.106957,105.4281,23,11,-0.294482569,1.067067859
2022-11-23 16:21:57,1.649006,105.8878,23,11,-0.451422696,1.586013347
2022-11-23 16:21:58,1.660849,105.3605,23,11,-0.43994462,1.601520569
2022-11-23 16:21:59,1.54731,104.5208,23,11,-0.387959284,1.497883784
2022-11-23 16:22:00,1.517351,95.00815,23,11,-0.132460865,1.511558195
2022-11-23 16:22:01,1.568491,107.6245,23,11,-0.47490371,1.494868049
2022-11-23 16:22:02,1.669043,91.19199,23,11,-0.034720516,1.668681822
2022-11-23 16:22:03,1.262573,97.29129,23,11,-0.160237964,1.252363516
2022-11-23 16:22:04,1.397387,89.72433,23,11,0.006723291,1.397370826
2022-11-23 16:22:05,1.687277,99.98145,23,11,-0.29245459,1.661738243
2022-11-23 16:22:06,1.678037,95.49432,23,11,-0.160667132,1.670327586
2022-11-23 16:22:07,1.619244,97.21579,23,11,-0.203387803,1.606419787
2022-11-23 16:22:08,1.654055,96.39139,23,11,-0.184128732,1.643774484
2022-11-23 16:22:09,1.553308,95.52478,23,11,-0.149546662,1.546092345
2022-11-23 16:22:10,1.622592,97.36847,23,11,-0.208097194,1.609192455
2022-11-23 16:22:11,1.38879,89.9328,23,11,0.001628858,1.388789045
2022-11-23 16:22:12,1.249933,83.95663,23,11,0.131594491,1.242986482
2022-11-23 16:22:13,1.461036,98.60992,23,11,-0.218726631,1.44457082
2022-11-23 16:22:14,1.384374,93.72714,23,11,-0.089991226,1.381445964
2022-11-23 16:22:15,1.481154,98.66379,23,11,-0.22311523,1.464252972
2022-11-23 16:22:16,1.424851,95.82712,23,11,-0.144661127,1.417488459
2022-11-23 16:22:17,1.448931,92.74149,23,11,-0.069302039,1.447272701
2022-11-23 16:22:18,1.620158,96.07367,23,11,-0.171424247,1.611063522
2022-11-23 16:22:19,1.567861,94.565,23,11,-0.124786076,1.562887248
2022-11-23 16:22:20,1.618601,89.56168,23,11,0.012382383,1.618553636
2022-11-23 16:22:21,1.490358,90.55627,23,11,-0.014469276,1.49028776
2022-11-23 16:22:22,1.350546,97.13901,23,11,-0.167841913,1.340075964
2022-11-23 16:22:23,1.451532,98.12595,23,11,-0.205173485,1.436958242
2022-11-23 16:22:24,1.419199,105.7586,23,11,-0.385433032,1.365857672
2022-11-23 16:22:25,1.614381,111.6719,23,11,-0.596176424,1.500266538
2022-11-23 16:22:26,1.557279,118.4938,23,11,-0.74292122,1.368643834
2022-11-23 16:22:27,1.595516,120.026,23,11,-0.798384939,1.381395235
2022-11-23 16:22:28,1.482298,117.7541,23,11,-0.690273342,1.311766013
2022-11-23 16:22:29,1.572608,112.4718,23,11,-0.601095862,1.453196369
2022-11-23 16:22:30,1.478542,101.5835,23,11,-0.296885046,1.448428706
2022-11-23 16:22:31,1.206958,99.76495,23,11,-0.20470811,1.189471397
2022-11-23 16:22:32,0.8678787,107.5974,23,11,-0.262382848,0.827265785
2022-11-23 16:22:33,1.346594,108.3038,23,11,-0.422905149,1.278462606
2022-11-23 16:22:34,1.428382,117.2824,23,11,-0.654736841,1.269486041
2022-11-23 16:22:35,1.589047,132.0826,23,11,-1.064981301,1.17935796
2022-11-23 16:22:36,1.758713,132.3867,23,11,-1.18560287,1.299006255
2022-11-23 16:22:37,1.546492,119.5753,23,11,-0.763297393,1.344996132
2022-11-23 16:22:38,1.233804,116.9856,23,11,-0.559858986,1.099468156
2022-11-23 16:22:39,1.925631,128.9068,23,11,-1.209402981,1.498465608
2022-11-23 16:22:40,2.000845,125.967,23,11,-1.175134674,1.619394706
2022-11-23 16:22:41,1.972541,130.3376,23,11,-1.276806333,1.503556977
2022-11-23 16:22:42,1.844426,131.0198,23,11,-1.210533301,1.391587725
2022-11-23 16:22:43,1.731732,129.5797,23,11,-1.103374698,1.33471345
2022-11-23 16:22:44,1.721284,130.5617,23,11,-1.119293371,1.307670049
2022-11-23 16:22:45,1.511236,122.3937,23,11,-0.809620436,1.276067787
2022-11-23 16:22:46,1.643181,123.4322,23,11,-0.9053103,1.371297583
2022-11-23 16:22:47,1.558944,115.3953,23,11,-0.668570331,1.408303983
2022-11-23 16:22:48,1.5549,119.5115,23,11,-0.765941006,1.353162365
2022-11-23 16:22:49,1.315533,119.5971,23,11,-0.649738929,1.143882161
2022-11-23 16:22:50,1.139499,116.2738,23,11,-0.504411998,1.021776153
2022-11-23 16:22:51,1.44117,112.1489,23,11,-0.543342544,1.334822029
2022-11-23 16:22:52,1.422185,114.3911,23,11,-0.587309734,1.295251887
2022-11-23 16:22:53,1.391231,124.8724,23,11,-0.795437341,1.141404018
2022-11-23 16:22:54,1.371812,122.3292,23,11,-0.733621814,1.159166596
2022-11-23 16:22:55,1.221877,125.475,23,11,-0.709113477,0.995058531
2022-11-23 16:22:56,1.285762,126.0462,23,11,-0.756590456,1.039593576
2022-11-23 16:22:57,1.533835,123.8041,23,11,-0.853356891,1.274532002
2022-11-23 16:22:58,1.63921,118.759,23,11,-0.788667335,1.437015399
2022-11-23 16:22:59,1.448509,122.8441,23,11,-0.785606136,1.216963977
2022-11-23 16:23:00,1.5543,125.4421,23,11,-0.901307419,1.266291209
2022-11-23 16:23:01,1.565674,120.0852,23,11,-0.784852405,1.354747865
2022-11-23 16:23:02,1.738175,118.8584,23,11,-0.838924287,1.522320062
2022-11-23 16:23:03,2.01364,129.1493,23,11,-1.271298165,1.56158478
2022-11-23 16:23:04,1.935668,129.0385,23,11,-1.219165882,1.503477688
2022-11-23 16:23:05,1.897164,126.9356,23,11,-1.140038068,1.51642489
2022-11-23 16:23:06,1.895978,130.2593,23,11,-1.225271717,1.44687311
2022-11-23 16:23:07,1.857026,131.915,23,11,-1.240544237,1.381881167
2022-11-23 16:23:08,1.84289,128.2247,23,11,-1.140282876,1.447756373
2022-11-23 16:23:09,1.785781,135.8581,23,11,-1.281507143,1.243685339
2022-11-23 16:23:10,1.744251,128.0853,23,11,-1.075913245,1.372888284
2022-11-23 16:23:11,1.892561,136.0801,23,11,-1.36323106,1.312778815
2022-11-23 16:23:12,2.144616,139.9564,23,11,-1.641821681,1.379782358
2022-11-23 16:23:13,1.889815,139.3092,23,11,-1.4329315,1.232115275
2022-11-23 16:23:14,1.931597,143.2549,23,11,-1.547798294,1.155589638
2022-11-23 16:23:15,2.034101,140.4609,23,11,-1.568679019,1.294918149
2022-11-23 16:23:16,2.016407,140.7857,23,11,-1.562285368,1.274818268
2022-11-23 16:23:17,1.852023,139.8217,23,11,-1.415020453,1.194866649
2022-11-23 16:23:18,2.022482,138.864,23,11,-1.523232728,1.33048694
2022-11-23 16:23:19,1.799503,138.1885,23,11,-1.34124553,1.199696409
2022-11-23 16:23:20,1.843275,138.2905,23,11,-1.376056164,1.226430658
2022-11-23 16:23:21,1.860978,136.6177,23,11,-1.35253442,1.278236973
2022-11-23 16:23:22,1.739038,143.7241,23,11,-1.401972831,1.028943802
2022-11-23 16:23:23,1.851839,142.1566,23,11,-1.462379713,1.136113224
2022-11-23 16:23:24,1.869186,141.7285,23,11,-1.467469074,1.157752486
2022-11-23 16:23:25,1.853869,144.5073,23,11,-1.509400671,1.076354905
2022-11-23 16:23:26,1.7837,143.0243,23,11,-1.424981301,1.072853197
2022-11-23 16:23:27,1.766355,149.2487,23,11,-1.51799632,0.903159542
2022-11-23 16:23:28,1.697716,147.3664,23,11,-1.429708271,0.915518364
2022-11-23 16:23:29,1.607023,144.7306,23,11,-1.312047646,0.927929899
2022-11-23 16:23:30,1.648443,135.1327,23,11,-1.168321744,1.162922451
2022-11-23 16:23:31,1.429675,134.5092,23,11,-1.002236176,1.01955542
2022-11-23 16:23:32,1.555469,139.5252,23,11,-1.1832321,1.009675991
2022-11-23 16:23:33,1.49684,143.1044,23,11,-1.197068998,0.898641084
2022-11-23 16:23:34,1.337755,144.3378,23,11,-1.086883574,0.779918288
2022-11-23 16:23:35,1.242345,131.8248,23,11,-0.828464075,0.925779874
2022-11-23 16:23:36,1.33471,129.6762,23,11,-0.852143147,1.027279339
2022-11-23 16:23:37,1.437417,127.0158,23,11,-0.865375679,1.147733665
2022-11-23 16:23:38,1.491762,125.4613,23,11,-0.865450103,1.215051433
2022-11-23 16:23:39,1.539463,135.6526,23,11,-1.100892621,1.076095612
2022-11-23 16:23:40,1.588511,135.7482,23,11,-1.137818693,1.108483567
2022-11-23 16:23:41,1.439617,138.5884,23,11,-1.079679878,0.952254413
2022-11-23 16:23:42,1.262037,127.4582,23,11,-0.76754879,1.001801499
2022-11-23 16:23:43,1.177871,126.8141,23,11,-0.705804607,0.942984597
2022-11-23 16:23:44,1.241193,127.7809,23,11,-0.760408967,0.980988413
2022-11-23 16:23:45,1.415386,137.6338,23,11,-1.045762189,0.953781408
2022-11-23 16:23:46,1.272864,143.0018,23,11,-1.016578455,0.765996741
2022-11-23 16:23:47,1.670861,131.8018,23,11,-1.11372224,1.245551786
2022-11-23 16:23:48,1.471812,130.8518,23,11,-0.962719178,1.113284486
2022-11-23 16:23:49,1.26796,111.6878,23,11,-0.468573234,1.178202735
2022-11-23 16:23:50,1.059457,126.465,23,11,-0.629668803,0.85203658
2022-11-23 16:23:51,1.227768,144.6886,23,11,-1.001886434,0.709674457
2022-11-23 16:23:52,0.9941618,119.2715,23,11,-0.486094028,0.867219857
2022-11-23 16:23:53,1.152641,123.5063,23,11,-0.636290881,0.96110103
2022-11-23 16:23:54,1.633943,122.9548,23,11,-0.888827816,1.371041517
2022-11-23 16:23:55,1.504789,125.7407,23,11,-0.878974231,1.221390288
2022-11-23 16:23:56,1.106124,127.6634,23,11,-0.675865534,0.875623254
2022-11-23 16:23:57,1.079386,126.0118,23,11,-0.634627002,0.873110935
2022-11-23 16:23:58,0.9926859,124.3705,23,11,-0.560412983,0.819367185
2022-11-23 16:23:59,1.192948,116.9352,23,11,-0.540384573,1.063536292
2022-11-23 16:24:00,1.24828,85.85495,23,11,0.090227776,1.245014822
2022-11-23 16:24:01,1.259483,102.6414,23,11,-0.275635775,1.228951727
