,Team,Satellite,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Timestamp (hyperspectral technologies only),StartTime,EndTime,SurveyTime,Gas,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindSpeedUpper,WindSpeedLower,WindSpeedUncertaintyType,WindDirection,NumberOfEmissionSourcesReported,Notes,Data source,QC,DateTime (UTC),end_release,start_release,gas_kgh_mean,gas_kgh_sigma,meter_sigma,ch4_fraction_km,ch4_fraction_km_sigma,ch4_kgh_mean,ch4_kgh_sigma
0,GHGSat,Sentinel-2,94e765d9-f8fd-49b0-9851-57cbd7dcb4b6 - 10/26/2022,1,1.0,2022-10-18 17:49:00,17:49:00,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Release cancelled by Stanford due to system malfunction,,SE,10/18/2022 17:49:00,2022-10-18 17:49:00,2022-10-18 17:44:00,0.0,0.0,0.0,0.9390905000000002,0.0,0.0,0.0
1,GHGSat,Sentinel-2,94e765d9-f8fd-49b0-9851-57cbd7dcb4b6 - 10/26/2022,1,1.0,2022-10-26 18:14:48,2022-10-26 18:14:48,,,,Methane,0,,,,,,,,,,,DataReportingTemplate_AerialAppendix_GHGSat_S2_Stage1.xlsx,OK,10/26/2022 18:14:48,2022-10-26 18:14:48,2022-10-26 18:09:48,1100.4492,30.301148328847592,1.4036341836734694,0.9506440000000002,0.0013657668785948,1046.1354292848,28.87563432859157
2,GHGSat,Sentinel-2,94e765d9-f8fd-49b0-9851-57cbd7dcb4b6 - 10/26/2022,1,1.0,2022-11-05 18:14:40,18:14:40,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Release cancelled by Stanford due to personnel shortage,,SE,11/05/2022 18:14:40,2022-11-05 18:14:40,2022-11-05 18:09:40,0.0,0.0,,,,,
3,GHGSat,Sentinel-2,94e765d9-f8fd-49b0-9851-57cbd7dcb4b6 – 11/08/2022,1,1.0,2022-11-08 18:24:30,2022-11-08 18:24:30,,,,Methane,3215,3599,2831,,3.7,,,,,,,DataReportingTemplate_AerialAppendix_GHGSat_S2_Stage1.xlsx,OK,11/08/2022 18:24:30,2022-11-08 18:24:30,2022-11-08 18:19:30,1247.43036,18.97181524320946,1.5911101530612246,0.9533701250000002,0.0013196138560831,1189.262838241995,18.225152768335295
4,GHGSat,Sentinel-2,94e765d9-f8fd-49b0-9851-57cbd7dcb4b6 – 11/15/2022,1,1.0,2022-11-15 18:14:28,2022-11-15 18:14:28,,,,Methane,903,1628,178,,1.68,,,,,,,DataReportingTemplate_AerialAppendix_GHGSat_S2_Stage1.xlsx,OK,11/15/2022 18:14:28,2022-11-15 18:14:28,2022-11-15 18:09:28,1575.08796,22.99815942028411,2.0090407653061226,0.9509388750000002,0.0012656744167307,1497.8123727084449,22.043462074077325
5,GHGSat,Sentinel-2,94e765d9-f8fd-49b0-9851-57cbd7dcb4b6 – 11/18/2022,1,1.0,2022-11-18 18:24:19,2022-11-18 18:24:19,,,,Methane,671,1172,170,,1.51,,,,,,,DataReportingTemplate_AerialAppendix_GHGSat_S2_Stage1.xlsx,OK,11/18/2022 18:24:19,2022-11-18 18:24:19,2022-11-18 18:19:19,1511.86584,24.986516121313695,1.9284003061224493,0.9463706249999999,0.005284178198089699,1430.78541991695,25.02621361566727
6,GHGSat,Sentinel-2,94e765d9-f8fd-49b0-9851-57cbd7dcb4b6 – 11/25/2022,1,1.0,2022-11-25 18:14:12,2022-11-25 18:14:12,,,,Methane,0,,,,,,,,,,,DataReportingTemplate_AerialAppendix_GHGSat_S2_Stage1.xlsx,OK,11/25/2022 18:14:12,2022-11-25 18:14:12,2022-11-25 18:09:12,0.0,0.0,,,,,
7,GHGSat,Sentinel-2,94e765d9-f8fd-49b0-9851-57cbd7dcb4b6 – 11/28/2022,1,1.0,2022-11-28 18:24:05,2022-11-28 18:24:05,,,,Methane,0,,,,,,,,,,,DataReportingTemplate_AerialAppendix_GHGSat_S2_Stage1.xlsx,OK,11/28/2022 18:24:05,2022-11-28 18:24:05,2022-11-28 18:19:05,5.257173600000001,0.027426928770448642,0.0067055785714285245,0.9422685000000002,0.0009951174972501003,4.9536690823116,0.027114196000564944
8,GHGSat,GHGSat CX,,1,1.0,2022-10-11 20:51:00,20:51:00,NT,NT,NT,Methane,NT,NT,NT,NT,NT,NT,NT,NT,NT,,Instrument not tasked; Stanford conducted release,,NT,10/11/2022 20:51:00,2022-10-11 20:51:00,2022-10-11 20:46:00,33.702229200000005,2.9536450370212783,0.042977618808562136,0.936358125,0.0016174275550494,31.557356142032248,2.7664993830424622
9,GHGSat,GHGSat CX,,1,1.0,2022-10-13 20:53:00,20:53:00,NT,NT,NT,Methane,NT,NT,NT,NT,NT,NT,NT,NT,NT,,Instrument not tasked; Stanford conducted release,,NT,10/13/2022 20:53:00,2022-10-13 20:53:00,2022-10-13 20:48:00,107.21013599999999,0.18147565663333926,0.1367476224489796,0.9390905000000002,0.0019585421023471006,100.680020221308,0.29937384979334547
10,GHGSat,GHGSat CX,,1,1.0,2022-10-19 20:59:00,20:59:00,NT,NT,NT,Methane,NT,NT,NT,NT,NT,NT,NT,NT,NT,,Instrument not tasked; Stanford conducted release,,NT,10/19/2022 20:59:00,2022-10-19 20:59:00,2022-10-19 20:54:00,132.56346299999998,3.781380899828326,0.1690860497448979,0.9460180000000002,0.0024069307218945,125.40742214033399,3.595016281994609
11,GHGSat,GHGSat CX,,1,1.0,2022-10-21 21:00:24,21:00:24,Excluded,Excluded,Excluded,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Stanford cancelled; troubleshooting system pressure,,SE,10/21/2022 21:00:24,2022-10-21 21:00:24,2022-10-21 20:55:24,0.0,0.0,,,,,
