,Team,Satellite,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Timestamp (hyperspectral technologies only),StartTime,EndTime,SurveyTime,Gas,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindSpeedUpper,WindSpeedLower,WindSpeedUncertaintyType,WindDirection,NumberOfEmissionSourcesReported,Notes,Data source,QC,QC_lax,UnblindingStage,DateTime (UTC),end_release,start_release,gas_kgh_mean,gas_kgh_sigma,meter_sigma,ch4_fraction_km,ch4_fraction_km_sigma,ch4_kgh_mean,ch4_kgh_sigma
0,GHGSat,Sentinel-2,94e765d9-f8fd-49b0-9851-57cbd7dcb4b6 - 10/26/2022,1,1,10/18/22 17:49,17:49:00,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Release cancelled by Stanford due to system malfunction,,SE,OK,1,10/18/22 17:49,10/18/22 17:49,10/18/22 17:44,0,0,0,0.9390905,0,0,0
1,GHGSat,Sentinel-2,94e765d9-f8fd-49b0-9851-57cbd7dcb4b6 - 10/26/2022,1,1,10/26/22 18:14,10/26/22 18:14,,,,Methane,0,,,,,,,,,,,DataReportingTemplate_AerialAppendix_GHGSat_S2_Stage1.xlsx,OK,OK,1,10/26/22 18:14,10/26/22 18:14,10/26/22 18:09,1100.4492,30.30114833,1.403634184,0.950644,0.001365767,1046.135429,28.87563433
2,GHGSat,Sentinel-2,94e765d9-f8fd-49b0-9851-57cbd7dcb4b6 - 10/26/2022,1,1,11/5/22 18:14,18:14:40,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Release cancelled by Stanford due to personnel shortage,,SE,SE,1,11/5/22 18:14,11/5/22 18:14,11/5/22 18:09,0,0,,,,,
3,GHGSat,Sentinel-2,94e765d9-f8fd-49b0-9851-57cbd7dcb4b6 – 11/08/2022,1,1,11/8/22 18:24,11/8/22 18:24,,,,Methane,3215,3599,2831,,3.7,,,,,,,DataReportingTemplate_AerialAppendix_GHGSat_S2_Stage1.xlsx,OK,OK,1,11/8/22 18:24,11/8/22 18:24,11/8/22 18:19,1247.43036,18.97181524,1.591110153,0.953370125,0.001319614,1189.262838,18.22515277
4,GHGSat,Sentinel-2,94e765d9-f8fd-49b0-9851-57cbd7dcb4b6 – 11/15/2022,1,1,11/15/22 18:14,11/15/22 18:14,,,,Methane,903,1628,178,,1.68,,,,,,,DataReportingTemplate_AerialAppendix_GHGSat_S2_Stage1.xlsx,OK,OK,1,11/15/22 18:14,11/15/22 18:14,11/15/22 18:09,1575.08796,22.99815942,2.009040765,0.950938875,0.001265674,1497.812373,22.04346207
5,GHGSat,Sentinel-2,94e765d9-f8fd-49b0-9851-57cbd7dcb4b6 – 11/18/2022,1,1,11/18/22 18:24,11/18/22 18:24,,,,Methane,671,1172,170,,1.51,,,,,,,DataReportingTemplate_AerialAppendix_GHGSat_S2_Stage1.xlsx,OK,OK,1,11/18/22 18:24,11/18/22 18:24,11/18/22 18:19,1511.86584,24.98651612,1.928400306,0.946370625,0.005284178,1430.78542,25.02621362
6,GHGSat,Sentinel-2,94e765d9-f8fd-49b0-9851-57cbd7dcb4b6 – 11/25/2022,1,1,11/25/22 18:14,11/25/22 18:14,,,,Methane,0,,,,,,,,,,,DataReportingTemplate_AerialAppendix_GHGSat_S2_Stage1.xlsx,OK,OK,1,11/25/22 18:14,11/25/22 18:14,11/25/22 18:09,0,0,,,,,
7,GHGSat,Sentinel-2,94e765d9-f8fd-49b0-9851-57cbd7dcb4b6 – 11/28/2022,1,1,11/28/22 18:24,11/28/22 18:24,,,,Methane,0,,,,,,,,,,,DataReportingTemplate_AerialAppendix_GHGSat_S2_Stage1.xlsx,OK,OK,1,11/28/22 18:24,11/28/22 18:24,11/28/22 18:19,5.2571736,0.027426929,0.006705579,0.9422685,0.000995117,4.953669082,0.027114196
8,GHGSat,GHGSat CX,,1,1,10/11/22 20:51,20:51:00,NT,NT,NT,Methane,NT,NT,NT,NT,NT,NT,NT,NT,NT,,Instrument not tasked; Stanford conducted release,,NT,NT,1,10/11/22 20:51,10/11/22 20:51,10/11/22 20:46,33.7022292,2.953645037,0.042977619,0.936358125,0.001617428,31.55735614,2.766499383
9,GHGSat,GHGSat CX,,1,1,10/13/22 20:53,20:53:00,NT,NT,NT,Methane,NT,NT,NT,NT,NT,NT,NT,NT,NT,,Instrument not tasked; Stanford conducted release,,NT,NT,1,10/13/22 20:53,10/13/22 20:53,10/13/22 20:48,107.210136,0.181475657,0.136747622,0.9390905,0.001958542,100.6800202,0.29937385
10,GHGSat,GHGSat CX,,1,1,10/19/22 20:59,20:59:00,NT,NT,NT,Methane,NT,NT,NT,NT,NT,NT,NT,NT,NT,,Instrument not tasked; Stanford conducted release,,NT,NT,1,10/19/22 20:59,10/19/22 20:59,10/19/22 20:54,132.563463,3.7813809,0.16908605,0.946018,0.002406931,125.4074221,3.595016282
11,GHGSat,GHGSat CX,,1,1,10/21/22 21:00,21:00:24,Excluded,Excluded,Excluded,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Stanford cancelled; troubleshooting system pressure,,SE,SE,1,10/21/22 21:00,10/21/22 21:00,10/21/22 20:55,0,0,,,,,
12,GHGSat,GHGSat CX,,1,1,10/22/22 17:02,17:02:13,Excluded,Excluded,Excluded,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Stanford cancelled; troubleshooting system pressure,,SE,SE,1,10/22/22 17:02,10/22/22 17:02,10/22/22 16:57,0,0,,,,,
13,GHGSat,GHGSat CX,,1,1,10/28/22 20:54,20:54:01,NT,NT,NT,Methane,NT,NT,NT,NT,NT,NT,NT,NT,NT,,Instrument not tasked; Stanford conducted release,,NT,NT,1,10/28/22 20:54,10/28/22 20:54,10/28/22 20:49,116.96124,0.247304082,0.149185255,0.950293875,0.001361713,111.14755,0.317325238
14,GHGSat,GHGSat CX,Db79065-1,1,1,11/8/22 20:51,11/8/22 20:51,,,,Methane,496,669.57,322.43,0.35,4.63,,,,,,,DataReportingTemplate_AerialAppendix_GHGSat DATA.SAT_Stage1_1.xlsx,OK,OK,1,11/8/22 20:51,11/8/22 20:51,11/8/22 20:46,421.37934,0.993168925,0.537473648,0.953370125,0.001319614,401.730474,1.211736422
15,GHGSat,GHGSat CX,LbCV065-2,1,1,11/14/22 0:00,11/14/22 20:54,,,,Methane,,,,,,,,,,,Thin Clouds throughout the observation make emission detection impossible,DataReportingTemplate_AerialAppendix_GHGSat DATA.SAT_Stage1_1.xlsx,OE,OE,1,11/14/22 20:54,11/14/22 20:54,11/14/22 20:49,124.514748,0.148377701,0.158819832,0.953894125,0.002032185,118.7738866,0.327126567
16,GHGSat,GHGSat CX,DbE8065-3,1,1,11/16/22 0:00,11/16/22 20:57,,,,Methane,0,,,,,,,,,,No Emissions Detected,DataReportingTemplate_AerialAppendix_GHGSat DATA.SAT_Stage1_1.xlsx,OK,OK,1,11/16/22 20:57,11/16/22 20:57,11/16/22 20:52,0,0,0,0.950938875,0,0,0
17,GHGSat,GHGSat CX,-4,1,1,11/21/22 0:00,11/21/22 16:55,,,,Methane,,,,,,,,,,,Single event upset onboard the Payload – Observation was not taken,DataReportingTemplate_AerialAppendix_GHGSat DATA.SAT_Stage1_1.xlsx,IM,IM,1,11/21/22 16:55,11/21/22 16:55,11/21/22 16:50,626.3286,1.793436898,0.79888852,0.941120625,0.000927711,589.4507635,1.936932163
18,GHGSat,GHGSat CX,LbK6065-5,1,1,11/22/22 0:00,11/22/22 21:00,,,,Methane,,,,,,,,,,,"Thin clouds pass over the release site, severely reducing instrument sensitivity.",DataReportingTemplate_AerialAppendix_GHGSat DATA.SAT_Stage1_1.xlsx,OE,OE,1,11/22/22 21:00,11/22/22 21:00,11/22/22 20:55,242.497992,0.463245098,0.309308663,0.941120625,0.000927711,228.2198618,0.570453697
19,GHGSat,GHGSat CX,-6,1,1,11/28/22 0:00,11/28/22 16:59,,,,Methane,,,,,,,,,,,Fully Overcast,DataReportingTemplate_AerialAppendix_GHGSat DATA.SAT_Stage1_1.xlsx,OE,OE,1,11/28/22 16:59,11/28/22 16:59,11/28/22 16:54,140.976516,0.134419878,0.179816985,0.9422685,0.000995117,132.8377303,0.253834502
20,Kayrros,EnMap,1,1,1,11/12/22 0:00,18:37:00,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_EnMAP.xlsx,OK,OK,1,11/12/22 18:37,11/12/22 18:37,11/12/22 18:32,0,0,,,,,
21,Kayrros,EnMap,2,1,1,11/13/22 0:00,19:02:08,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_EnMAP.xlsx,OK,OK,1,11/13/22 19:02,11/13/22 19:02,11/13/22 18:57,0,0,,,,,
22,Kayrros,EnMap,3,1,1,11/16/22 0:00,18:40:50,,,,Methane,1719,2219,1219,standard deviation,4.29,4.61,3.97,standard deviation,24,,,Kayrros_2022_Full_Blind_EnMAP.xlsx,OK,OK,1,11/16/22 18:40,11/16/22 18:40,11/16/22 18:35,1148.88996,15.38034439,1.465420867,0.950938875,0.001265674,1092.524126,14.76378855
23,Kayrros,EnMap,4,1,1,11/20/22 0:00,18:44:37,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_EnMAP.xlsx,OK,OK,1,11/20/22 18:44,11/20/22 18:44,11/20/22 18:39,0,0,,,,,
24,Kayrros,EnMap,5,1,1,11/24/22 0:00,18:48:24,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_EnMAP.xlsx,OK,OK,1,11/24/22 18:48,11/24/22 18:48,11/24/22 18:43,0,0,,,,,
