,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,operator_detected,release_rate_kgh,operator_quantification,operator_lower,operator_upper,qc_summary
9,10.0,2022-10-31 17:32:10,False,True,True,True,0,True,6566.998807,False,True,20.37298862137292,15.0,9.0,21.0,pass_all
24,25.0,2022-10-31 18:21:17,False,True,True,True,0,True,6568.352972999999,False,True,22.088915558479385,32.0,21.0,43.0,pass_all
43,44.0,2022-10-31 19:26:49,False,True,True,True,1,True,6573.76964,False,True,2.883550529940093,4.0,2.0,6.0,pass_all
50,51.0,2022-10-31 19:51:06,False,True,True,True,0,True,6561.061307,False,True,9.138433129458646,12.0,8.0,16.0,pass_all
60,61.0,2022-10-31 20:35:52,False,True,True,True,1,True,6592.51964,False,True,9.96943421624124,16.0,10.0,22.0,pass_all
70,71.0,2022-11-02 16:45:28,False,True,True,True,1,True,6579.811307,False,False,1.05535467533496,,,,pass_all
71,72.0,2022-11-02 16:48:27,False,True,True,True,1,True,6621.373807,False,False,1.0408087835501438,,,,pass_all
72,72.0,2022-11-02 16:48:27,False,True,True,True,1,True,6621.373807,False,False,1.0408087835501438,,,,pass_all
73,72.0,2022-11-02 16:48:27,False,True,True,True,1,True,6621.373807,False,False,1.0408087835501438,,,,pass_all
74,72.0,2022-11-02 16:48:27,False,True,True,True,1,True,6621.373807,False,False,1.0408087835501438,,,,pass_all
75,73.0,2022-11-02 16:48:27,False,True,True,True,1,True,6621.373807,False,False,1.0408087835501438,,,,pass_all
76,73.0,2022-11-02 16:48:27,False,True,True,True,1,True,6621.373807,False,False,1.0408087835501438,,,,pass_all
77,73.0,2022-11-02 16:48:27,False,True,True,True,1,True,6621.373807,False,False,1.0408087835501438,,,,pass_all
78,73.0,2022-11-02 16:48:27,False,True,True,True,1,True,6621.373807,False,False,1.0408087835501438,,,,pass_all
79,74.0,2022-11-02 16:52:32,False,True,True,True,1,True,6592.102972999999,False,False,4.01323212864,,,,pass_all
80,75.0,2022-11-02 16:55:42,False,True,True,True,1,True,6533.561307,False,False,3.998846564156752,,,,pass_all
81,76.0,2022-11-02 17:02:36,False,True,True,True,1,True,6576.477972999999,False,True,10.40176258170896,31.0,17.0,45.0,pass_all
82,77.0,2022-11-02 17:06:41,False,True,True,True,1,True,6600.64464,False,True,10.36513978182032,25.0,15.0,35.0,pass_all
83,78.0,2022-11-02 17:09:49,False,True,True,True,1,True,6530.95714,False,True,20.9444927078632,23.0,13.0,33.0,pass_all
84,79.0,2022-11-02 17:13:54,False,True,True,True,1,True,6567.311307,False,True,21.0126209837264,56.0,35.0,77.0,pass_all
85,80.0,2022-11-02 17:17:06,False,True,True,True,1,True,6561.061307,False,True,20.9872980018968,70.0,44.0,96.0,pass_all
97,92.0,2022-11-04 16:51:31,False,True,True,True,0,True,6592.936307,False,True,9.223398146878608,9.0,6.0,12.0,pass_all
98,93.0,2022-11-04 16:55:06,False,True,True,True,0,True,6585.32267,False,True,9.20488359552093,5.0,2.0,8.0,pass_all
105,100.0,2022-11-04 17:22:04,False,True,True,True,0,True,6551.307519,False,True,11.99354178620752,9.0,0.0,18.0,pass_all
106,101.0,2022-11-04 17:25:59,False,True,True,True,0,True,6518.561307,False,True,22.17310778496464,26.0,2.0,50.0,pass_all
107,102.0,2022-11-04 17:29:58,False,True,True,True,0,True,6581.686307,False,True,22.08454322489968,17.0,2.0,32.0,pass_all
111,106.0,2022-11-04 17:45:51,False,True,True,True,0,True,6599.811307,False,True,18.10838412283824,17.0,11.0,23.0,pass_all
112,107.0,2022-11-04 17:50:26,False,True,True,True,0,True,6594.356760999999,False,True,18.0486895218504,19.0,12.0,26.0,pass_all
129,124.0,2022-11-04 18:51:05,False,True,True,True,1,True,6519.602972999999,False,True,22.05411390721392,23.0,14.0,32.0,pass_all
158,153.0,2022-11-07 19:23:24,False,True,True,True,1,True,6835.602973000001,False,True,13.24411955140176,27.0,17.0,37.0,pass_all
161,156.0,2022-11-07 19:35:43,False,True,True,True,1,True,6696.061307,False,True,21.7779330240696,16.0,10.0,22.0,pass_all
162,157.0,2022-11-07 19:40:03,False,True,True,True,1,True,6691.686307,False,True,21.90326314367072,29.0,18.0,40.0,pass_all
164,159.0,2022-11-07 19:48:28,False,True,True,True,1,True,6723.422418,False,True,20.20180224192928,19.0,12.0,26.0,pass_all
165,160.0,2022-11-07 19:52:42,False,True,True,True,1,True,6536.373807,False,True,18.85613699130896,23.0,14.0,32.0,pass_all
166,161.0,2022-11-07 19:57:23,False,True,True,True,1,True,6726.200196,False,True,18.79423513345392,16.0,10.0,22.0,pass_all
167,162.0,2022-11-07 20:01:29,False,True,True,True,1,True,6694.290472999999,False,True,18.76079693184928,21.0,13.0,29.0,pass_all
172,167.0,2022-11-07 20:22:43,False,True,True,True,0,True,6738.040472999999,False,True,15.94092975552,31.0,19.0,43.0,pass_all
173,168.0,2022-11-07 20:26:30,False,True,True,True,0,True,6730.436307,False,True,15.85285935546432,24.0,14.0,34.0,pass_all
174,169.0,2022-11-07 20:31:18,False,True,True,True,0,True,6700.95714,False,True,15.77823012089968,22.0,13.0,31.0,pass_all
181,176.0,2022-11-07 21:02:21,False,True,True,True,1,True,6614.602972999999,False,True,20.12145172796752,10.0,5.0,15.0,pass_all
182,177.0,2022-11-07 21:07:06,False,True,True,True,0,True,6688.76964,False,True,14.18526492481392,15.0,9.0,21.0,pass_all
183,178.0,2022-11-07 21:10:55,False,True,True,True,0,True,6623.76964,False,True,14.13585984575072,16.0,9.0,23.0,pass_all
184,179.0,2022-11-07 21:15:40,False,True,True,True,0,True,6723.977972999999,False,True,14.09509708227712,18.0,10.0,26.0,pass_all
187,182.0,2022-11-07 21:27:58,False,True,True,True,0,True,6628.214083999999,False,True,20.10657199685568,21.0,11.0,31.0,pass_all
188,183.0,2022-11-07 21:32:18,False,True,True,True,0,True,6635.436307,False,True,20.13885716159072,16.0,9.0,23.0,pass_all
189,184.0,2022-11-07 21:36:16,False,True,True,True,1,True,6745.158529,False,True,15.17123615616,8.0,3.0,13.0,pass_all
190,185.0,2022-11-07 21:40:51,False,True,True,True,1,True,6704.915472999999,False,True,15.159837521228958,7.0,3.0,11.0,pass_all
191,186.0,2022-11-07 21:44:36,False,True,True,True,1,True,6771.477972999999,False,True,15.14700032067712,16.0,9.0,23.0,pass_all
192,187.0,2022-11-07 21:49:11,False,True,True,True,1,True,6745.01964,False,True,15.15358912710496,13.0,7.0,19.0,pass_all
197,192.0,2022-11-07 22:09:47,False,True,True,True,1,True,6710.297418,False,False,16.69086791419824,,,,pass_all
