,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,operator_detected,release_rate_kgh,release_kgh_stdev,operator_quantification,operator_lower,operator_upper,qc_summary
9,10.0,2022-10-31 17:32:10,False,True,True,True,0,True,6566.998807,False,True,20.904719808102,0.6401089715521405,15.0,9.0,21.0,pass_all
24,25.0,2022-10-31 18:21:17,False,True,True,True,0,True,6568.352972999999,False,True,22.116670145934,0.035563108306228,32.0,21.0,43.0,pass_all
43,44.0,2022-10-31 19:26:49,False,True,True,True,1,True,6573.76964,False,True,2.896120244136599,0.0224873676535199,4.0,2.0,6.0,pass_all
50,51.0,2022-10-31 19:51:06,False,True,True,True,0,True,6561.061307,False,True,9.144461504880002,0.0118781343832867,12.0,8.0,16.0,pass_all
60,61.0,2022-10-31 20:35:52,False,True,True,True,1,True,6592.51964,False,True,9.974008952388,0.0102206755099937,16.0,10.0,22.0,pass_all
70,71.0,2022-11-02 16:45:28,False,True,True,True,1,True,6579.811307,False,False,1.057403886672,0.009616365120843,,,,pass_all
71,72.0,2022-11-02 16:48:27,False,True,True,True,1,True,6621.373807,False,False,1.0443889954176,0.0141109280709203,,,,pass_all
72,73.0,2022-11-02 16:52:32,False,True,True,True,1,True,6592.102972999999,False,False,4.007881833312,0.0097608998958626,,,,pass_all
73,74.0,2022-11-02 16:55:42,False,True,True,True,1,True,6533.561307,False,False,4.005396754464,0.0087835772673365,,,,pass_all
74,75.0,2022-11-02 16:59:33,False,True,True,True,1,True,6575.852972999999,False,False,3.962787297504,0.0080606002468585,,,,pass_all
75,76.0,2022-11-02 17:02:36,False,True,True,True,1,True,6576.477972999999,False,True,10.40604072816,0.0122840454218694,31.0,17.0,45.0,pass_all
76,77.0,2022-11-02 17:06:41,False,True,True,True,1,True,6600.64464,False,True,10.361865331104,0.0116609862643439,25.0,15.0,35.0,pass_all
77,78.0,2022-11-02 17:09:49,False,True,True,True,1,True,6530.95714,False,True,20.951472819648,0.0152668935258267,23.0,13.0,33.0,pass_all
78,79.0,2022-11-02 17:13:54,False,True,True,True,1,True,6567.311307,False,True,21.009310476672,0.0122318359256544,56.0,35.0,77.0,pass_all
79,80.0,2022-11-02 17:17:06,False,True,True,True,1,True,6561.061307,False,True,20.996249628480005,0.0143228548183335,70.0,44.0,96.0,pass_all
91,92.0,2022-11-04 16:51:31,False,True,True,True,0,True,6592.936307,False,True,9.216504972192,0.0143039071648264,9.0,6.0,12.0,pass_all
92,93.0,2022-11-04 16:55:06,False,True,True,True,0,True,6585.32267,False,True,9.201617193888,0.0088528352192383,5.0,2.0,8.0,pass_all
99,100.0,2022-11-04 17:22:04,False,True,True,True,0,True,6551.307519,False,True,11.996593317408005,0.0110494449727913,9.0,0.0,18.0,pass_all
100,101.0,2022-11-04 17:25:59,False,True,True,True,0,True,6518.561307,False,True,22.185745668576,0.0177840530845702,26.0,2.0,50.0,pass_all
101,102.0,2022-11-04 17:29:58,False,True,True,True,0,True,6581.686307,False,True,22.093020454848,0.0153350579872789,17.0,2.0,32.0,pass_all
105,106.0,2022-11-04 17:45:51,False,True,True,True,0,True,6599.811307,False,True,18.115163820768,0.0135663034531546,17.0,11.0,23.0,pass_all
106,107.0,2022-11-04 17:50:26,False,True,True,True,0,True,6594.356760999999,False,True,18.049485115872,0.0116845329752194,19.0,12.0,26.0,pass_all
123,124.0,2022-11-04 18:51:05,False,True,True,True,1,True,6519.602972999999,False,True,22.060283228928004,0.0124784624284122,23.0,14.0,32.0,pass_all
152,153.0,2022-11-07 19:23:24,False,True,True,True,1,True,6835.602973000001,False,True,13.253560950336002,0.0129903267482933,27.0,17.0,37.0,pass_all
155,156.0,2022-11-07 19:35:43,False,True,True,True,1,True,6696.061307,False,True,21.770011267872,0.0156754594875484,16.0,10.0,22.0,pass_all
156,157.0,2022-11-07 19:40:03,False,True,True,True,1,True,6691.686307,False,True,21.890259580896,0.0197310102412506,29.0,18.0,40.0,pass_all
