,bin_median,true_positive,false_positive,true_negative,false_negative,filter_stanford,filter_operator,missing_data,zero_filter_su,zero_filter_op,zero_missing,total_releases,total_reported,bin_height
0,2.5,0,0,8,1,0,0,0,1,0,1,124.0,121.0,1
1,7.5,0,0,0,2,0,1,0,0,0,0,124.0,121.0,3
2,12.5,2,0,0,0,0,1,0,0,0,0,124.0,121.0,3
3,17.5,1,0,0,0,0,0,0,0,0,0,124.0,121.0,1
4,22.5,4,0,0,0,0,0,0,0,0,0,124.0,121.0,4
5,27.5,1,0,0,0,0,2,0,0,0,0,124.0,121.0,3
6,32.5,3,0,0,0,0,0,0,0,0,0,124.0,121.0,3
7,37.5,2,0,0,0,0,1,0,0,0,0,124.0,121.0,3
8,42.5,2,0,0,0,1,1,0,0,0,0,124.0,121.0,4
9,47.5,4,0,0,0,0,0,0,0,0,0,124.0,121.0,4
