,bin_median,true_positive,false_positive,true_negative,false_negative,filter_stanford,filter_operator,missing_data,zero_filter_su,zero_filter_op,zero_missing,total_releases,total_reported,bin_height
0,2.5,1,0,4,5,4,0,1,8,0,1,194.0,192.0,11
1,7.5,3,0,0,0,7,0,0,0,0,0,194.0,192.0,10
2,12.5,8,0,0,0,5,0,0,0,0,0,194.0,192.0,13
3,17.5,12,0,0,1,4,0,0,0,0,0,194.0,192.0,17
4,22.5,14,0,0,0,3,0,0,0,0,0,194.0,192.0,17
5,27.5,9,0,0,2,3,1,0,0,0,0,194.0,192.0,15
6,32.5,5,0,0,0,1,0,0,0,0,0,194.0,192.0,6
7,37.5,6,0,0,0,1,0,0,0,0,0,194.0,192.0,7
8,42.5,0,0,0,0,2,0,0,0,0,0,194.0,192.0,2
9,47.5,2,0,0,0,0,0,0,0,0,0,194.0,192.0,2
