,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,release_rate_kgh,ch4_kgh_sigma,upper_95CI,lower_95CI,sigma_flow_variability,sigma_meter_reading,sigma_gas_composition,operator_detected,operator_quantification,operator_lower,operator_upper,qc_summary,operator_error_bound,operator_95CI_bounds,intersect_parity_line
0,1.0,2022-10-31 17:04:02,False,True,True,True,0,True,6587.102972999999,False,213.88417108875,0.8734563072034469,215.59614545086876,212.17219672663128,0.1520787418701692,0.285879719387755,0.0036450716270969,True,281.0,225.0,338.0,pass_all,57.0,111.72,True
1,2.0,2022-10-31 17:07:12,False,True,True,True,0,True,6323.76964,False,214.34858464350003,0.8743218288508272,216.06225542804765,212.6349138589524,0.1457653317226126,0.2865004591836734,0.0036450716270969,True,210.0,168.0,252.0,pass_all,42.0,82.32,True
3,4.0,2022-10-31 17:14:13,False,True,True,True,0,True,6475.540472999999,False,110.57491491375,0.4869616416192456,111.52935973132372,109.62047009617628,0.206548424165916,0.1477955357142857,0.0036450716270969,True,139.0,111.0,166.0,pass_all,27.0,52.92,True
4,5.0,2022-10-31 17:17:18,False,True,True,True,0,True,6556.686307,False,109.13569667775002,0.4493549260752886,110.0164323328576,108.25496102264243,0.0981184293060774,0.1458718622448979,0.0036450716270969,True,165.0,132.0,198.0,pass_all,33.0,64.67999999999999,True
5,6.0,2022-10-31 17:20:09,False,True,True,True,0,True,6488.665472999999,False,59.8014186465,0.2537925983380902,60.298852139242655,59.30398515375734,0.0839352680363781,0.0799311734693877,0.0036450716270969,True,80.0,64.0,95.0,pass_all,15.0,29.4,True
7,8.0,2022-10-31 17:26:03,False,True,True,True,0,True,6553.352972999999,False,658.7898944775001,4.532626404559326,667.6738422304363,649.9059467245638,3.8511672947566726,0.8805451530612246,0.0036450716270969,True,737.0,590.0,885.0,pass_all,148.0,290.08,True
8,9.0,2022-10-31 17:29:12,False,True,True,True,0,True,6526.061307,False,678.320915025,3.8002751119035305,685.7694542443309,670.8723758056691,2.768603686496381,0.9066505102040816,0.0036450716270969,True,704.0,563.0,845.0,pass_all,141.0,276.36,True
9,10.0,2022-10-31 17:32:10,False,True,True,True,0,True,6566.998807,False,21.020905724024995,0.6492092146725328,22.29335578478316,19.74845566326683,0.6744996870982176,0.0280967525510203,0.0036450716270969,True,26.0,21.0,32.0,pass_all,6.0,11.76,True
10,11.0,2022-10-31 17:35:27,False,True,True,True,0,True,6564.186307,False,274.451176425,1.13135472617483,276.6686316883027,272.23372116169736,0.2533515330958827,0.3668341836734693,0.0036450716270969,True,295.0,236.0,354.0,pass_all,59.0,115.64,True
15,16.0,2022-10-31 17:51:26,False,True,True,True,0,True,6564.39464,False,946.804740855,11.106623640178665,968.57372318975,925.0357585202498,10.931365744684776,1.265508673469388,0.0036450716270969,True,864.0,691.0,1037.0,pass_all,173.0,339.08,True
19,20.0,2022-10-31 18:04:20,False,True,True,True,0,True,6532.51964,False,1135.705569765,14.30310957984149,1163.7396645414894,1107.671474988511,14.201375110309876,1.5179954081632656,0.0036450716270969,True,1352.0,1082.0,1622.0,pass_all,270.0,529.2,True
22,23.0,2022-10-31 18:14:38,False,True,True,True,0,True,6569.811307,False,627.61503957,3.454390647594387,634.385645239285,620.844433900715,2.4675769546497777,0.838876530612245,0.0036450716270969,True,386.0,309.0,463.0,pass_all,77.0,150.92,False
24,25.0,2022-10-31 18:21:17,False,True,True,True,0,True,6568.352972999999,False,22.239591935925,0.096434889830202,22.428604319992196,22.0505795518578,0.0374737841380762,0.0297256607142856,0.0036450716270969,True,25.0,20.0,30.0,pass_all,5.0,9.8,True
25,26.0,2022-10-31 18:24:23,False,True,True,True,0,True,6556.477972999999,False,460.2767184375001,2.087775034114127,464.36875750436377,456.1846793706365,1.006850737090483,0.6152104591836736,0.0036450716270969,True,370.0,296.0,444.0,pass_all,74.0,145.04,True
26,27.0,2022-10-31 18:27:43,False,True,True,True,0,True,6579.602972999999,False,467.44589871,2.03455108813078,471.43361884273634,463.45817857726365,0.8089369295144132,0.6247928571428573,0.0036450716270969,True,587.0,470.0,705.0,pass_all,118.0,231.28,True
38,39.0,2022-10-31 19:09:24,False,True,True,True,0,True,6579.08214,False,1114.6434903525,15.388709725275683,1144.8053614140404,1084.4816192909598,15.424610312578896,1.4898436224489795,0.0036450716270969,True,785.0,628.0,942.0,pass_all,157.0,307.71999999999997,False
39,40.0,2022-10-31 19:12:53,False,True,True,True,0,True,6597.631819,False,1144.809472515,16.52524182351315,1177.1989464890858,1112.419998540914,16.62931922044896,1.5301637755102042,0.0036450716270969,True,1014.0,811.0,1217.0,pass_all,203.0,397.88,True
44,45.0,2022-10-31 19:30:28,False,True,True,True,0,True,6586.790472999999,False,314.58959656275,1.3933396491774075,317.3205422751377,311.85865085036227,0.6078433688745368,0.4204835969387755,0.0036450716270969,True,350.0,280.0,420.0,pass_all,70.0,137.2,True
45,46.0,2022-10-31 19:33:50,False,True,True,True,0,True,6558.352972999999,False,319.0668272265,1.3101356397202268,321.6346930803516,316.49896137264835,0.2682278383914289,0.4264679081632653,0.0036450716270969,True,359.0,288.0,431.0,pass_all,72.0,141.12,True
50,51.0,2022-10-31 19:51:06,False,True,True,True,0,True,6561.061307,False,9.195285320999998,0.0389082550750895,9.271545500947171,9.119025141052823,0.0125163031310285,0.0122905102040815,0.0036450716270969,True,17.0,14.0,20.0,pass_all,3.0,5.88,False
51,52.0,2022-10-31 19:54:17,False,True,True,True,0,True,6588.040472999999,False,385.07561886,1.698698029433817,388.4050669976903,381.7461707223097,0.7266768381602922,0.514695918367347,0.0036450716270969,True,550.0,440.0,660.0,pass_all,110.0,215.6,True
