,release_rate,operator_report,operator_sigma
0,215.1775712,281.0,57.0
1,215.5998135,210.0,42.0
3,111.0584064,139.0,27.0
4,109.7280312,165.0,33.0
5,60.08391295,80.0,15.0
7,665.078361,737.0,148.0
8,683.1117166,704.0,141.0
9,20.6059903,26.0,6.0
10,275.992048,295.0,59.0
15,958.8075931,864.0,173.0
19,1145.494848,1352.0,270.0
22,631.1005672,386.0,77.0
24,22.34154194,25.0,5.0
25,463.4409662,370.0,74.0
26,470.4500984,587.0,118.0
38,1118.274268,785.0,157.0
39,1155.061065,1014.0,203.0
44,316.8522344,350.0,70.0
45,321.0481274,359.0,72.0
50,9.242947511,17.0,3.0
51,387.2311446,550.0,110.0
87,29.94443485,23.0,4.0
89,26.04992437,51.0,11.0
90,33.11408169,31.0,6.0
91,33.03490055,48.0,10.0
92,838.6657647,452.0,90.0
93,827.2437882,543.0,108.0
97,9.558124324,12.0,2.0
98,9.538937861,9.0,2.0
105,12.42879919,9.0,2.0
106,22.97779164,35.0,7.0
107,22.88601298,25.0,5.0
111,18.76555516,22.0,4.0
112,18.70369419,19.0,4.0
116,36.35789115,38.0,8.0
117,36.23157458,45.0,9.0
124,41.02853159,52.0,11.0
125,41.08383777,60.0,12.0
126,41.06813354,43.0,8.0
134,64.04989676,67.0,14.0
138,52.17340822,33.0,7.0
139,52.26035044,72.0,15.0
140,52.53005338,62.0,12.0
141,52.35104801,74.0,15.0
142,52.27389249,61.0,12.0
143,52.16601131,26.0,5.0
145,93.82168759,111.0,22.0
146,93.99397884,80.0,17.0
149,81.14655971,87.0,18.0
150,81.17591978,74.0,15.0
151,123.0928779,125.0,25.0
172,16.51944175,14.0,3.0
173,16.42817519,16.0,3.0
174,16.35083758,12.0,2.0
175,32.08369127,44.0,8.0
176,32.1308836,22.0,4.0
182,14.70006212,15.0,3.0
183,14.64886408,16.0,4.0
184,14.606622,24.0,5.0
187,20.83625925,39.0,7.0
188,20.86971607,23.0,5.0
193,29.67582438,17.0,4.0
194,29.79769141,27.0,5.0
