,release_rate,operator_report,operator_sigma
2,17.84613948,25.85856,0.0
3,17.81225535,22.51968,0.0
4,17.83283458,23.43744,0.0
5,107.8631535,114.18112,0.0
6,107.7383613,256.99296,0.0
7,107.4374594,80.41984,0.0
11,12.29183884,10.07584,0.0
12,12.30932439,20.58128,0.0
15,3.23067089,9.14056,0.0
17,28.25064697,29.16432,0.0
18,28.27962929,39.07536,0.0
19,28.27273123,23.64288,0.0
20,186.779311,155.66928,0.0
21,187.2966658,222.17664,0.0
22,188.4627523,202.07392,0.0
24,59.06227355,72.756,0.0
32,432.1277809,398.77248,0.0
34,161.27769,157.58912,0.0
35,160.3907496,150.8832,0.0
36,159.7608308,125.81368,0.0
37,42.24333159,23.97408,0.0
38,41.83976452,47.36704,0.0
40,8.725007707,6.31968,0.0
41,8.665007208,5.79184,0.0
42,8.623646173,18.00064,0.0
46,17.89883124,19.09248,0.0
47,17.83948949,37.4312,0.0
48,17.796109,10.582,0.0
49,17.74250164,6.18032,0.0
50,26.32781057,14.21056,0.0
51,26.40110491,17.26368,0.0
52,31.39735593,18.49536,0.0
54,5.264590183,7.46976,0.0
57,13.91607676,30.7784,0.0
58,13.89269644,34.67848,0.0
59,13.90705941,59.81272,0.0
74,95.68848412,94.7256,0.0
75,95.2703381,144.0024,0.0
99,457.2370608,458.4,0.0
103,24.1973609,12.03368,0.0
104,23.93817948,12.354,0.0
105,23.83237946,22.37976,0.0
109,616.9532908,559.3632,0.0
110,621.6563536,591.266,0.0
111,622.0267671,645.88568,0.0
119,8.341376009,2.6976,0.0
120,8.296980392,4.66488,0.0
121,139.4489989,125.83392,0.0
122,139.155692,103.3528,0.0
124,139.0257773,132.39976,0.0
146,58.42931922,83.32896,0.0
147,58.32478271,147.61032,0.0
148,58.06160558,66.78672,0.0
150,86.43646339,48.4008,0.0
151,86.31194832,54.20256,0.0
152,72.17381788,53.7408,0.0
153,72.34098989,43.29584,0.0
154,72.30265264,45.5184,0.0
159,1020.378889,1213.19,0.0
161,1005.268613,1252.6352,0.0
162,994.4823458,1680.9792,0.0
163,1001.347414,1118.69632,0.0
176,4.147388675,10.2384,0.0
177,4.129137983,5.32896,0.0
178,4.11718324,8.11072,0.0
193,45.6843969,51.7032,0.0
194,45.71128697,45.41376,0.0
197,11.91724806,10.17648,0.0
198,11.86199922,14.35392,0.0
199,11.8398716,15.21896,0.0
211,6.842324676,15.3712,0.0
217,31.24406092,71.26992,0.0
218,31.39134076,61.97352,0.0
220,7.768153103,10.33184,0.0
221,7.712623484,5.2972,0.0
222,7.700668741,8.78712,0.0
227,23.03911153,25.3368,0.0
228,23.05483521,11.10144,0.0
229,23.09059144,20.71384,0.0
234,510.6478718,254.70792,0.0
235,523.5183891,450.0048,0.0
236,526.01625,351.05312,0.0
237,526.1544801,416.46976,0.0
238,528.3380836,281.54584,0.0
239,524.8488537,374.11192,0.0
240,523.743013,285.66816,0.0
246,11.29654095,4.87424,0.0
247,11.38545098,6.84944,0.0
249,13.96793464,7.2912,0.0
250,13.9434744,19.89792,0.0
251,21.76907938,11.76896,0.0
252,15.64309975,9.1908,0.0
253,15.61330469,17.688,0.0
256,10.27511778,7.7292,0.0
257,10.26289306,7.2624,0.0
258,10.24193176,7.20192,0.0
259,10.23370275,7.22304,0.0
271,24.83424524,47.9808,0.0
275,5.927511458,8.1432,0.0
281,18.52445199,36.8044,0.0
291,9.453501881,21.5124,0.0
292,9.456547263,27.3516,0.0
293,17.29282188,25.5488,0.0
294,17.28060796,22.36464,0.0
299,572.9421259,844.9672,0.0
300,583.2532267,840.7696,0.0
302,477.138954,629.63712,0.0
303,482.2577871,667.74256,0.0
309,9.497098356,15.132,0.0
316,17.25004615,14.45696,0.0
317,300.9164314,384.8856,0.0
320,12.99522678,9.63968,0.0
324,7.4222647,5.1072,0.0
325,7.408711671,8.47872,0.0
327,57.33535764,89.24656,0.0
331,477.1292347,1197.9736,0.0
333,50.4618664,66.15312,0.0
336,48.17642625,66.55936,0.0
343,9.13869365,13.63096,0.0
345,374.000948,555.9584,0.0
346,373.1143315,482.90688,0.0
348,111.1656106,156.20256,0.0
