,release_rate,operator_report,operator_sigma
0,215.1775712,281.0,57.0
1,215.5998135,210.0,42.0
2,303.1081822,297.0,59.0
3,111.0584064,139.0,27.0
4,109.7280312,165.0,33.0
5,60.08391295,80.0,15.0
6,110.7584449,134.0,27.0
7,665.078361,737.0,148.0
8,683.1117166,704.0,141.0
9,20.6059903,26.0,6.0
10,275.992048,295.0,59.0
11,317.2457178,367.0,73.0
12,318.0924316,357.0,71.0
13,262.1039787,285.0,58.0
14,261.2822338,257.0,51.0
15,958.8075931,864.0,173.0
19,1145.494848,1352.0,270.0
22,631.1005672,386.0,77.0
24,22.34154194,25.0,5.0
25,463.4409662,370.0,74.0
26,470.4500984,587.0,118.0
32,564.9128683,670.0,135.0
38,1118.274268,785.0,157.0
39,1155.061065,1014.0,203.0
40,90.97826818,108.0,21.0
43,2.916529105,6.0,2.0
44,316.8522344,350.0,70.0
45,321.0481274,359.0,72.0
47,841.4525605,798.0,160.0
48,860.6552196,678.0,136.0
50,9.242947511,17.0,3.0
51,387.2311446,550.0,110.0
53,76.7019545,82.0,16.0
55,235.373748,235.0,47.0
56,1079.873408,1163.0,232.0
57,1088.756324,1199.0,240.0
60,10.08345259,13.0,3.0
63,132.2026218,187.0,37.0
65,477.0846968,708.0,141.0
81,10.77925276,18.0,4.0
82,10.74130089,12.0,3.0
83,21.70458892,16.0,3.0
84,21.77518964,32.0,7.0
85,21.74894766,39.0,8.0
97,9.558124324,12.0,2.0
98,9.538937861,9.0,2.0
99,656.5525516,442.0,88.0
100,670.7978741,491.0,99.0
105,12.42879919,9.0,2.0
106,22.97779164,35.0,7.0
107,22.88601298,25.0,5.0
109,34.0055125,25.0,5.0
111,18.76555516,22.0,4.0
112,18.70369419,19.0,4.0
113,30.48999724,43.0,8.0
114,30.4972007,29.0,6.0
116,36.35789115,38.0,8.0
117,36.23157458,45.0,9.0
120,63.37916717,50.0,11.0
121,63.54428909,43.0,8.0
123,51.91497135,58.0,11.0
124,41.02853159,52.0,11.0
125,41.08383777,60.0,12.0
126,41.06813354,43.0,8.0
127,37.21855079,49.0,10.0
129,22.85447936,21.0,4.0
131,86.44457244,84.0,17.0
132,86.50613754,92.0,18.0
134,64.04989676,67.0,14.0
135,47.50777493,57.0,12.0
136,47.6335225,49.0,10.0
138,52.17340822,33.0,7.0
139,52.26035044,72.0,15.0
140,52.53005338,62.0,12.0
141,52.35104801,74.0,15.0
142,52.27389249,61.0,12.0
143,52.16601131,26.0,5.0
145,93.82168759,111.0,22.0
146,93.99397884,80.0,17.0
147,58.82084605,77.0,15.0
148,58.92315109,56.0,11.0
149,81.14655971,87.0,18.0
150,81.17591978,74.0,15.0
151,123.0928779,125.0,25.0
153,101.2541089,126.0,25.0
154,100.9941927,111.0,22.0
155,100.9702949,114.0,22.0
156,101.103098,162.0,33.0
158,13.72476166,29.0,5.0
161,22.56827561,18.0,3.0
162,22.69815407,33.0,7.0
164,20.93494549,27.0,5.0
165,19.54044472,21.0,4.0
166,19.47629639,20.0,5.0
167,19.44164468,20.0,3.0
172,16.51944175,14.0,3.0
173,16.42817519,16.0,3.0
174,16.35083758,12.0,2.0
175,32.08369127,44.0,8.0
176,32.1308836,22.0,4.0
179,27.88887738,21.0,4.0
180,27.99217247,18.0,4.0
181,20.85167897,16.0,3.0
182,14.70006212,15.0,3.0
183,14.64886408,16.0,4.0
184,14.606622,24.0,5.0
186,26.24442912,37.0,7.0
187,20.83625925,39.0,7.0
188,20.86971607,23.0,5.0
189,15.72181522,19.0,4.0
190,15.71000291,11.0,2.0
191,15.69669984,29.0,6.0
192,15.70352776,17.0,3.0
193,29.67582438,17.0,4.0
194,29.79769141,27.0,5.0
