,release_rate,operator_report,operator_sigma
0,10.942664277348,87.19376164,44.70730425000001
6,93.25688444064,241.6751886,78.20407317000002
8,39.410524803600005,94.72816414,41.35485435
9,30.8184427593,74.78590872,28.280848250000005
10,144.44891424611998,220.0961678,114.43901620000003
11,59.12518714776,48.07834799,26.60634161
13,123.51766295484,370.4328302,198.26488499999994
16,229.64802174936,142.4981486,93.75301749000002
17,72.50023567152,44.19943901,27.584039690000004
18,22.9668172524,34.46484832,22.803713349999995
19,43.91720615088001,32.24689386,20.592293600000005
20,164.1902566662,94.36991159,51.21538883000001
21,177.39346073472,160.4675447,84.00889398000001
23,26.590421858976,18.93505226,12.44162252
25,48.03567550739999,24.98148376,13.42693641
27,105.97528788912,35.43310991,18.495414269999998
28,119.64961481724,51.70426793,29.614346350000005
29,40.60206600012,25.71377555,13.580827020000001
30,75.56000134032001,43.05963274,24.033433349999996
32,169.47915956424,68.77329497,38.396376270000005
34,21.010480985088,13.7314693,8.866664828000001
37,16.530569773055998,42.44641036,29.64861395999999
38,175.07505219660004,116.4616028,84.38562336
39,139.62944559527998,169.7134593,106.34640459999997
41,35.07200673652801,25.47196825,15.72460284
43,88.28344100122105,119.8710723,46.86911037
47,46.383036180228,98.45613773,81.31507611
48,48.629279053080005,51.56575317,25.615877250000004
49,103.126264752,55.33014704,27.772012919999995
52,83.6914883616,92.45474051,50.462254520000016
54,11.500741805952,4.90088507,2.64799587
56,22.368764339712,22.09402808,12.754271119999999
57,23.322131781312,35.91431737,22.105039859999998
58,88.47154056384001,57.50539536,25.559075889999995
60,59.83214029632,110.9200785,64.31862120999999
61,50.37707959872001,74.8321255,33.208492879999994
62,95.41270924416,44.66627038,24.103741900000003
64,188.90143275281864,89.30090964,49.95129503
66,597.0510725958,551.2952728,222.96662949999995
67,498.5896487958,507.6635205,169.68475139999998
69,786.1183108103999,898.2137803,403.43004629999996
70,59.25863364546,181.8490969,73.51329288
75,385.6515167082,520.4576667,272.99920639999993
76,113.7361878384,133.3627741,67.00007010000002
77,111.7727173404,122.296791,64.56721692
78,614.5294148148,358.7100637,182.49445950000006
79,670.2049031256,478.3667514,147.49246519999997
82,364.015453986,338.9438044,97.96713305000003
83,34.012346853972,35.12918503,10.60855575
84,33.262904615334,34.93712619,18.251441400000004
85,327.73172513363994,242.7765881,125.6011078
86,353.6848151592,363.6452807,148.46212109999993
87,816.3687725382001,377.9904306,191.57875229999996
90,424.2017854734,574.906401,229.48409990000005
92,810.1525797642,516.7550073,158.8622431
94,203.6236954101,253.9353137,100.70527350000003
95,134.17826201742,154.4962888,56.57526440000001
99,417.9906485035714,512.5640201,169.27042259999996
100,108.6729021495,94.024409,53.81167706000001
101,672.3635631335999,409.3608275,247.78829469999994
102,314.52076862466,252.7426339,145.6851332
111,316.6899845795399,614.9587419,138.75736540000003
112,850.9833735468001,629.9663131,167.23719389999997
113,384.4368149856,492.7991039,120.45492360000003
118,471.1957732482,573.8567012,115.60580140000002
119,42.575703080819984,76.02348931,27.194635809999994
120,526.3893352312759,669.4204486,218.9000502
