,release_rate,operator_report,operator_sigma
0,213.88417108875,281.0,57.0
1,214.34858464350003,210.0,42.0
3,110.57491491375,139.0,27.0
4,109.13569667775002,165.0,33.0
5,59.8014186465,80.0,15.0
7,658.7898944775001,737.0,148.0
8,678.320915025,704.0,141.0
9,21.020905724024995,26.0,6.0
10,274.451176425,295.0,59.0
15,946.804740855,864.0,173.0
19,1135.705569765,1352.0,270.0
22,627.61503957,386.0,77.0
24,22.239591935925,25.0,5.0
25,460.2767184375001,370.0,74.0
26,467.44589871,587.0,118.0
38,1114.6434903525,785.0,157.0
39,1144.809472515,1014.0,203.0
44,314.58959656275,350.0,70.0
45,319.0668272265,359.0,72.0
50,9.195285320999998,17.0,3.0
51,385.07561886,550.0,110.0
81,29.04816866115,23.0,4.0
83,25.2585365742225,51.0,11.0
84,32.113429739820006,31.0,6.0
85,32.03548275049501,48.0,10.0
86,809.3218225267501,452.0,90.0
87,800.2778049870001,543.0,108.0
91,9.2625599142825,12.0,2.0
92,9.2475977416425,9.0,2.0
99,12.0565403810925,9.0,2.0
100,22.2966080003475,35.0,7.0
101,22.203419438055,25.0,5.0
105,18.205685425567506,22.0,4.0
106,18.139678523707506,19.0,4.0
110,35.25621585630001,38.0,8.0
111,35.139951107775,45.0,9.0
118,39.795216727725,52.0,11.0
119,39.81648536490001,60.0,12.0
120,39.8303983608,43.0,8.0
128,62.109438352800005,67.0,14.0
132,50.60920683195,33.0,7.0
133,50.69217162307499,72.0,15.0
134,50.93467970325,62.0,12.0
135,50.766070158675,74.0,15.0
136,50.716348304475,61.0,12.0
137,50.59934228977501,26.0,5.0
139,91.001199851025,111.0,22.0
140,91.14460634565002,80.0,17.0
143,78.69583922317501,87.0,18.0
144,78.738490538475,74.0,15.0
145,119.37766731667502,125.0,25.0
166,16.0237969496925,14.0,3.0
167,15.939993957585,16.0,3.0
168,15.8643220852125,12.0,2.0
169,31.1087688846525,44.0,8.0
170,31.14980652051,22.0,4.0
176,14.265998256630002,15.0,3.0
177,14.2112072822025,16.0,4.0
178,14.17040913234,24.0,5.0
181,20.20734928611,39.0,7.0
182,20.2304938969125,23.0,5.0
187,28.785863072055,17.0,4.0
188,28.880978926402506,27.0,5.0
