,release_rate,operator_report,operator_sigma
0,205.5185589218292,177,55
1,97.0260008310352,61,44
3,986.167936231928,908,247
5,467.06636570210094,669,259
7,633.9051355130091,544,170
8,141.8345484768,303,120
9,74.45209850943027,89,100
10,62.912702467639015,140,51
12,339.5653167427604,196,98
13,670.3644371370983,787,496
14,405.0717141210984,644,373
15,33.52153627965879,94,100
16,337.1116523594586,388,92
17,815.2200133589017,958,410
18,1061.160948438828,1199,313
19,1288.375416986276,1489,485
20,583.8238531382741,579,182
23,168.4673864244,112,132
