,operator,stage,total_overpasses,pass_stanford_qc,pass_operator_qc,pass_all_qc,fail_stanford_qc,fail_operator_qc,fail_all_qc,fail_stanford_only,fail_operator_only
0,cm,1,121,113,85,82,8,36,5,3,31
1,cm,2,121,113,85,82,8,36,5,3,31
2,cm,3,121,113,98,95,8,23,5,3,18
3,ghg,1,192,135,186,134,57,6,5,52,1
4,ghg,2,192,135,186,134,57,6,5,52,1
5,ghg,3,192,135,186,134,57,6,5,52,1
6,kairos,1,349,230,281,191,119,68,29,90,39
7,kairos,2,349,230,281,191,119,68,29,90,39
8,kairos,3,349,230,281,191,119,68,29,90,39
9,kairos_ls23,1,349,230,274,186,119,75,31,88,44
10,kairos_ls23,2,349,230,274,186,119,75,31,88,44
11,kairos_ls23,3,349,230,274,186,119,75,31,88,44
12,kairos_ls25,1,349,230,279,190,119,70,30,89,40
13,kairos_ls25,2,349,230,279,190,119,70,30,89,40
14,kairos_ls25,3,349,230,279,190,119,70,30,89,40
15,sciav,1,18,18,11,11,0,7,0,0,7
16,mair,1,24,20,24,20,4,0,0,4,0
17,mair_mime,1,24,20,24,20,4,0,0,4,0
18,mair_di,1,24,20,24,20,4,0,0,4,0
