,operator,stage,total_overpasses,pass_stanford_qc,pass_operator_qc,pass_all_qc,fail_stanford_qc,fail_operator_qc,fail_all_qc,fail_stanford_only,fail_operator_only
0,cm,1,121,108,85,78,13,36,6,7,30
1,cm,2,121,108,85,78,13,36,6,7,30
2,cm,3,121,108,98,90,13,23,5,8,18
3,ghg,1,192,118,186,117,74,6,5,69,1
4,ghg,2,192,118,186,117,74,6,5,69,1
5,ghg,3,192,118,186,117,74,6,5,69,1
6,kairos,1,349,202,281,171,147,68,37,110,31
7,kairos,2,349,202,281,171,147,68,37,110,31
8,kairos,3,349,202,281,171,147,68,37,110,31
9,kairos_ls23,1,349,202,274,167,147,75,40,107,35
10,kairos_ls23,2,349,202,274,167,147,75,40,107,35
11,kairos_ls23,3,349,202,274,167,147,75,40,107,35
12,kairos_ls25,1,349,202,279,170,147,70,38,109,32
13,kairos_ls25,2,349,202,279,170,147,70,38,109,32
14,kairos_ls25,3,349,202,279,170,147,70,38,109,32
15,sciav,1,18,17,11,10,1,7,0,1,7
16,mair,1,24,18,24,18,6,0,0,6,0
17,mair_mime,1,24,18,24,18,6,0,0,6,0
18,mair_di,1,24,18,24,18,6,0,0,6,0
