,Team,Satellite,Date,Timestamp (UTC),DateTime (UTC),end_release,start_release,gas_kgh_mean,gas_kgh_sigma,meter_sigma,ch4_fraction_km,ch4_fraction_km_sigma,ch4_kgh_mean,ch4_kgh_sigma
0,GHGSat,GHGSat CX,2022-10-11,20:51:00,10/11/2022 20:51:00,2022-10-11 20:51:00,2022-10-11 20:46:00,33.702229200000005,2.9536450370212783,0.042977618808562136,0.936358125,0.0016174275550494,31.557356142032248,2.7664993830424622
1,GHGSat,GHGSat CX,2022-10-13,20:53:00,10/13/2022 20:53:00,2022-10-13 20:53:00,2022-10-13 20:48:00,107.21013599999999,0.18147565663333926,0.1367476224489796,0.9390905000000002,0.0019585421023471006,100.680020221308,0.29937384979334547
2,GHGSat,GHGSat CX,2022-10-19,20:59:00,10/19/2022 20:59:00,2022-10-19 20:59:00,2022-10-19 20:54:00,132.56346299999998,3.781380899828326,0.1690860497448979,0.9460180000000002,0.0024069307218945,125.40742214033399,3.595016281994609
3,GHGSat,GHGSat CX,2022-10-21,21:00:24,10/21/2022 21:00:24,2022-10-21 21:00:24,2022-10-21 20:55:24,0.0,0.0,,,,,
4,GHGSat,GHGSat CX,2022-10-22,17:02:13,10/22/2022 17:02:13,2022-10-22 17:02:13,2022-10-22 16:57:13,0.0,0.0,,,,,
5,GHGSat,GHGSat CX,2022-10-28,20:54:01,10/28/2022 20:54:01,2022-10-28 20:54:01,2022-10-28 20:49:01,116.96123999999999,0.24730408238417625,0.14918525510204078,0.9502938750000001,0.0013617132208483,111.147549984405,0.3173252376424961
6,GHGSat,GHGSat CX,2022-11-08,2022-11-08 20:51:44,11/08/2022 20:51:44,2022-11-08 20:51:44,2022-11-08 20:46:44,421.37934,0.9931689245923492,0.5374736479591837,0.9533701250000002,0.0013196138560831,401.7304740482175,1.2117364221723055
7,GHGSat,GHGSat CX,2022-11-14,2022-11-14 20:54:51,11/14/2022 20:54:51,2022-11-14 20:54:51,2022-11-14 20:49:51,124.51474799999998,0.14837770105342493,0.15881983163265304,0.9538941249999999,0.0020321852923637996,118.77388659305551,0.3271265667186966
8,GHGSat,GHGSat CX,2022-11-16,2022-11-16 20:57:40,11/16/2022 20:57:40,2022-11-16 20:57:40,2022-11-16 20:52:40,0.0,0.0,0.0,0.9509388750000002,0.0,0.0,0.0
9,GHGSat,GHGSat CX,2022-11-21,2022-11-21 16:55:38,11/21/2022 16:55:38,2022-11-21 16:55:38,2022-11-21 16:50:38,626.3285999999999,1.7934368977899724,0.7988885204081633,0.9411206250000002,0.0009277114651117998,589.4507634873751,1.9369321630713645
10,GHGSat,GHGSat CX,2022-11-22,2022-11-22 21:00:13,11/22/2022 21:00:13,2022-11-22 21:00:13,2022-11-22 20:55:13,242.49799199999998,0.46324509798307806,0.30930866326530615,0.9411206250000002,0.0009277114651117998,228.21986179228503,0.570453697070075
11,GHGSat,GHGSat CX,2022-11-28,2022-11-28 16:59:19,11/28/2022 16:59:19,2022-11-28 16:59:19,2022-11-28 16:54:19,140.976516,0.13441987783007736,0.17981698469387755,0.9422685000000002,0.0009951174972501003,132.83773026654598,0.25383450219831455
12,Kayrros,EnMap,2022-11-12,18:37:00,11/12/2022 18:37:00,2022-11-12 18:37:00,2022-11-12 18:32:00,0.0,0.0,,,,,
13,Kayrros,EnMap,2022-11-13,19:02:08,11/13/2022 19:02:08,2022-11-13 19:02:08,2022-11-13 18:57:08,0.0,0.0,,,,,
14,Kayrros,EnMap,2022-11-16,18:40:50,11/16/2022 18:40:50,2022-11-16 18:40:50,2022-11-16 18:35:50,1148.88996,15.380344391584538,1.4654208673469389,0.9509388750000002,0.0012656744167307,1092.524126061195,14.76378855280666
15,Kayrros,EnMap,2022-11-20,18:44:37,11/20/2022 18:44:37,2022-11-20 18:44:37,2022-11-20 18:39:37,0.0,0.0,,,,,
16,Kayrros,EnMap,2022-11-24,18:48:24,11/24/2022 18:48:24,2022-11-24 18:48:24,2022-11-24 18:43:24,0.0,0.0,,,,,
17,Kayrros,GF5,2022-09-18,18:19:41,09/18/2022 18:19:41,2022-09-18 18:19:41,2022-09-18 18:14:41,0.0,0.0,,,,,
18,Kayrros,GF5,2022-11-15,18:21:44,11/15/2022 18:21:44,2022-11-15 18:21:44,2022-11-15 18:16:44,1094.8091639999998,695.7815868529914,1.3997383537176173,0.9509388750000002,0.0009323801536582823,1041.0965947538505,661.6478857513312
19,Kayrros,LandSat,2022-10-10,17:58:31,10/10/2022 17:58:31,2022-10-10 17:58:31,2022-10-10 17:53:31,0.0,0.0,0.0,0.936358125,0.0,0.0,0.0
20,Kayrros,LandSat,2022-10-17,18:04:33.324000,10/17/2022 18:04:33,2022-10-17 18:04:33,2022-10-17 17:59:33,0.0,0.0,0.0,0.9390905000000002,0.0,0.0,0.0
21,Kayrros,LandSat,2022-10-18,17:58:14,10/18/2022 17:58:14,2022-10-18 17:58:14,2022-10-18 17:53:14,0.0,0.0,0.0,0.9390905000000002,0.0,0.0,0.0
22,Kayrros,LandSat,2022-10-25,18:04:27.931000,10/25/2022 18:04:28,2022-10-25 18:04:28,2022-10-25 17:59:28,1036.01616,27.150767387192666,1.3214491836734696,0.9506440000000002,0.0013657668785948,984.88254640704,25.879976297522717
23,Kayrros,LandSat,2022-10-26,17:58:34,10/26/2022 17:58:34,2022-10-26 17:58:34,2022-10-26 17:53:34,77.786952,0.09601822201643426,0.09921805102040814,0.9506440000000002,0.0013657668785948,73.947699197088,0.16886395058221715
24,Kayrros,LandSat,2022-11-02,18:04:39.434000,11/02/2022 18:04:39,2022-11-02 18:04:39,2022-11-02 17:59:39,795.414,14.79026630110239,1.0145586734693879,0.9503412499999998,0.0026930537344557995,755.9147350275,14.250744414247158
25,Kayrros,LandSat,2022-11-03,17:58:13.713000,11/03/2022 17:58:14,2022-11-03 17:58:14,2022-11-03 17:53:14,1370.18808,20.5498873505591,1.7476888775510204,0.9503412499999998,0.0026930537344557995,1302.1462526823,19.944229818326843
